url,date,d,tests,positive
http://web.archive.org/web/20200803135842/https://covid-19.sr/,2020-08-03 13:58:42+00:00,2020-08-03,166,89
http://web.archive.org/web/20200804094256/https://covid-19.sr/,2020-08-04 09:42:56+00:00,2020-08-04,128,44
http://web.archive.org/web/20200805221345/https://covid-19.sr/,2020-08-05 22:13:45+00:00,2020-08-05,240,88
http://web.archive.org/web/20200806002713/https://covid-19.sr/,2020-08-06 00:27:13+00:00,2020-08-06,201,69
http://web.archive.org/web/20200807064347/https://covid-19.sr/,2020-08-07 06:43:47+00:00,2020-08-07,142,46
http://web.archive.org/web/20200810192434/https://covid-19.sr/,2020-08-10 19:24:34+00:00,2020-08-10,307,85
http://web.archive.org/web/20200811133335/https://covid-19.sr/,2020-08-11 13:33:35+00:00,2020-08-11,219,98
http://web.archive.org/web/20200813004145/https://covid-19.sr/,2020-08-13 00:41:45+00:00,2020-08-13,308,94
http://web.archive.org/web/20200817185855/https://covid-19.sr/,2020-08-17 18:58:55+00:00,2020-08-17,190,55
http://web.archive.org/web/20200818234123/https://covid-19.sr/,2020-08-18 23:41:23+00:00,2020-08-18,449,139
http://web.archive.org/web/20200819225022/https://covid-19.sr/,2020-08-19 22:50:22+00:00,2020-08-19,449,139
http://web.archive.org/web/20200824223155/https://covid-19.sr/,2020-08-24 22:31:55+00:00,2020-08-24,154,38
http://web.archive.org/web/20200826210159/https://covid-19.sr/,2020-08-26 21:01:59+00:00,2020-08-26,257,66
http://web.archive.org/web/20200830200837/https://covid-19.sr/,2020-08-30 20:08:37+00:00,2020-08-30,472,106
http://web.archive.org/web/20200831201913/https://covid-19.sr/,2020-08-31 20:19:13+00:00,2020-08-31,237,55
http://web.archive.org/web/20200903224853/https://covid-19.sr/,2020-09-03 22:48:53+00:00,2020-09-03,335,60
http://web.archive.org/web/20200904082313/https://covid-19.sr/,2020-09-04 08:23:13+00:00,2020-09-04,364,66
http://web.archive.org/web/20200909222258/https://covid-19.sr/,2020-09-09 22:22:58+00:00,2020-09-09,300,59
http://web.archive.org/web/20200914201303/https://covid-19.sr/,2020-09-14 20:13:03+00:00,2020-09-14,33,3
http://web.archive.org/web/20200916114028/https://covid-19.sr/,2020-09-16 11:40:28+00:00,2020-09-16,182,14
http://web.archive.org/web/20200917033126/https://covid-19.sr/,2020-09-17 03:31:26+00:00,2020-09-17,105,20
http://web.archive.org/web/20200921193633/https://covid-19.sr/,2020-09-21 19:36:33+00:00,2020-09-21,54,14
http://web.archive.org/web/20200922054354/https://covid-19.sr/,2020-09-22 05:43:54+00:00,2020-09-22,98,17
http://web.archive.org/web/20200923214315/https://covid-19.sr/,2020-09-23 21:43:15+00:00,2020-09-23,120,19
http://web.archive.org/web/20200927111426/https://covid-19.sr/,2020-09-27 11:14:26+00:00,2020-09-27,145,14
http://web.archive.org/web/20200928181125/https://covid-19.sr/,2020-09-28 18:11:25+00:00,2020-09-28,66,4
http://web.archive.org/web/20201001172450/https://covid-19.sr/,2020-10-01 17:24:50+00:00,2020-10-01,125,14
http://web.archive.org/web/20201002050903/https://covid-19.sr/,2020-10-02 05:09:03+00:00,2020-10-02,241,14
http://web.archive.org/web/20201009060811/https://covid-19.sr/,2020-10-09 06:08:11+00:00,2020-10-09,191,25
http://web.archive.org/web/20201014173745/http://www.covid-19.sr/,2020-10-14 17:37:45+00:00,2020-10-14,208,11
http://web.archive.org/web/20201015135311/https://covid-19.sr/,2020-10-15 13:53:11+00:00,2020-10-15,208,11
