Date,Daily change in cumulative total,Positive rate,Country,Units,Source URL,Source label,Notes
2020-08-03,166,0.0,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-04,128,0.0,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-05,240,0.0,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-06,201,0.0,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-07,142,0.0,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-10,307,0.0,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-11,219,0.37,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-13,308,0.339,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-17,190,0.333,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-18,449,0.323,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-24,154,0.314,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-26,257,0.305,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-30,472,0.291,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-08-31,237,0.268,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-03,335,0.248,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-04,364,0.234,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-09,300,0.212,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-14,33,0.208,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-16,182,0.189,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-17,105,0.178,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-21,54,0.172,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-22,98,0.17,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-23,120,0.164,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-27,145,0.137,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-09-28,66,0.132,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-01,125,0.143,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-02,241,0.113,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-09,191,0.109,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-15,208,0.092,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-16,294,0.073,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-19,53,0.073,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-26,141,0.073,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-28,165,0.066,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-29,147,0.063,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-30,155,0.048,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-10-31,71,0.046,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-05,75,0.047,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-09,36,0.046,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-11,165,0.037,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-12,141,0.041,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-16,35,0.04,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-19,105,0.041,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-23,34,0.042,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-26,75,0.047,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-29,82,0.038,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-11-30,30,0.04,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-02,99,0.039,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-03,93,0.037,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-06,117,0.032,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-07,24,0.031,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-09,80,0.023,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-14,47,0.031,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-17,140,0.058,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-19,217,0.082,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-21,120,0.119,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-23,328,0.181,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-28,233,0.183,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-30,411,0.199,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2020-12-31,368,0.207,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-01-05,274,0.234,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-01-14,355,0.236,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-01-16,430,0.238,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-01-18,242,0.235,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-01-19,342,0.248,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-01-25,336,0.244,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-02-01,133,0.249,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-02-03,63,0.229,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-02-10,242,0.216,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-02-15,90,0.198,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-02-17,202,0.168,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-02-19,121,0.123,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-02-22,119,0.104,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-02-24,130,0.08,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-02-28,102,0.072,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-03-01,108,0.071,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-03-04,186,0.07,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-03-13,159,0.069,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-03-17,53,0.072,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
2021-03-27,116,0.062,Suriname,tests performed,https://covid-19.sr/,Directorate National Security,
