Date,N_ANT_POSITIVOS,N_ANT,N_PCR_POSITIVOS,N_PCR
2022-01-15,1474,4419,73,487
2022-01-15,222,513,2574,6096
2022-01-15,192,389,26,145
2022-01-15,2065,4681,884,2533
2022-01-15,531,900,171,871
2022-01-15,1624,4345,61,380
2022-01-15,196,440,26,197
2022-01-15,61,201,63,240
2022-01-15,876,3145,379,1433
2022-01-15,9544,29072,1036,5297
2022-01-15,103,260,22,114
2022-01-15,265,647,120,421
2022-01-15,823,1269,1255,2711
2022-01-15,223,416,94,408
2022-01-15,172,727,45,169
2022-01-15,0,0,120,392
2022-01-15,37,116,28,139
2022-01-15,1965,6564,2590,8799
2022-01-15,170,376,979,2733
2022-01-15,896,1514,1284,3707
2022-01-15,117,463,551,1608
2022-01-15,451,707,142,512
2022-01-15,583,1154,636,1466
2022-01-15,1593,3145,549,1836
2022-01-15,1365,2531,475,2181
2022-01-15,0,0,114,477
2022-01-15,120,534,62,211
2022-01-15,0,0,96,301
2022-01-15,0,3,419,1025
2022-01-15,252,515,913,2511
2022-01-15,253,254,25,60
2022-01-15,171,399,716,1789
2022-01-15,363,675,196,671
2022-01-15,518,689,28,143
2022-01-15,79,214,13,65
2022-01-15,1115,2313,142,544
2022-01-15,215,436,355,1175
2022-01-15,0,0,46,213
2022-01-15,392,782,61,352
2022-01-15,347,476,6,70
2022-01-15,443,697,242,817
2022-01-15,2065,2559,312,1186
2022-01-15,2771,5771,1333,4394
2022-01-15,841,2378,47,156
2022-01-15,168,317,368,989
2022-01-15,212,395,71,199
2022-01-14,3563,4955,957,2387
2022-01-14,323,867,74,310
2022-01-14,917,3090,288,846
2022-01-14,30,69,343,1033
2022-01-14,472,730,112,302
2022-01-14,10101,27460,4437,14514
2022-01-14,1985,3927,485,2602
2022-01-14,2683,4267,1866,5003
2022-01-14,0,0,291,1027
2022-01-14,24,37,273,970
2022-01-14,843,2079,328,940
2022-01-14,0,1,370,1235
2022-01-14,675,2002,99,333
2022-01-14,1212,1964,440,1402
2022-01-14,9,18,789,2387
2022-01-14,0,0,110,340
2022-01-14,36,178,1574,3943
2022-01-14,62,175,754,2031
2022-01-14,236,668,28,159
2022-01-14,1407,2717,460,1992
2022-01-14,751,1061,177,511
2022-01-14,0,0,134,467
2022-01-14,27,100,886,2246
2022-01-14,293,1170,113,384
2022-01-14,3221,6386,873,3212
2022-01-14,2437,8675,431,2474
2022-01-14,0,1,160,444
2022-01-14,1115,4137,159,1228
2022-01-14,356,1471,59,181
2022-01-14,290,1055,114,342
2022-01-14,352,928,76,211
2022-01-14,991,2350,296,1048
2022-01-14,1296,3174,816,2292
2022-01-14,938,1590,137,524
2022-01-14,778,1642,3082,7603
2022-01-14,1350,2247,191,931
2022-01-14,2500,4503,2114,6568
2022-01-14,1639,6596,761,2737
