"location","date","A (Lineage)","A.23.1","Alpha - B.1.1.7 (WHO PVOC)","Beta - B.1.351 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.16 (WHO PVOC)","Delta - AY.46 (WHO PVOC)","Delta - AY.46.4 (WHO PVOC)","Delta - AY.46.6 (WHO PVOC)","Delta - AY.6 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Other","Unknown"
"South Sudan","2020-01-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2020-01-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2020-02-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2020-02-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2020-03-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2020-03-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2020-04-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"South Sudan","2020-04-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"South Sudan","2020-05-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124"
"South Sudan","2020-05-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","523"
"South Sudan","2020-06-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","818"
"South Sudan","2020-06-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"South Sudan","2020-07-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","183"
"South Sudan","2020-07-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","141"
"South Sudan","2020-08-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","223"
"South Sudan","2020-08-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2020-08-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"South Sudan","2020-08-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36"
"South Sudan","2020-09-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59"
"South Sudan","2020-09-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108"
"South Sudan","2020-10-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"South Sudan","2020-10-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96"
"South Sudan","2020-11-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87"
"South Sudan","2020-11-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114"
"South Sudan","2020-12-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"South Sudan","2020-12-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57"
"South Sudan","2021-01-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","345"
"South Sudan","2021-01-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-01-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","166"
"South Sudan","2021-01-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-01-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","295"
"South Sudan","2021-02-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-02-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1376"
"South Sudan","2021-02-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-02-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2524"
"South Sudan","2021-03-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-03-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1564"
"South Sudan","2021-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","597"
"South Sudan","2021-04-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-04-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","274"
"South Sudan","2021-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-04-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","161"
"South Sudan","2021-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
