"location","date","Beta - B.1.351.2 (WHO PVOC)","Delta - AY.118 (WHO PVOC)","Delta - AY.43 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.9 (WHO VOC)","Omicron - BA.4.1 (WHO VOC)","Other","Unknown"
"Comoros","2020-01-05","0","0","0","0","0","0","0","0","0"
"Comoros","2020-01-19","0","0","0","0","0","0","0","0","0"
"Comoros","2020-02-02","0","0","0","0","0","0","0","0","0"
"Comoros","2020-02-16","0","0","0","0","0","0","0","0","0"
"Comoros","2020-03-01","0","0","0","0","0","0","0","0","0"
"Comoros","2020-03-15","0","0","0","0","0","0","0","0","0"
"Comoros","2020-03-29","0","0","0","0","0","0","0","0","0"
"Comoros","2020-04-12","0","0","0","0","0","0","0","0","0"
"Comoros","2020-04-26","0","0","0","0","0","0","0","0","0"
"Comoros","2020-05-10","0","0","0","0","0","0","0","0","10"
"Comoros","2020-05-24","0","0","0","0","0","0","0","0","27"
"Comoros","2020-06-07","0","0","0","0","0","0","0","0","33"
"Comoros","2020-06-21","0","0","0","0","0","0","0","0","106"
"Comoros","2020-07-05","0","0","0","0","0","0","0","0","64"
"Comoros","2020-07-19","0","0","0","0","0","0","0","0","23"
"Comoros","2020-08-02","0","0","0","0","0","0","0","0","52"
"Comoros","2020-08-16","0","0","0","0","0","0","0","0","19"
"Comoros","2020-08-30","0","0","0","0","0","0","0","0","18"
"Comoros","2020-09-13","0","0","0","0","0","0","0","0","34"
"Comoros","2020-09-27","0","0","0","0","0","0","0","0","19"
"Comoros","2020-10-11","0","0","0","0","0","0","0","0","16"
"Comoros","2020-10-25","0","0","0","0","0","0","0","0","33"
"Comoros","2020-11-08","0","0","0","0","0","0","0","0","38"
"Comoros","2020-11-22","0","0","0","0","0","0","0","0","33"
"Comoros","2020-12-06","0","0","0","0","0","0","0","0","20"
"Comoros","2020-12-20","0","0","0","0","0","0","0","0","50"
"Comoros","2021-01-03","0","0","0","0","0","0","0","0","198"
"Comoros","2021-01-10","0","0","0","0","0","0","0","0","0"
"Comoros","2021-01-17","0","0","0","0","0","0","0","0","713"
"Comoros","2021-01-31","0","0","0","0","0","0","0","0","1141"
"Comoros","2021-02-14","0","0","0","0","0","0","0","0","614"
"Comoros","2021-02-28","0","0","0","0","0","0","0","0","239"
"Comoros","2021-03-14","0","0","0","0","0","0","0","0","55"
"Comoros","2021-03-28","0","0","0","0","0","0","0","0","64"
"Comoros","2021-04-11","0","0","0","0","0","0","0","0","169"
"Comoros","2021-04-25","0","0","0","0","0","0","0","0","40"
"Comoros","2021-05-09","0","0","0","0","0","0","0","0","25"
"Comoros","2021-05-23","0","0","0","0","0","0","0","0","18"
"Comoros","2021-06-06","0","0","0","0","0","0","0","0","16"
"Comoros","2021-06-20","0","0","0","0","0","0","0","0","20"
"Comoros","2021-07-04","0","0","0","0","0","0","0","0","50"
"Comoros","2021-07-18","0","0","0","0","0","0","0","0","53"
"Comoros","2021-08-01","0","0","0","0","0","0","0","0","17"
"Comoros","2021-08-15","0","0","0","0","0","0","0","0","10"
"Comoros","2021-08-29","0","0","0","0","0","0","0","0","24"
"Comoros","2021-09-12","0","0","0","0","0","0","0","0","33"
"Comoros","2021-09-26","0","0","0","0","0","0","0","0","25"
"Comoros","2021-10-10","0","0","0","0","0","0","0","0","45"
"Comoros","2021-10-17","0","0","0","0","0","0","0","0","0"
"Comoros","2021-10-24","0","0","0","0","0","0","0","0","40"
"Comoros","2021-10-31","0","0","0","0","0","0","0","0","0"
"Comoros","2021-11-07","0","0","0","0","0","0","0","0","110"
"Comoros","2021-11-14","0","0","0","0","0","0","0","0","0"
"Comoros","2021-11-21","0","0","0","0","0","0","0","0","135"
"Comoros","2021-11-28","0","0","0","0","0","0","0","0","0"
"Comoros","2021-12-05","0","0","0","0","0","0","0","0","92"
"Comoros","2021-12-19","0","0","0","0","0","0","0","0","125"
"Comoros","2021-12-26","0","0","0","0","0","0","0","0","0"
"Comoros","2022-01-02","0","0","0","0","0","0","0","0","2168"
"Comoros","2022-01-16","0","0","0","0","0","0","0","0","914"
"Comoros","2022-01-30","0","0","0","0","0","0","0","0","82"
"Comoros","2022-02-13","0","0","0","0","0","0","0","0","171"
"Comoros","2022-02-27","0","0","0","0","0","0","0","0","31"
"Comoros","2022-03-13","0","0","0","0","0","0","0","0","30"
"Comoros","2022-03-27","0","0","0","0","0","0","0","0","20"
"Comoros","2022-04-10","0","0","0","0","0","0","0","0","16"
"Comoros","2022-04-24","0","0","0","0","0","0","0","0","6"
"Comoros","2022-05-08","0","0","0","0","0","0","0","0","3"
"Comoros","2022-05-22","0","0","0","0","0","0","0","0","11"
"Comoros","2022-06-05","0","0","0","0","0","0","0","0","12"
"Comoros","2022-06-19","0","0","0","0","0","0","0","0","5"
"Comoros","2022-07-03","0","0","0","0","0","0","0","0","48"
"Comoros","2022-07-10","0","0","0","0","0","0","0","0","0"
"Comoros","2022-07-17","0","0","0","0","0","0","0","0","86"
"Comoros","2022-07-24","0","0","0","0","0","0","0","0","0"
"Comoros","2022-07-31","0","0","0","0","0","0","0","0","59"
"Comoros","2022-08-14","0","0","0","0","0","0","0","0","74"
"Comoros","2022-08-28","0","0","0","0","0","0","0","0","47"
"Comoros","2022-09-11","0","0","0","0","0","0","0","0","17"
"Comoros","2022-09-25","0","0","0","0","0","0","0","0","5"
"Comoros","2022-10-09","0","0","0","0","0","0","0","0","10"
"Comoros","2022-10-23","0","0","0","0","0","0","0","0","216"
"Comoros","2022-11-06","0","0","0","0","0","0","0","0","208"
"Comoros","2022-11-20","0","0","0","0","0","0","0","0","50"
"Comoros","2022-12-04","0","0","0","0","0","0","0","0","16"
"Comoros","2022-12-18","0","0","0","0","0","0","0","0","9"
"Comoros","2023-01-01","0","0","0","0","0","0","0","0","4"
"Comoros","2023-01-15","0","0","0","0","0","0","0","0","4"
"Comoros","2023-01-29","0","0","0","0","0","0","0","0","4"
"Comoros","2023-02-12","0","0","0","0","0","0","0","0","2"
"Comoros","2023-02-26","0","0","0","0","0","0","0","0","6"
"Comoros","2023-03-12","0","0","0","0","0","0","0","0","0"
