"location","date","A (Lineage)","AS (Lineage)","AY (Lineage)","B (Lineage)","BG (Lineage)","BV (Lineage)","Delta - AY.121 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.126 (WHO PVOC)","M (Lineage)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.2.9 (WHO VOC)","Omicron - BA.5.2 (WHO VOC-SUM)","Omicron - BA.5.2.28 (WHO VOC-SUM)","Omicron - BF.5 (WHO VOC-SUM)","Q (Lineage)","Other"
"Uzbekistan","2020-10-18","14,285714285714285","7,142857142857142","0,0","57,14285714285714","0,0","0,0","0,0","0,0","0,0","21,428571428571427","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Uzbekistan","2020-12-13","50,0","0,0","0,0","25,0","0,0","0,0","0,0","0,0","0,0","25,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Uzbekistan","2021-06-27","0,0","0,0","56,41025641025641","10,256410256410255","0,0","0,0","2,564102564102564","15,384615384615385","7,6923076923076925","0,0","0,0","0,0","0,0","0,0","0,0","7,6923076923076925","0"
"Uzbekistan","2021-07-25","0,0","0,0","29,411764705882355","0,0","0,0","0,0","5,88235294117647","29,411764705882355","35,294117647058826","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Uzbekistan","2022-05-29","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","25,0","25,0","0,0","0,0","0,0","0,0","0"
"Uzbekistan","2022-07-24","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Uzbekistan","2022-08-07","0,0","0,0","0,0","0,0","4,3478260869565215","4,3478260869565215","0,0","0,0","0,0","0,0","0,0","0,0","82,6086956521739","4,3478260869565215","4,3478260869565215","0,0","0"
"Uzbekistan","2022-08-21","0,0","0,0","0,0","0,0","0,0","12,5","0,0","0,0","0,0","0,0","0,0","0,0","75,0","12,5","0,0","0,0","0"
