"location","date","B (Lineage)","Delta - AY.4 (WHO PVOC)","Lambda - C.37 (WHO PVOI)","Omicron - B.1.1.529 (WHO VOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.20 (WHO VOC)","Omicron - BE.3 (WHO VOC)","Omicron - BQ.1.10.1 (WHO VOC-SUM)","Other","Unknown"
"Saint Kitts and Nevis","2020-01-05","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-01-19","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-02-02","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-02-16","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-03-01","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-03-15","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-03-29","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-04-12","0","0","0","0","0","0","0","0","0","0","10"
"Saint Kitts and Nevis","2020-04-26","0","0","0","0","0","0","0","0","0","0","3"
"Saint Kitts and Nevis","2020-05-10","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-05-24","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-06-07","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-06-21","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-07-05","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-07-19","0","0","0","0","0","0","0","0","0","0","2"
"Saint Kitts and Nevis","2020-08-02","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-08-16","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-08-30","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-09-13","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-09-27","0","0","0","0","0","0","0","0","0","0","2"
"Saint Kitts and Nevis","2020-10-11","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-10-25","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-11-08","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-11-22","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2020-12-06","0","0","0","0","0","0","0","0","0","0","5"
"Saint Kitts and Nevis","2020-12-20","0","0","0","0","0","0","0","0","0","0","6"
"Saint Kitts and Nevis","2021-01-03","0","0","0","0","0","0","0","0","0","0","3"
"Saint Kitts and Nevis","2021-01-10","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2021-01-17","0","0","0","0","0","0","0","0","0","0","1"
"Saint Kitts and Nevis","2021-01-31","0","0","0","0","0","0","0","0","0","0","3"
"Saint Kitts and Nevis","2021-02-14","0","0","0","0","0","0","0","0","0","0","3"
"Saint Kitts and Nevis","2021-02-28","0","0","0","0","0","0","0","0","0","0","1"
"Saint Kitts and Nevis","2021-03-14","0","0","0","0","0","0","0","0","0","0","2"
"Saint Kitts and Nevis","2021-03-28","0","0","0","0","0","0","0","0","0","0","1"
"Saint Kitts and Nevis","2021-04-11","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2021-04-25","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2021-05-09","0","0","0","0","0","0","0","0","0","0","1"
"Saint Kitts and Nevis","2021-05-23","0","0","0","0","0","0","0","0","0","0","4"
"Saint Kitts and Nevis","2021-06-06","0","0","0","0","0","0","0","0","0","0","30"
"Saint Kitts and Nevis","2021-06-13","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2021-06-20","0","0","0","0","0","0","0","0","0","0","225"
"Saint Kitts and Nevis","2021-07-04","0","0","0","0","0","0","0","0","0","0","172"
"Saint Kitts and Nevis","2021-07-18","0","0","0","0","0","0","0","0","0","0","72"
"Saint Kitts and Nevis","2021-07-25","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2021-08-01","0","0","0","0","0","0","0","0","0","0","45"
"Saint Kitts and Nevis","2021-08-08","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2021-08-15","0","0","0","0","0","0","0","0","0","0","49"
"Saint Kitts and Nevis","2021-08-22","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2021-08-29","0","0","0","0","0","0","0","0","0","0","382"
"Saint Kitts and Nevis","2021-09-12","0","0","0","0","0","0","0","0","0","0","415"
"Saint Kitts and Nevis","2021-09-26","0","0","0","0","0","0","0","0","0","0","396"
"Saint Kitts and Nevis","2021-10-10","0","0","0","0","0","0","0","0","0","0","526"
"Saint Kitts and Nevis","2021-10-24","0","0","0","0","0","0","0","0","0","0","262"
"Saint Kitts and Nevis","2021-10-31","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2021-11-07","0","0","0","0","0","0","0","0","0","0","85"
"Saint Kitts and Nevis","2021-11-14","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2021-11-21","0","0","0","0","0","0","0","0","0","0","57"
"Saint Kitts and Nevis","2021-12-05","0","0","0","0","0","0","0","0","0","0","24"
"Saint Kitts and Nevis","2021-12-19","0","0","0","0","0","0","0","0","0","0","12"
"Saint Kitts and Nevis","2021-12-26","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2022-01-02","0","0","0","0","0","0","0","0","0","0","242"
"Saint Kitts and Nevis","2022-01-09","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2022-01-16","0","0","0","0","0","0","0","0","0","0","1839"
"Saint Kitts and Nevis","2022-01-30","0","0","0","0","0","0","0","0","0","0","521"
"Saint Kitts and Nevis","2022-02-13","0","0","0","0","0","0","0","0","0","0","94"
"Saint Kitts and Nevis","2022-02-27","0","0","0","0","0","0","0","0","0","0","29"
"Saint Kitts and Nevis","2022-03-13","0","0","0","0","0","0","0","0","0","0","13"
"Saint Kitts and Nevis","2022-03-27","0","0","0","0","0","0","0","0","0","0","9"
"Saint Kitts and Nevis","2022-04-10","0","0","0","0","0","0","0","0","0","0","4"
"Saint Kitts and Nevis","2022-04-24","0","0","0","0","0","0","0","0","0","0","10"
"Saint Kitts and Nevis","2022-05-08","0","0","0","0","0","0","0","0","0","0","21"
"Saint Kitts and Nevis","2022-05-22","0","0","0","0","0","0","0","0","0","0","80"
"Saint Kitts and Nevis","2022-06-05","0","0","0","0","0","0","0","0","0","0","135"
"Saint Kitts and Nevis","2022-06-19","0","0","0","0","0","0","0","0","0","0","112"
"Saint Kitts and Nevis","2022-07-03","0","0","0","0","0","0","0","0","0","0","230"
"Saint Kitts and Nevis","2022-07-17","0","0","0","0","0","0","0","0","0","0","237"
"Saint Kitts and Nevis","2022-07-31","0","0","0","0","0","0","0","0","0","0","82"
"Saint Kitts and Nevis","2022-08-14","0","0","0","0","0","0","0","0","0","0","33"
"Saint Kitts and Nevis","2022-08-28","0","0","0","0","0","0","0","0","0","0","17"
"Saint Kitts and Nevis","2022-09-11","0","0","0","0","0","0","0","0","0","0","20"
"Saint Kitts and Nevis","2022-09-25","0","0","0","0","0","0","0","0","0","0","14"
"Saint Kitts and Nevis","2022-10-09","0","0","0","0","0","0","0","0","0","0","3"
"Saint Kitts and Nevis","2022-10-23","0","0","0","0","0","0","0","0","0","0","2"
"Saint Kitts and Nevis","2022-11-06","0","0","0","0","0","0","0","0","0","0","1"
"Saint Kitts and Nevis","2022-11-20","0","0","0","0","0","0","0","0","0","0","3"
"Saint Kitts and Nevis","2022-12-04","0","0","0","0","0","0","0","0","0","0","7"
"Saint Kitts and Nevis","2022-12-18","0","0","0","0","0","0","0","0","0","0","1"
"Saint Kitts and Nevis","2023-01-01","0","0","0","0","0","0","0","0","0","0","2"
"Saint Kitts and Nevis","2023-01-08","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2023-01-15","0","0","0","0","0","0","0","0","0","0","17"
"Saint Kitts and Nevis","2023-01-22","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","2023-01-29","0","0","0","0","0","0","0","0","0","0","12"
"Saint Kitts and Nevis","2023-02-12","0","0","0","0","0","0","0","0","0","0","2"
"Saint Kitts and Nevis","2023-02-26","0","0","0","0","0","0","0","0","0","0","3"
"Saint Kitts and Nevis","2023-03-12","0","0","0","0","0","0","0","0","0","0","2"
