"location","date","A (Lineage)","B (Lineage)","Delta - AY.133 (WHO VOC)","Eta (WHO VOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BQ.1.1 (WHO VOC)","Other"
"Mali","2020-03-22","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Mali","2020-04-19","72,72727272727273","27,27272727272727","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Mali","2020-06-14","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Mali","2021-01-24","33,33333333333333","66,66666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Mali","2021-04-04","0,0","12,5","0,0","87,5","0,0","0,0","0,0","0,0","0"
"Mali","2021-04-18","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Mali","2021-05-16","0,0","0,0","33,33333333333333","16,666666666666664","16,666666666666664","33,33333333333333","0,0","0,0","0"
"Mali","2021-06-27","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Mali","2021-08-08","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Mali","2021-09-05","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Mali","2021-12-26","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Mali","2022-01-09","0,0","0,0","0,0","0,0","50,0","50,0","0,0","0,0","0"
"Mali","2022-04-17","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Mali","2022-09-04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0"
"Mali","2022-09-18","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0"
