"location","date","A (Lineage)","Alpha (WHO VOC)","Alpha - Q.1 (WHO VOC)","Alpha - Q.3 (WHO VOC)","Alpha - Q.4 (WHO VOC)","B (Lineage)","B.1.1.28","B.1.1.318 (WHO AFM)","B.1.1.318 - AZ.3 (WHO AFM)","B.1.1.519 (WHO AFM)","B.1.258 - 20A/S:439K","B.1.619 (WHO AFM)","B.1.623 (PHE VUI)","B.1.628","B.1.630 (WHO AFM)","Beta (WHO VOC)","C (Lineage)","C.36.3 (WHO AFM)","Delta (WHO VOC)","Delta - AY.10 (WHO VOC)","Delta - AY.14 (WHO VOC)","Delta - AY.16 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.20 (WHO VOC)","Delta - AY.24 (WHO VOC)","Delta - AY.25 (WHO VOC)","Delta - AY.26 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.3.1 (WHO VOC)","Delta - AY.33 (WHO VOC)","Delta - AY.34 (WHO VOC)","Delta - AY.35 (WHO VOC)","Delta - AY.37 (WHO VOC)","Delta - AY.38 (WHO VOC)","Delta - AY.39 (WHO VOC)","Delta - AY.39.1 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.41 (WHO VOC)","Delta - AY.42 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.44 (WHO VOC)","Delta - AY.46 (WHO VOC)","Delta - AY.46.1 (WHO VOC)","Delta - AY.46.2 (WHO VOC)","Delta - AY.47 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.5.2 (WHO VOC)","Delta - AY.9 (WHO VOC)","Epsilon (WHO AFM)","Eta (WHO AFM)","Gamma (WHO VOC)","Gamma - P.1.1 (WHO VOC)","Gamma - P.1.10 (WHO VOC)","Gamma - P.1.12 (WHO VOC)","Gamma - P.1.13 (WHO VOC)","Gamma - P.1.17 (WHO VOC)","Iota (WHO AFM)","Kappa (WHO AFM)","Lambda (WHO VOI)","Mu - 21H (WHO VOI)","Other","R.1 (WHO AFM)","Zeta - P.2 (CDC VBM)"
"Puerto Rico","2020-09-20","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2020-10-04","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2020-10-18","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2020-11-01","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2020-11-15","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2020-11-29","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2020-12-13","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2020-12-27","0,0","0,0","0,0","0,0","0,0","95,83333333333334","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,166666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2021-01-10","0,0","0,0","0,0","0,0","0,0","95,45454545454545","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,545454545454546","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2021-01-24","0,0","3,4482758620689653","0,0","0,0","0,0","84,48275862068965","0,0","0,0","0,0","3,4482758620689653","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,172413793103448","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,4482758620689653"
"Puerto Rico","2021-02-07","0,0","11,76470588235294","0,0","0,0","0,0","76,47058823529412","0,0","0,0","0,0","11,76470588235294","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2021-02-21","0,0","25,0","0,0","0,0","0,0","37,5","0,0","0,0","0,0","12,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,5","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2021-03-07","0,0","19,047619047619047","0,0","0,0","0,0","50,79365079365079","0,0","0,0","0,0","4,761904761904762","0,0","0,0","1,5873015873015872","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,349206349206349","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,11111111111111","0,0","0,0","0,0","0,0","6,349206349206349","0,0"
"Puerto Rico","2021-03-21","1,8018018018018018","51,35135135135135","0,0","0,0","0,0","16,216216216216218","0,0","0,0","0,0","0,0","0,0","0,0","1,8018018018018018","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,405405405405405","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,72072072072072","0,0","0,0","0,0","0,0","2,7027027027027026","0,0"
"Puerto Rico","2021-04-04","0,0","66,4576802507837","0,0","0,0","0,0","13,166144200626958","0,0","0,0","0,0","0,6269592476489028","0,0","0,0","0,9404388714733543","0,0","0,0","0,3134796238244514","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9404388714733543","0,0","1,8808777429467085","0,0","0,0","0,0","0,0","0,0","15,360501567398119","0,0","0,0","0,0","0,0","0,3134796238244514","0,0"
"Puerto Rico","2021-04-18","0,0","63,60294117647059","0,0","0,0","0,0","16,544117647058822","0,0","0,1838235294117647","0,0","1,2867647058823528","0,0","0,0","0,1838235294117647","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,7352941176470588","1,1029411764705883","1,8382352941176472","0,0","0,3676470588235294","0,0","0,0","0,0","13,419117647058822","0,1838235294117647","0,5514705882352942","0,0","0,0","0,0","0,0"
"Puerto Rico","2021-05-02","0,0","67,84140969162996","0,0","0,4405286343612335","0,881057268722467","8,81057268722467","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,4405286343612335","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,9647577092511015","0,0","1,3215859030837005","0,0","0,0","0,0","0,0","0,0","15,859030837004406","0,0","0,4405286343612335","0,0","0,0","0,0","0,0"
"Puerto Rico","2021-05-16","0,0","58,88888888888889","1,1111111111111112","0,0","0,0","8,88888888888889","0,0","0,0","2,2222222222222223","0,0","0,0","0,0","0,0","0,0","1,1111111111111112","0,0","1,1111111111111112","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,444444444444445","0,0","0,0","0,0","18,88888888888889","0,0","0,0","3,3333333333333335","0,0","0,0","0,0"
"Puerto Rico","2021-05-30","0,0","70,96774193548387","1,6129032258064515","0,0","0,0","6,451612903225806","0,0","0,0","0,0","0,0","3,225806451612903","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,451612903225806","0,0","0,0","0,0","1,6129032258064515","0,0","9,67741935483871","0,0","0,0","0,0","0,0","0,0","0,0"
"Puerto Rico","2021-06-13","0,0","42,857142857142854","0,0","0,0","0,0","4,285714285714286","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,4285714285714286","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,4285714285714286","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,428571428571429","0,0","5,714285714285714","0,0","0,0","0,0","8,571428571428571","0,0","0,0","24,285714285714285","0,0","0,0","0,0"
"Puerto Rico","2021-06-27","0,0","20,0","0,0","0,0","0,0","1,1111111111111112","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,2222222222222223","0,0","0,0","1,1111111111111112","10,0","0,0","0,0","0,0","0,0","4,444444444444445","0,0","0,0","0,0","4,444444444444445","0,0","0,0","0,0","7,777777777777778","0,0","0,0","1,1111111111111112","0,0","0,0","0,0","0,0","0,0","3,3333333333333335","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,88888888888889","1,1111111111111112","1,1111111111111112","0,0","0,0","0,0","6,666666666666667","0,0","0,0","26,666666666666668","0,0","0,0","0,0"
"Puerto Rico","2021-07-11","0,0","4,166666666666666","0,0","0,0","0,0","2,083333333333333","0,0","0,0","0,0","0,0","0,0","1,3888888888888888","0,0","0,0","0,6944444444444444","0,0","0,0","0,0","13,88888888888889","0,0","2,083333333333333","0,0","0,0","12,5","0,6944444444444444","1,3888888888888888","4,166666666666666","16,666666666666664","0,0","0,0","0,0","6,944444444444445","0,6944444444444444","0,0","2,7777777777777777","0,0","0,0","0,0","0,0","0,0","13,88888888888889","0,0","0,0","0,6944444444444444","1,3888888888888888","0,0","0,0","0,0","0,0","0,0","0,6944444444444444","0,0","2,7777777777777777","0,0","0,0","0,6944444444444444","2,083333333333333","0,0","0,0","6,944444444444445","0,6944444444444444","0,0","0,0"
"Puerto Rico","2021-07-25","0,0","0,3401360544217687","0,0","0,0","0,0","1,3605442176870748","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0204081632653061","0,0","0,0","0,0","12,585034013605442","0,0","1,3605442176870748","0,0","0,0","6,802721088435375","0,0","6,122448979591836","4,081632653061225","30,952380952380953","0,3401360544217687","0,0","0,0","5,782312925170068","1,7006802721088436","0,0","2,0408163265306123","0,0","0,3401360544217687","0,0","0,0","2,7210884353741496","13,945578231292515","0,0","0,0","0,3401360544217687","2,7210884353741496","0,3401360544217687","0,0","0,0","0,0","0,0","0,3401360544217687","0,0","0,0","0,0","0,0","0,6802721088435374","0,3401360544217687","0,0","0,3401360544217687","2,0408163265306123","1,3605442176870748","0,0","0,0"
"Puerto Rico","2021-08-08","0,0","0,7751937984496124","0,0","0,0","0,0","0,516795865633075","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,671834625322997","1,03359173126615","0,516795865633075","0,2583979328165375","0,2583979328165375","2,0671834625323","0,516795865633075","8,785529715762273","1,8087855297157622","30,749354005167955","0,7751937984496124","0,0","0,0","1,8087855297157622","0,516795865633075","0,0","4,651162790697675","0,2583979328165375","0,0","0,2583979328165375","0,0","2,842377260981912","9,560723514211885","0,0","0,0","0,0","8,010335917312661","0,0","0,0","1,03359173126615","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2583979328165375","0,0","0,0","0,0","0,7751937984496124","1,2919896640826873","0,0","0,0"
"Puerto Rico","2021-08-22","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,228070175438596","0,0","0,0","0,43859649122807015","0,43859649122807015","1,7543859649122806","3,070175438596491","16,228070175438596","3,508771929824561","30,263157894736842","0,8771929824561403","0,0","0,0","0,43859649122807015","0,0","0,0","6,578947368421052","0,43859649122807015","0,0","0,0","0,0","3,9473684210526314","10,087719298245613","0,43859649122807015","0,0","0,0","2,631578947368421","0,8771929824561403","0,0","0,8771929824561403","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,43859649122807015","0,0","0,0","0,0","0,0","0,43859649122807015","0,0","0,0"
"Puerto Rico","2021-09-05","0,0","0,0","0,0","0,0","0,0","2,6402640264026402","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","19,801980198019802","0,0","0,33003300330033003","0,0","0,0","0,33003300330033003","0,0","13,861386138613863","1,65016501650165","23,1023102310231","1,65016501650165","0,0","0,0","0,0","1,3201320132013201","0,33003300330033003","4,29042904290429","1,65016501650165","0,33003300330033003","0,33003300330033003","0,0","15,181518151815181","7,2607260726072615","0,33003300330033003","0,0","0,0","0,9900990099009901","0,6600660066006601","0,33003300330033003","2,31023102310231","0,0","0,0","0,0","0,0","0,0","0,33003300330033003","0,0","0,0","0,0","0,0","0,0","0,33003300330033003","0,6600660066006601","0,0","0,0"
"Puerto Rico","2021-09-19","0,0","0,0","0,0","0,0","0,0","0,4524886877828055","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","24,8868778280543","0,0","0,0","0,0","0,0","0,0","0,904977375565611","22,171945701357465","2,262443438914027","24,8868778280543","0,0","0,4524886877828055","0,4524886877828055","0,0","1,3574660633484164","0,0","1,809954751131222","0,0","0,0","0,0","0,0","8,597285067873303","5,429864253393665","0,0","0,4524886877828055","0,0","1,809954751131222","0,904977375565611","0,0","2,262443438914027","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,904977375565611","0,0","0,0"
"Puerto Rico","2021-10-03","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","23,03030303030303","0,0","0,0","0,0","0,0","0,6060606060606061","1,2121212121212122","26,060606060606062","1,8181818181818181","22,424242424242426","1,8181818181818181","0,0","0,0","0,0","2,4242424242424243","0,0","2,4242424242424243","0,0","0,0","0,0","0,6060606060606061","4,242424242424243","5,454545454545454","1,2121212121212122","0,0","0,0","1,2121212121212122","0,6060606060606061","0,0","2,4242424242424243","0,0","0,0","1,8181818181818181","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6060606060606061","0,0","0,0"
"Puerto Rico","2021-10-17","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","37,5","0,0","0,0","0,0","0,0","0,0","0,0","20,833333333333336","8,333333333333332","12,5","4,166666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,166666666666666","8,333333333333332","0,0","0,0","0,0","0,0","0,0","0,0","4,166666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
