"location","date","A (Lineage)","B (Lineage)","Delta - AY.4 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1.1 (WHO VOC)","R.1 (WHO FMV)","Other"
"Sierra Leone","2020-01-26","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Sierra Leone","2020-04-05","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Sierra Leone","2020-04-19","80,0","20,0","0,0","0,0","0,0","0,0","0"
"Sierra Leone","2020-05-03","50,0","50,0","0,0","0,0","0,0","0,0","0"
"Sierra Leone","2020-12-13","0,0","75,0","0,0","0,0","0,0","25,0","0"
"Sierra Leone","2021-01-10","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Sierra Leone","2021-01-24","0,0","71,42857142857143","0,0","0,0","0,0","28,57142857142857","0"
"Sierra Leone","2021-02-07","0,0","12,903225806451612","0,0","0,0","0,0","87,09677419354838","0"
"Sierra Leone","2021-02-21","0,0","0,0","0,0","0,0","0,0","100,0","0"
"Sierra Leone","2021-04-04","0,0","0,0","0,0","0,0","0,0","100,0","0"
"Sierra Leone","2021-05-16","0,0","0,0","0,0","100,0","0,0","0,0","0"
"Sierra Leone","2021-06-13","0,0","96,15384615384616","0,0","3,8461538461538463","0,0","0,0","0"
"Sierra Leone","2021-06-27","0,0","61,53846153846154","0,0","38,46153846153847","0,0","0,0","0"
"Sierra Leone","2021-07-11","0,0","0,0","0,0","100,0","0,0","0,0","0"
"Sierra Leone","2021-07-25","0,0","0,0","0,0","100,0","0,0","0,0","0"
"Sierra Leone","2021-09-19","0,0","0,0","0,0","100,0","0,0","0,0","0"
"Sierra Leone","2021-11-14","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Sierra Leone","2021-11-28","0,0","0,0","0,0","0,0","100,0","0,0","0"
