"location","date","A.2.5","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Delta - AY.103 (WHO PVOC)","Delta - AY.25.1 (WHO PVOC)","Delta - AY.39.1 (WHO PVOC)","Delta - AY.4 (WHO PVOC)","Delta - AY.44 (WHO PVOC)","Delta - AY.5.6 (WHO PVOC)","Delta - AY.75 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Iota - B.1.526 (WHO PVOI)","Other","Unknown"
"Grenada","2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Grenada","2020-04-05","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Grenada","2020-04-19","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Grenada","2020-05-03","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Grenada","2020-05-17","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Grenada","2020-05-31","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Grenada","2020-06-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2020-06-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2020-07-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2020-07-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2020-08-09","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Grenada","2020-08-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2020-09-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2020-09-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2020-10-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2020-10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Grenada","2020-11-01","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Grenada","2020-11-15","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Grenada","2020-11-29","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Grenada","2020-12-13","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Grenada","2020-12-27","0","0","0","0","0","0","0","0","0","0","0","0","0","43"
"Grenada","2021-01-10","0","0","12","0","0","0","0","0","0","0","0","4","0","0"
