"location","date","B (Lineage)","BA (Lineage)","Delta - AY.4 (WHO PVOC)","Lambda - C.37 (WHO PVOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.20 (WHO VOC)","Other"
"Saint Kitts and Nevis","2021-01-10","0,0","0,0","50,0","50,0","0,0","0,0","0,0","0"
"Saint Kitts and Nevis","2021-06-13","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Saint Kitts and Nevis","2021-07-25","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Saint Kitts and Nevis","2021-08-08","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Saint Kitts and Nevis","2021-08-22","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Saint Kitts and Nevis","2021-10-31","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Saint Kitts and Nevis","2021-11-14","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Saint Kitts and Nevis","2021-12-26","0,0","0,0","0,0","0,0","50,0","0,0","50,0","0"
"Saint Kitts and Nevis","2022-01-09","41,66666666666667","16,666666666666664","0,0","0,0","16,666666666666664","16,666666666666664","8,333333333333332","0"
