"location","date","Alpha (WHO VOC)","B (Lineage)","C.36.3 (WHO FMV)","Delta - AY.106 (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.127 (WHO VOC)","Delta - AY.4 (WHO VOC)","Eta (WHO VOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.1.20 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.14 (WHO VOC)","Omicron - BA.2.9 (WHO VOC)","Other","Unknown"
"Belarus","2020-03-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Belarus","2020-03-22","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2020-04-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","486"
"Belarus","2020-04-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5245"
"Belarus","2020-05-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10898"
"Belarus","2020-05-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12945"
"Belarus","2020-05-31","0","12906","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2020-06-14","0","11417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2020-06-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7502"
"Belarus","2020-07-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3457"
"Belarus","2020-07-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2200"
"Belarus","2020-08-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1718"
"Belarus","2020-08-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1618"
