"location","date","A.2.5","Alpha (WHO VOC)","B (Lineage)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","B.1.619 (WHO FMV)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.103 (WHO VOC)","Delta - AY.20 (WHO VOC)","Delta - AY.23 (WHO VOC)","Delta - AY.34 (WHO VOC)","Delta - AY.36 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.43.8 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Gamma (WHO VOC)","Gamma - P.1.12 (WHO VOC)","Gamma - P.1.15 (WHO VOC)","N (Lineage)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.1 (WHO VOC)","Omicron - BA.1.1.12 (WHO VOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.1 (WHO VOC)","Omicron - BA.2.10 (WHO VOC)","Omicron - BA.2.30 (WHO VOC)","Omicron - BA.2.40.1 (WHO VOC)","Other","Zeta (WHO VOI)","Unknown"
"Suriname","2020-12-13","","","","21,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21,0",""
"Suriname","2020-12-27","","","","49,0","","49,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529,0",""
"Suriname","2021-01-10","","","","","1030,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-01-24","","","","186,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","864,0",""
"Suriname","2021-02-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154,0","461,0",""
"Suriname","2021-02-21","","22,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176,0",""
"Suriname","2021-03-07","","8,0","","","","","","","","","","","","","","","","","15,0","","","","","","","","","","","","","","","","","","88,0",""
"Suriname","2021-03-21","21,0","21,0","","","","","","14,0","","","","","","","","","","","7,0","","","","","","","","","","","","","","","","","","28,0",""
"Suriname","2021-04-04","6,0","21,0","","","","","","6,0","","","","","","","","","","","45,0","","","","","","","","","","","","","","","","","","23,0",""
"Suriname","2021-04-18","","70,0","44,0","","","","","","","","","","","","","","","","244,0","","","","","","","","","","","","","","","","","","61,0",""
"Suriname","2021-05-02","","158,0","40,0","","","","40,0","","","","","","","","","","","","593,0","","","","","","","","","","","","","","","","","","79,0",""
"Suriname","2021-05-16","","272,0","102,0","","","","","","","","","","","","","","","","1088,0","","","","","","","","","","","","","","","","","","",""
