"location","date","A (Lineage)","A.27","AE (Lineage)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","C (Lineage)","Delta - AY.122 (WHO PVOC)","Delta - AY.133 (WHO PVOC)","Delta - AY.36 (WHO PVOC)","Delta - AY.37 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","L (Lineage)","Omicron - BA.1.13 (WHO VOC)","Other"
"Burkina Faso","2020-04-05","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0"
"Burkina Faso","2020-05-17","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-05-31","33,33333333333333","0,0","0,0","0,0","66,66666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-06-14","50,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-06-28","57,14285714285714","0,0","14,285714285714285","0,0","28,57142857142857","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-07-12","20,0","0,0","40,0","0,0","40,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-07-26","66,66666666666666","0,0","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-08-09","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-08-23","69,23076923076923","0,0","0,0","0,0","30,76923076923077","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-09-06","83,33333333333334","0,0","0,0","0,0","16,666666666666664","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-09-20","67,64705882352942","0,0","0,0","0,0","26,47058823529412","0,0","0,0","0,0","5,88235294117647","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-10-04","61,53846153846154","0,0","0,0","0,0","38,46153846153847","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-10-18","75,0","0,0","0,0","0,0","25,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-11-01","50,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-11-15","37,5","0,0","0,0","0,0","62,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-11-29","46,666666666666664","0,0","0,0","0,0","46,666666666666664","6,666666666666667","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2020-12-13","38,88888888888889","0,0","0,0","0,0","44,44444444444444","0,0","0,0","0,0","13,88888888888889","0,0","2,7777777777777777","0,0","0,0","0,0","0"
"Burkina Faso","2020-12-27","31,03448275862069","3,4482758620689653","0,0","0,0","50,57471264367817","0,0","0,0","0,0","10,344827586206897","0,0","0,0","4,597701149425287","0,0","0,0","0"
"Burkina Faso","2021-01-10","30,64516129032258","6,451612903225806","0,0","0,0","62,903225806451616","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2021-01-24","29,72972972972973","21,62162162162162","0,0","2,7027027027027026","43,24324324324324","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,7027027027027026","0,0","0"
"Burkina Faso","2021-02-07","7,142857142857142","57,14285714285714","0,0","14,285714285714285","21,428571428571427","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2021-02-21","20,0","50,0","0,0","0,0","30,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2021-03-07","40,0","0,0","0,0","0,0","60,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2021-03-21","22,22222222222222","11,11111111111111","0,0","0,0","44,44444444444444","0,0","0,0","0,0","11,11111111111111","0,0","0,0","11,11111111111111","0,0","0,0","0"
"Burkina Faso","2021-04-04","25,0","0,0","0,0","0,0","12,5","0,0","0,0","0,0","12,5","0,0","0,0","50,0","0,0","0,0","0"
"Burkina Faso","2021-04-18","22,22222222222222","0,0","0,0","0,0","11,11111111111111","0,0","0,0","0,0","11,11111111111111","0,0","0,0","55,55555555555556","0,0","0,0","0"
"Burkina Faso","2021-05-02","16,666666666666664","0,0","0,0","0,0","16,666666666666664","0,0","0,0","0,0","16,666666666666664","0,0","0,0","50,0","0,0","0,0","0"
"Burkina Faso","2021-05-16","50,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2021-07-11","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Burkina Faso","2021-09-05","0,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","50,0","0,0","0,0","0,0","0"
"Burkina Faso","2021-10-03","0,0","0,0","0,0","0,0","0,0","0,0","20,0","20,0","0,0","20,0","40,0","0,0","0,0","0,0","0"
