"location","date","A (Lineage)","AU.3 (WHO FMV)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Delta - AY.39 (WHO PVOC)","Delta - AY.82 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Other","Unknown"
"Fiji","2020-01-05","0","0","0","0","0","0","0","0","0"
"Fiji","2020-01-19","0","0","0","0","0","0","0","0","0"
"Fiji","2020-02-02","0","0","0","0","0","0","0","0","0"
"Fiji","2020-02-16","0","0","0","0","0","0","0","0","0"
"Fiji","2020-03-01","0","0","0","0","0","0","0","0","0"
"Fiji","2020-03-15","0","0","0","0","0","0","0","0","0"
"Fiji","2020-03-22","0","0","0","0","0","0","0","0","0"
"Fiji","2020-03-29","0","0","0","0","0","0","0","0","4"
"Fiji","2020-04-05","0","0","0","0","0","0","0","0","0"
"Fiji","2020-04-12","0","0","0","0","0","0","0","0","11"
"Fiji","2020-04-26","0","0","0","0","0","0","0","0","2"
"Fiji","2020-05-10","0","0","0","0","0","0","0","0","0"
"Fiji","2020-05-24","0","0","0","0","0","0","0","0","0"
"Fiji","2020-06-07","0","0","0","0","0","0","0","0","0"
"Fiji","2020-06-21","0","0","0","0","0","0","0","0","0"
"Fiji","2020-07-05","0","0","0","0","0","0","0","0","0"
"Fiji","2020-07-19","0","0","0","0","0","0","0","0","8"
"Fiji","2020-08-02","0","0","0","0","0","0","0","0","1"
"Fiji","2020-08-16","0","0","0","0","0","0","0","0","1"
"Fiji","2020-08-30","0","0","0","0","0","0","0","0","0"
"Fiji","2020-09-06","0","0","0","0","0","0","0","0","0"
"Fiji","2020-09-13","0","0","0","0","0","0","0","0","4"
"Fiji","2020-09-27","0","0","0","0","0","0","0","0","0"
"Fiji","2020-10-11","0","0","0","0","0","0","0","0","0"
"Fiji","2020-10-25","0","0","0","0","0","0","0","0","1"
"Fiji","2020-11-08","0","0","0","0","0","0","0","0","1"
"Fiji","2020-11-22","0","0","0","0","0","0","0","0","1"
"Fiji","2020-11-29","0","0","0","0","0","0","0","0","0"
"Fiji","2020-12-06","0","0","0","0","0","0","0","0","9"
"Fiji","2020-12-13","0","0","0","0","0","0","0","0","0"
"Fiji","2020-12-20","0","0","0","0","0","0","0","0","2"
"Fiji","2021-01-03","0","0","0","0","0","0","0","0","3"
"Fiji","2021-01-10","0","0","0","0","0","0","0","0","0"
"Fiji","2021-01-17","0","0","0","0","0","0","0","0","6"
"Fiji","2021-01-31","0","0","0","0","0","0","0","0","0"
"Fiji","2021-02-07","0","0","0","0","0","0","0","0","0"
"Fiji","2021-02-14","0","0","0","0","0","0","0","0","1"
"Fiji","2021-02-28","0","0","0","0","0","0","0","0","3"
"Fiji","2021-03-07","0","0","0","0","0","0","0","0","0"
"Fiji","2021-03-14","0","0","0","0","0","0","0","0","7"
"Fiji","2021-03-21","0","0","0","0","0","0","0","0","0"
"Fiji","2021-03-28","0","0","0","0","0","0","0","0","1"
"Fiji","2021-04-11","0","0","0","0","0","0","0","0","1"
"Fiji","2021-04-18","0","0","0","0","0","0","0","0","0"
"Fiji","2021-04-25","0","0","0","0","0","0","0","0","21"
"Fiji","2021-05-02","0","0","0","0","0","0","0","0","0"
"Fiji","2021-05-09","0","0","0","0","0","0","0","0","48"
"Fiji","2021-05-16","0","0","0","0","0","0","0","0","0"
"Fiji","2021-05-23","0","0","0","0","0","0","0","0","69"
"Fiji","2021-05-30","0","0","0","0","0","0","0","0","0"
"Fiji","2021-06-06","0","0","0","0","0","0","0","0","398"
"Fiji","2021-06-13","0","0","0","0","0","0","0","0","0"
"Fiji","2021-06-20","0","0","0","0","0","0","0","0","1194"
"Fiji","2021-06-27","0","0","0","0","0","0","0","0","0"
"Fiji","2021-07-04","0","0","0","0","0","0","0","0","3841"
"Fiji","2021-07-11","0","0","0","0","0","0","0","0","0"
"Fiji","2021-07-18","0","0","0","0","0","0","0","0","10832"
"Fiji","2021-08-01","0","0","0","0","0","0","0","0","13310"
"Fiji","2021-08-15","0","0","0","0","0","0","0","0","9989"
"Fiji","2021-08-29","0","0","0","0","0","0","0","0","5861"
"Fiji","2021-09-12","0","0","0","0","0","0","0","0","3227"
"Fiji","2021-09-26","0","0","0","0","0","0","0","0","1843"
"Fiji","2021-10-10","0","0","0","0","0","0","0","0","782"
"Fiji","2021-10-24","0","0","0","0","0","0","0","0","509"
"Fiji","2021-11-07","0","0","0","0","0","0","0","0","260"
"Fiji","2021-11-21","0","0","0","0","0","0","0","0","201"
"Fiji","2021-12-05","0","0","0","0","0","0","0","0","90"
"Fiji","2021-12-19","0","0","0","0","0","0","0","0","92"
"Fiji","2022-01-02","0","0","0","0","0","0","0","0","1794"
"Fiji","2022-01-16","0","0","0","0","0","0","0","0","4989"
"Fiji","2022-01-30","0","0","0","0","0","0","0","0","3174"
"Fiji","2022-02-13","0","0","0","0","0","0","0","0","895"
"Fiji","2022-02-27","0","0","0","0","0","0","0","0","285"
"Fiji","2022-03-13","0","0","0","0","0","0","0","0","301"
"Fiji","2022-03-27","0","0","0","0","0","0","0","0","292"
"Fiji","2022-04-10","0","0","0","0","0","0","0","0","117"
"Fiji","2022-04-24","0","0","0","0","0","0","0","0","45"
"Fiji","2022-05-08","0","0","0","0","0","0","0","0","172"
"Fiji","2022-05-22","0","0","0","0","0","0","0","0","142"
