"location","date","A (Lineage)","A.23.1","A.27","AZ (Lineage)","Alpha (WHO VOC)","B (Lineage)","B.1.1.318 (WHO AFM)","B.1.214.2 (WHO AFM)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Eta (WHO AFM)","L (Lineage)","Other"
"Togo","2020-03-22","66,66666666666666","0,0","0,0","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2020-04-05","50,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2020-05-31","60,0","0,0","0,0","0,0","0,0","40,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2020-06-14","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2020-06-28","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2020-07-12","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2020-10-04","66,66666666666666","0,0","0,0","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2020-11-29","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2020-12-13","0,0","14,285714285714285","0,0","0,0","0,0","85,71428571428571","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2020-12-27","0,0","0,0","20,0","0,0","0,0","40,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0"
"Togo","2021-01-10","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2021-01-24","0,0","0,0","60,0","0,0","40,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Togo","2021-02-07","5,88235294117647","0,0","32,35294117647059","0,0","14,705882352941178","11,76470588235294","8,823529411764707","0,0","2,941176470588235","0,0","0,0","0,0","0,0","23,52941176470588","0,0","0,0"
"Togo","2021-02-21","0,0","0,0","10,526315789473683","0,0","28,947368421052634","7,894736842105263","13,157894736842104","0,0","0,0","0,0","0,0","0,0","0,0","39,473684210526315","0,0","0,0"
"Togo","2021-03-07","0,0","0,0","2,631578947368421","0,0","18,421052631578945","7,894736842105263","15,789473684210526","0,0","5,263157894736842","0,0","0,0","0,0","0,0","50,0","0,0","0,0"
"Togo","2021-03-21","0,0","0,0","6,666666666666667","0,0","33,33333333333333","6,666666666666667","6,666666666666667","0,0","0,0","0,0","0,0","0,0","0,0","46,666666666666664","0,0","0,0"
"Togo","2021-04-04","0,0","0,0","0,0","0,0","20,0","10,0","20,0","0,0","10,0","0,0","0,0","0,0","0,0","40,0","0,0","0,0"
"Togo","2021-04-18","0,0","0,0","0,0","7,142857142857142","0,0","0,0","21,428571428571427","0,0","0,0","7,142857142857142","0,0","0,0","0,0","64,28571428571429","0,0","0,0"
"Togo","2021-05-02","0,0","0,0","0,0","0,0","25,0","0,0","25,0","0,0","0,0","12,5","0,0","0,0","0,0","37,5","0,0","0,0"
"Togo","2021-06-13","0,0","0,0","0,0","12,0","0,0","4,0","4,0","0,0","0,0","68,0","4,0","0,0","0,0","4,0","0,0","4,0"
"Togo","2021-06-27","0,0","0,0","0,0","3,7037037037037033","0,0","0,0","14,814814814814813","0,0","0,0","55,55555555555556","3,7037037037037033","11,11111111111111","3,7037037037037033","3,7037037037037033","0,0","3,7037037037037033"
"Togo","2021-07-11","0,0","0,0","0,0","0,0","0,0","0,0","8,333333333333332","0,0","0,0","70,83333333333334","4,166666666666666","16,666666666666664","0,0","0,0","0,0","0,0"
"Togo","2021-07-25","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","79,16666666666666","0,0","12,5","8,333333333333332","0,0","0,0","0,0"
"Togo","2021-08-08","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","81,81818181818183","0,0","13,636363636363635","4,545454545454546","0,0","0,0","0,0"
