"location","date","A (Lineage)","Alpha (WHO VOC)","Alpha - Q.2 (WHO VOC)","Alpha - Q.8 (WHO VOC)","B (Lineage)","B.1.1.28","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.258 - 20A/S:439K","Beta (WHO VOC)","C.36 (ECDC VUM)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.7 (WHO VOC)","Eta (WHO AFM)","Gamma - P.1.1 (WHO VOC)","Kappa (WHO AFM)","Other"
"Thailand","2021-05-02","0,0","95,6989247311828","0,0","0,0","2,1505376344086025","0,0","0,0","0,0","0,0","0,0","0,0","1,0752688172043012","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0752688172043012","0,0"
"Thailand","2021-05-16","0,0","77,83251231527095","0,3284072249589491","0,16420361247947454","2,134646962233169","0,0","0,0","0,0","0,0","3,9408866995073892","0,0","0,16420361247947454","0,0","0,0","9,688013136289","0,0","0,0","0,0","0,0","0,0","5,747126436781609"
"Thailand","2021-05-30","0,0","78,98089171974523","0,0","0,0","3,343949044585987","0,0","0,0","0,0","0,0","1,5923566878980893","0,0","0,6369426751592357","0,0","0,0","9,713375796178344","0,0","0,0","0,0","0,0","0,0","5,7324840764331215"
"Thailand","2021-06-13","0,0","64,03508771929825","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,017543859649122","0,0","0,8771929824561403","28,07017543859649","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2021-06-27","0,0","31,428571428571427","0,0","0,0","0,0","0,0","0,0","0,0","0,0","17,142857142857142","0,0","10,714285714285714","0,0","0,0","38,57142857142858","0,0","0,0","0,0","0,0","0,0","2,142857142857143"
"Thailand","2021-07-11","0,0","17,543859649122805","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,631578947368421","0,0","3,508771929824561","0,0","0,8771929824561403","75,43859649122807","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2021-07-25","0,0","27,37430167597765","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,027932960893855","0,0","8,379888268156424","0,0","0,0","57,54189944134078","0,5586592178770949","0,5586592178770949","0,0","0,0","0,0","0,5586592178770949"
"Thailand","2021-08-08","0,0","22,872340425531913","0,0","0,0","1,0638297872340425","0,0","0,0","0,0","0,0","0,5319148936170213","0,0","15,957446808510639","0,0","0,0","58,51063829787234","0,0","0,0","0,0","0,0","0,0","1,0638297872340425"
"Thailand","2021-08-22","0,45045045045045046","19,36936936936937","0,0","0,45045045045045046","0,0","0,0","0,0","0,0","0,0","1,3513513513513513","0,0","21,62162162162162","1,3513513513513513","0,0","53,6036036036036","0,0","0,0","0,0","0,0","0,0","1,8018018018018018"
"Thailand","2021-09-05","0,0","6,306306306306306","0,0","0,0","1,8018018018018018","0,0","0,0","0,0","0,0","2,7027027027027026","0,0","41,44144144144144","0,9009009009009009","0,0","39,63963963963964","6,306306306306306","0,0","0,0","0,0","0,0","0,9009009009009009"
"Thailand","2021-09-19","0,0","10,204081632653061","0,0","0,0","5,1020408163265305","0,0","0,0","0,0","0,0","12,244897959183673","0,0","25,510204081632654","0,0","1,0204081632653061","29,591836734693878","7,142857142857142","1,0204081632653061","0,0","0,0","0,0","8,16326530612245"
