"location","date","B (Lineage)","Beta - B.1.351 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Other","Unknown"
"Tanzania","2020-01-05","0","0","0","0","0","0","0","0"
"Tanzania","2020-01-19","0","0","0","0","0","0","0","0"
"Tanzania","2020-02-02","0","0","0","0","0","0","0","0"
"Tanzania","2020-02-16","0","0","0","0","0","0","0","0"
"Tanzania","2020-03-01","0","0","0","0","0","0","0","0"
"Tanzania","2020-03-15","0","0","0","0","0","0","0","0"
"Tanzania","2020-03-29","0","0","0","0","0","0","0","13"
"Tanzania","2020-04-12","0","0","0","0","0","0","0","19"
"Tanzania","2020-04-26","0","0","0","0","0","0","0","267"
"Tanzania","2020-05-10","0","0","0","0","0","0","0","209"
"Tanzania","2020-05-24","0","0","0","0","0","0","0","0"
"Tanzania","2020-06-07","0","0","0","0","0","0","0","0"
"Tanzania","2020-06-21","0","0","0","0","0","0","0","0"
"Tanzania","2020-07-05","0","0","0","0","0","0","0","0"
"Tanzania","2020-07-19","0","0","0","0","0","0","0","0"
"Tanzania","2020-08-02","0","0","0","0","0","0","0","0"
"Tanzania","2020-08-16","0","0","0","0","0","0","0","0"
"Tanzania","2020-08-30","0","0","0","0","0","0","0","0"
"Tanzania","2020-09-13","0","0","0","0","0","0","0","0"
"Tanzania","2020-09-27","0","0","0","0","0","0","0","0"
"Tanzania","2020-10-11","0","0","0","0","0","0","0","0"
"Tanzania","2020-10-25","0","0","0","0","0","0","0","0"
"Tanzania","2020-11-08","0","0","0","0","0","0","0","0"
"Tanzania","2020-11-22","0","0","0","0","0","0","0","0"
"Tanzania","2020-12-06","0","0","0","0","0","0","0","0"
"Tanzania","2020-12-20","0","0","0","0","0","0","0","0"
"Tanzania","2021-01-03","0","0","0","0","0","0","0","0"
"Tanzania","2021-01-17","0","0","0","0","0","0","0","0"
"Tanzania","2021-01-24","0","0","0","0","0","0","0","0"
"Tanzania","2021-01-31","0","0","0","0","0","0","0","0"
"Tanzania","2021-02-14","0","0","0","0","0","0","0","0"
"Tanzania","2021-02-28","0","0","0","0","0","0","0","0"
"Tanzania","2021-03-14","0","0","0","0","0","0","0","0"
"Tanzania","2021-03-28","0","0","0","0","0","0","0","0"
"Tanzania","2021-04-04","0","0","0","0","0","0","0","0"
"Tanzania","2021-04-11","0","0","0","0","0","0","0","0"
"Tanzania","2021-04-18","0","0","0","0","0","0","0","0"
"Tanzania","2021-04-25","0","0","0","0","0","0","0","0"
"Tanzania","2021-05-02","0","0","0","0","0","0","0","0"
"Tanzania","2021-05-09","0","0","0","0","0","0","0","0"
"Tanzania","2021-05-16","0","0","0","0","0","0","0","0"
"Tanzania","2021-05-23","0","0","0","0","0","0","0","0"
"Tanzania","2021-06-06","0","0","0","0","0","0","0","0"
"Tanzania","2021-06-20","0","0","0","0","0","0","0","0"
"Tanzania","2021-07-04","0","0","0","0","0","0","0","100"
"Tanzania","2021-07-18","0","0","0","0","0","0","0","408"
"Tanzania","2021-08-01","0","0","0","0","0","0","0","1183"
"Tanzania","2021-08-15","0","0","0","0","0","0","0","21177"
"Tanzania","2021-08-29","0","0","0","0","0","0","0","1458"
"Tanzania","2021-09-12","0","0","0","0","0","0","0","679"
"Tanzania","2021-09-26","0","0","0","0","0","0","0","336"
"Tanzania","2021-10-10","0","0","0","0","0","0","0","184"
"Tanzania","2021-10-24","0","0","0","0","0","0","0","120"
"Tanzania","2021-11-07","0","0","0","0","0","0","0","54"
"Tanzania","2021-11-21","0","0","0","0","0","0","0","53"
"Tanzania","2021-12-05","0","0","0","0","0","0","0","48"
"Tanzania","2021-12-19","0","0","0","0","0","0","0","292"
"Tanzania","2021-12-26","0","0","0","0","0","0","0","0"
"Tanzania","2022-01-02","0","0","0","0","0","0","0","3987"
"Tanzania","2022-01-16","0","0","0","0","0","0","0","1819"
"Tanzania","2022-01-23","0","0","0","0","0","0","0","0"
"Tanzania","2022-01-30","0","0","0","0","0","0","0","823"
"Tanzania","2022-02-13","0","0","0","0","0","0","0","321"
"Tanzania","2022-02-20","0","0","0","0","0","0","0","0"
"Tanzania","2022-02-27","0","0","0","0","0","0","0","69"
"Tanzania","2022-03-13","0","0","0","0","0","0","0","153"
"Tanzania","2022-03-27","0","0","0","0","0","0","0","42"
"Tanzania","2022-04-10","0","0","0","0","0","0","0","36"
