"location","date","A.23.1 (ECDC VUM)","AT.1 (ECDC VUM)","Alpha (WHO VOC)","B (Lineage)","B.1.1.523 (WHO AFM)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","B.1.258 - 20A/S:439K","Beta (WHO VOC)","C (Lineage)","C.36 (ECDC VUM)","C.36.3 (WHO AFM)","Delta (WHO VOC)","Delta - AY.6","Eta (WHO VOI)","M (Lineage)","Other","Q (Lineage)","S (Lineage)","U (Lineage)"
"Estonia","2020-03-22","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Estonia","2020-09-20","0,0","0,0","0,0","89,83050847457628","0,0","1,694915254237288","3,389830508474576","0,0","5,084745762711865","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Estonia","2020-10-04","0,0","0,0","0,0","84,84848484848484","0,0","13,131313131313133","1,0101010101010102","0,0","1,0101010101010102","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Estonia","2020-10-18","0,0","0,0","0,0","88,23529411764706","0,0","5,88235294117647","0,0","2,941176470588235","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,941176470588235","0,0","0,0","0,0"
"Estonia","2020-11-01","0,0","0,0","0,0","59,523809523809526","0,0","4,761904761904762","4,761904761904762","0,0","28,57142857142857","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,380952380952381","0,0","0,0","0,0","0,0"
"Estonia","2020-11-15","0,0","0,0","0,0","53,57142857142857","0,0","3,571428571428571","7,142857142857142","3,571428571428571","32,142857142857146","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Estonia","2020-11-29","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Estonia","2020-12-13","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Estonia","2020-12-27","0,0","0,0","50,0","10,0","0,0","0,0","0,0","20,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Estonia","2021-01-10","2,4390243902439024","0,0","9,75609756097561","19,51219512195122","0,0","0,0","12,195121951219512","4,878048780487805","48,78048780487805","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,4390243902439024","0,0","0,0","0,0"
"Estonia","2021-01-24","0,0","0,0","10,0","40,0","0,0","0,0","30,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Estonia","2021-02-07","0,0","0,0","2,127659574468085","27,659574468085108","0,0","0,0","55,319148936170215","0,0","14,893617021276595","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
