"location","date","A.23.1","B (Lineage)","B.1.466.2 (WHO FMV)","Delta - AY.23 (WHO PVOC)","Delta - AY.24 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Other","Unknown"
"Timor","2020-01-05","0","0","0","0","0","0","0","0","0"
"Timor","2020-01-19","0","0","0","0","0","0","0","0","0"
"Timor","2020-02-02","0","0","0","0","0","0","0","0","0"
"Timor","2020-02-16","0","0","0","0","0","0","0","0","0"
"Timor","2020-03-01","0","0","0","0","0","0","0","0","0"
"Timor","2020-03-15","0","0","0","0","0","0","0","0","0"
"Timor","2020-03-22","0","0","0","0","0","0","0","0","0"
"Timor","2020-03-29","0","0","0","0","0","0","0","0","0"
"Timor","2020-04-05","0","0","0","0","0","0","0","0","0"
"Timor","2020-04-12","0","0","0","0","0","0","0","0","1"
"Timor","2020-04-19","0","0","0","0","0","0","0","0","0"
"Timor","2020-04-26","0","0","0","0","0","0","0","0","22"
"Timor","2020-05-10","0","0","0","0","0","0","0","0","0"
"Timor","2020-05-24","0","0","0","0","0","0","0","0","0"
"Timor","2020-06-07","0","0","0","0","0","0","0","0","0"
"Timor","2020-06-21","0","0","0","0","0","0","0","0","0"
"Timor","2020-07-05","0","0","0","0","0","0","0","0","0"
"Timor","2020-07-19","0","0","0","0","0","0","0","0","0"
"Timor","2020-08-02","0","0","0","0","0","0","0","0","0"
"Timor","2020-08-16","0","0","0","0","0","0","0","0","1"
"Timor","2020-08-30","0","0","0","0","0","0","0","0","2"
"Timor","2020-09-13","0","0","0","0","0","0","0","0","0"
"Timor","2020-09-27","0","0","0","0","0","0","0","0","0"
"Timor","2020-10-11","0","0","0","0","0","0","0","0","2"
"Timor","2020-10-25","0","0","0","0","0","0","0","0","0"
"Timor","2020-11-08","0","0","0","0","0","0","0","0","1"
"Timor","2020-11-22","0","0","0","0","0","0","0","0","0"
"Timor","2020-11-29","0","0","0","0","0","0","0","0","0"
"Timor","2020-12-06","0","0","0","0","0","0","0","0","1"
