"location","date","A (Lineage)","A.28","Alpha (WHO VOC)","B (Lineage)","Beta (WHO VOC)","C (Lineage)","Delta (WHO VOC)","Delta - AY.106 (WHO VOC)","Delta - AY.112 (WHO VOC)","Delta - AY.120 (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.127 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.4.2 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.46 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.75 (WHO VOC)","Delta - AY.9 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Delta - AY.98.1 (WHO VOC)","Eta (WHO VOI)","Kappa (WHO VOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.10 (WHO VOC)","Omicron - BA.2.76 (WHO VOC)","Omicron - BA.5.2 (WHO VOC)","Other","Unknown"
"Oman","2021-05-02","0","0","13853","0","385","0","1155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","385","0","0","0","0","0","0","0","0","0","0"
"Oman","2021-05-16","0","0","5546","0","0","463","2773","0","463","0","0","0","0","0","0","0","0","0","0","0","0","0","463","0","0","0","0","0","0","0","0","0","0"
"Oman","2021-05-30","0","0","4269","0","0","1068","2135","0","2135","0","0","0","0","0","0","0","0","0","0","0","0","1068","0","0","0","0","0","0","0","0","0","0","0"
"Oman","2021-06-13","0","0","4856","0","0","0","11168","0","1457","0","486","0","0","0","0","0","486","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oman","2021-06-27","0","0","3254","0","0","0","13945","0","8367","465","465","0","0","0","0","0","0","465","465","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oman","2021-07-11","0","0","15231","0","0","0","3808","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3808","0","0","0","0","0","0","0","0","0","0","0"
"Oman","2021-07-25","0","0","0","0","0","0","7240","0","1810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oman","2021-08-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4752"
"Oman","2021-08-22","0","0","0","0","0","0","1945","0","0","0","649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oman","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1369"
