"location","date","A (Lineage)","Delta - AY.121 (WHO PVOC)","Delta - AY.126 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.5.2 (WHO VOC)","Omicron - BA.5.2.1 (WHO VOC)","Omicron - BA.5.2.16 (WHO VOC)","Omicron - BA.5.2.18 (WHO VOC)","Other","Unknown"
"Syria","2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Syria","2020-04-05","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Syria","2020-04-19","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"Syria","2020-05-03","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Syria","2020-05-17","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Syria","2020-05-31","0","0","0","0","0","0","0","0","0","0","0","0","0","64"
"Syria","2020-06-14","0","0","0","0","0","0","0","0","0","0","0","0","0","55"
"Syria","2020-06-28","0","0","0","0","0","0","0","0","0","0","0","0","0","79"
"Syria","2020-07-12","0","0","0","0","0","0","0","0","0","0","0","0","0","138"
"Syria","2020-07-26","0","0","0","0","0","0","0","0","0","0","0","0","0","256"
"Syria","2020-08-09","0","0","0","0","0","0","0","0","0","0","0","0","0","538"
"Syria","2020-08-23","0","0","0","0","0","0","0","0","0","0","0","0","0","1029"
"Syria","2020-09-06","0","0","0","0","0","0","0","0","0","0","0","0","0","954"
"Syria","2020-09-20","0","0","0","0","0","0","0","0","0","0","0","0","0","629"
"Syria","2020-10-04","0","0","0","0","0","0","0","0","0","0","0","0","0","566"
"Syria","2020-10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","711"
"Syria","2020-11-01","0","0","0","0","0","0","0","0","0","0","0","0","0","712"
"Syria","2020-11-15","0","0","0","0","0","0","0","0","0","0","0","0","0","895"
"Syria","2020-11-29","0","0","0","0","0","0","0","0","0","0","0","0","0","1113"
"Syria","2020-12-13","0","0","0","0","0","0","0","0","0","0","0","0","0","1369"
"Syria","2020-12-27","0","0","0","0","0","0","0","0","0","0","0","0","0","1867"
"Syria","2021-01-10","0","0","0","0","0","0","0","0","0","0","0","0","0","1331"
"Syria","2021-01-24","0","0","0","0","0","0","0","0","0","0","0","0","0","1264"
"Syria","2021-02-07","0","0","0","0","0","0","0","0","0","0","0","0","0","849"
"Syria","2021-02-21","0","0","0","0","0","0","0","0","0","0","0","0","0","702"
"Syria","2021-03-07","0","0","0","0","0","0","0","0","0","0","0","0","0","802"
"Syria","2021-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","1430"
"Syria","2021-04-04","0","0","0","0","0","0","0","0","0","0","0","0","0","1993"
"Syria","2021-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","1738"
"Syria","2021-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","1756"
"Syria","2021-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","840"
"Syria","2021-05-30","0","0","0","0","0","0","0","0","0","0","0","0","0","729"
"Syria","2021-06-13","0","0","0","0","0","0","0","0","0","0","0","0","0","347"
"Syria","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","590"
"Syria","2021-07-11","0","0","0","0","0","0","0","0","0","0","0","0","0","381"
"Syria","2021-07-25","0","0","0","0","0","0","0","0","0","0","0","0","0","92"
"Syria","2021-08-08","0","0","0","0","0","0","0","0","0","0","0","0","0","220"
"Syria","2021-08-22","0","0","0","0","0","0","0","0","0","0","0","0","0","804"
"Syria","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0","1642"
"Syria","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0","2166"
"Syria","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0","4211"
"Syria","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","4166"
"Syria","2021-10-31","0","0","0","0","0","0","0","0","0","0","0","0","0","4060"
"Syria","2021-11-14","0","0","0","0","0","0","0","0","0","0","0","0","0","3129"
"Syria","2021-11-28","0","0","0","0","0","0","0","0","0","0","0","0","0","1690"
"Syria","2021-12-12","0","685","187","436","0","0","0","0","0","0","0","0","0","0"
"Syria","2021-12-26","0","0","0","0","0","0","0","0","0","0","0","0","0","817"
"Syria","2022-01-09","0","248","0","42","124","0","0","0","0","0","0","0","0","0"
"Syria","2022-01-23","0","0","31","61","61","333","0","0","0","0","0","0","0","0"
"Syria","2022-02-06","0","0","0","133","266","399","133","0","0","0","0","0","0","0"
"Syria","2022-02-20","0","0","0","0","257","257","0","1232","0","0","0","0","0","0"
"Syria","2022-03-06","0","0","0","0","0","1367","0","0","0","0","0","0","0","0"
"Syria","2022-03-20","0","0","0","0","0","0","0","0","0","0","0","0","0","532"
"Syria","2022-04-03","0","0","0","0","0","0","0","0","0","0","0","0","0","153"
"Syria","2022-04-17","0","0","0","0","0","0","0","0","0","0","0","0","0","62"
"Syria","2022-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"Syria","2022-05-15","0","0","0","0","0","0","0","0","0","0","0","0","0","57"
"Syria","2022-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"Syria","2022-06-12","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Syria","2022-06-26","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Syria","2022-07-10","0","0","0","0","0","0","0","0","0","0","0","0","0","29"
"Syria","2022-07-24","0","0","0","0","0","0","0","0","0","0","0","0","0","118"
"Syria","2022-08-07","0","0","0","0","0","0","0","0","239","0","80","80","0","0"
"Syria","2022-08-21","0","0","0","0","0","0","0","0","397","0","0","0","0","0"
"Syria","2022-09-04","41","0","0","0","0","0","0","0","143","21","21","0","0","0"
"Syria","2022-09-18","0","0","0","0","0","0","0","0","0","0","0","0","0","135"
"Syria","2022-10-02","0","0","0","0","0","0","0","0","0","0","0","0","0","89"
"Syria","2022-10-16","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Syria","2022-10-30","0","0","0","0","0","0","0","0","0","0","0","0","0","23"
"Syria","2022-11-13","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Syria","2022-11-27","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"Syria","2022-12-11","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Syria","2022-12-25","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Syria","2023-01-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Syria","2023-01-22","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"Syria","2023-02-05","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
