"location","date","B (Lineage)","Delta - AY.119 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.125 (WHO PVOC)","Delta - AY.47 (WHO PVOC)","Delta - AY.9.2 (WHO PVOC)","Other"
"Saint-Barthélemy","2020-03-08","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Saint-Barthélemy","2020-03-22","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Saint-Barthélemy","2021-08-22","0,0","0,0","0,0","0,0","33,33333333333333","66,66666666666666","0"
"Saint-Barthélemy","2021-10-03","0,0","75,0","25,0","0,0","0,0","0,0","0"
"Saint-Barthélemy","2021-10-31","0,0","0,0","33,33333333333333","33,33333333333333","0,0","33,33333333333333","0"
"Saint-Barthélemy","2021-11-14","0,0","0,0","0,0","0,0","0,0","100,0","0"
