"location","date","B (Lineage)","Beta - B.1.351 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Other"
"Tanzania","2021-01-24","20,0","80,0","0,0","0,0","0,0","0,0","0"
"Tanzania","2021-04-04","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Tanzania","2021-04-18","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Tanzania","2021-05-02","0,0","83,33333333333334","16,666666666666664","0,0","0,0","0,0","0"
"Tanzania","2021-05-16","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Tanzania","2021-12-26","0,0","0,0","0,0","33,33333333333333","33,33333333333333","33,33333333333333","0"
"Tanzania","2022-01-23","0,0","0,0","0,0","100,0","0,0","0,0","0"
"Tanzania","2022-02-20","0,0","0,0","0,0","50,0","50,0","0,0","0"
