"location","date","A (Lineage)","Alpha (WHO VOC)","B (Lineage)","B.1.221 - 20A/S:98F","B.1.258 - 20A/S:439K"
"Faroe Islands","2020-03-22","10,0","0,0","90,0","0,0","0,0"
"Faroe Islands","2020-04-05","25,0","0,0","75,0","0,0","0,0"
"Faroe Islands","2020-05-03","0,0","0,0","100,0","0,0","0,0"
"Faroe Islands","2020-07-26","0,0","0,0","100,0","0,0","0,0"
"Faroe Islands","2020-08-09","0,0","0,0","100,0","0,0","0,0"
"Faroe Islands","2020-08-23","0,0","0,0","100,0","0,0","0,0"
"Faroe Islands","2020-09-20","0,0","0,0","33,33333333333333","0,0","66,66666666666666"
"Faroe Islands","2020-10-04","0,0","0,0","11,11111111111111","0,0","88,88888888888889"
"Faroe Islands","2021-02-21","0,0","0,0","100,0","0,0","0,0"
"Faroe Islands","2021-03-21","0,0","50,0","0,0","50,0","0,0"
"Faroe Islands","2021-05-16","0,0","100,0","0,0","0,0","0,0"
