"location","date","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.23 (WHO VOC)","Omicron - BA.2.65 (WHO VOC)","Other"
"Afghanistan","2020-05-31","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Afghanistan","2020-06-14","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Afghanistan","2020-06-28","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Afghanistan","2021-01-24","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Afghanistan","2021-03-21","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Afghanistan","2021-04-04","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Afghanistan","2021-04-18","66,66666666666666","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0"
"Afghanistan","2021-05-02","69,23076923076923","23,076923076923077","7,6923076923076925","0,0","0,0","0,0","0,0","0"
"Afghanistan","2021-05-16","57,49999999999999","5,0","37,5","0,0","0,0","0,0","0,0","0"
"Afghanistan","2021-05-30","80,0","6,666666666666667","13,333333333333334","0,0","0,0","0,0","0,0","0"
"Afghanistan","2022-02-20","0,0","0,0","0,0","50,0","50,0","0,0","0,0","0"
"Afghanistan","2022-04-03","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Afghanistan","2022-04-17","0,0","33,33333333333333","0,0","0,0","33,33333333333333","0,0","33,33333333333333","0"
