"location","date","B.1.640.1 (WHO FMV)","B.1.640.2 (WHO FMV)","Delta - AY.121 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.127 (WHO PVOC)","Delta - AY.33 (WHO PVOC)","Delta - AY.36 (WHO PVOC)","Delta - AY.39 (WHO PVOC)","Delta - AY.45 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.15.1 (WHO VOC)","Other","Unknown"
"Chad","2020-01-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2020-01-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2020-02-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2020-02-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2020-03-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2020-03-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Chad","2020-04-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Chad","2020-04-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Chad","2020-05-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","276"
"Chad","2020-05-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","353"
"Chad","2020-06-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","162"
"Chad","2020-06-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Chad","2020-07-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Chad","2020-07-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Chad","2020-08-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47"
"Chad","2020-08-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Chad","2020-08-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58"
"Chad","2020-09-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73"
"Chad","2020-09-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94"
"Chad","2020-10-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114"
"Chad","2020-10-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","143"
"Chad","2020-11-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109"
"Chad","2020-11-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"Chad","2020-12-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89"
"Chad","2020-12-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145"
"Chad","2021-01-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","302"
"Chad","2021-01-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","686"
"Chad","2021-01-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","492"
"Chad","2021-02-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","275"
"Chad","2021-02-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","351"
"Chad","2021-03-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","315"
"Chad","2021-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","213"
"Chad","2021-04-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124"
"Chad","2021-04-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127"
"Chad","2021-05-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122"
"Chad","2021-05-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49"
"Chad","2021-06-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Chad","2021-06-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Chad","2021-07-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Chad","2021-07-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2021-07-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Chad","2021-07-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2021-08-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Chad","2021-08-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2021-08-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Chad","2021-08-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2021-08-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Chad","2021-09-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24"
"Chad","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2021-09-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Chad","2021-10-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Chad","2021-10-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Chad","2021-11-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38"
"Chad","2021-11-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2021-11-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2021-11-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2021-12-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","596"
"Chad","2021-12-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2021-12-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2022-01-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","482"
"Chad","2022-01-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad","2022-01-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","456"
"Chad","2022-01-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","475"
"Chad","2022-02-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"Chad","2022-02-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Chad","2022-03-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Chad","2022-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Chad","2022-04-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69"
"Chad","2022-04-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"Chad","2022-05-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Chad","2022-05-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Chad","2022-06-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Chad","2022-06-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Chad","2022-07-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Chad","2022-07-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Chad","2022-07-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Chad","2022-08-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Chad","2022-08-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59"
"Chad","2022-09-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49"
"Chad","2022-09-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"Chad","2022-10-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Chad","2022-10-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Chad","2022-11-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Chad","2022-11-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Chad","2022-12-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Chad","2022-12-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Chad","2023-01-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Chad","2023-01-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Chad","2023-01-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Chad","2023-02-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Chad","2023-02-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Chad","2023-03-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
