"location","date","B.1.160 - 20A/EU2","Delta - AY.100 (WHO PVOC)","Delta - AY.23 (WHO PVOC)","Delta - AY.43 (WHO PVOC)","Delta - AY.44 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.18 (WHO VOC)","Omicron - BA.1.13 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Other","Unknown"
"French Polynesia","2020-01-05","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-01-19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-02-02","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-02-16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-03-01","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-03-15","0","0","0","0","0","0","0","0","0","0","0","0","2"
"French Polynesia","2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","32"
"French Polynesia","2020-04-12","0","0","0","0","0","0","0","0","0","0","0","0","16"
"French Polynesia","2020-04-26","0","0","0","0","0","0","0","0","0","0","0","0","6"
"French Polynesia","2020-05-10","0","0","0","0","0","0","0","0","0","0","0","0","3"
"French Polynesia","2020-05-24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-06-07","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-06-21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-07-05","0","0","0","0","0","0","0","0","0","0","0","0","2"
"French Polynesia","2020-07-19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-08-02","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-08-16","0","0","0","0","0","0","0","0","0","0","0","0","104"
"French Polynesia","2020-08-30","0","0","0","0","0","0","0","0","0","0","0","0","316"
"French Polynesia","2020-09-13","0","0","0","0","0","0","0","0","0","0","0","0","538"
"French Polynesia","2020-09-27","0","0","0","0","0","0","0","0","0","0","0","0","586"
"French Polynesia","2020-10-11","0","0","0","0","0","0","0","0","0","0","0","0","1148"
"French Polynesia","2020-10-25","0","0","0","0","0","0","0","0","0","0","0","0","3105"
"French Polynesia","2020-11-08","0","0","0","0","0","0","0","0","0","0","0","0","4216"
"French Polynesia","2020-11-22","0","0","0","0","0","0","0","0","0","0","0","0","3006"
"French Polynesia","2020-12-06","0","0","0","0","0","0","0","0","0","0","0","0","2066"
"French Polynesia","2020-12-13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2020-12-20","0","0","0","0","0","0","0","0","0","0","0","0","1051"
"French Polynesia","2020-12-27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-01-03","0","0","0","0","0","0","0","0","0","0","0","0","750"
"French Polynesia","2021-01-10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-01-17","0","0","0","0","0","0","0","0","0","0","0","0","687"
"French Polynesia","2021-01-24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-01-31","0","0","0","0","0","0","0","0","0","0","0","0","431"
"French Polynesia","2021-02-14","0","0","0","0","0","0","0","0","0","0","0","0","198"
"French Polynesia","2021-02-28","0","0","0","0","0","0","0","0","0","0","0","0","129"
"French Polynesia","2021-03-14","0","0","0","0","0","0","0","0","0","0","0","0","140"
"French Polynesia","2021-03-28","0","0","0","0","0","0","0","0","0","0","0","0","76"
"French Polynesia","2021-04-11","0","0","0","0","0","0","0","0","0","0","0","0","49"
"French Polynesia","2021-04-25","0","0","0","0","0","0","0","0","0","0","0","0","76"
"French Polynesia","2021-05-09","0","0","0","0","0","0","0","0","0","0","0","0","57"
"French Polynesia","2021-05-23","0","0","0","0","0","0","0","0","0","0","0","0","55"
"French Polynesia","2021-06-06","0","0","0","0","0","0","0","0","0","0","0","0","43"
"French Polynesia","2021-06-20","0","0","0","0","0","0","0","0","0","0","0","0","74"
"French Polynesia","2021-07-04","0","0","0","0","0","0","0","0","0","0","0","0","49"
"French Polynesia","2021-07-18","0","0","0","0","0","0","0","0","0","0","0","0","90"
"French Polynesia","2021-08-01","0","0","0","0","0","0","0","0","0","0","0","0","1127"
