"location","date","Alpha - B.1.1.7 (WHO PVOC)","B.1.1.318 (WHO FMV)","Delta - AY.5 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Other"
"Sao Tome and Principe","2021-03-21","100,0","0,0","0,0","0,0","0,0","0"
"Sao Tome and Principe","2021-05-02","100,0","0,0","0,0","0,0","0,0","0"
"Sao Tome and Principe","2021-07-25","0,0","50,0","50,0","0,0","0,0","0"
"Sao Tome and Principe","2021-08-08","0,0","0,0","0,0","100,0","0,0","0"
"Sao Tome and Principe","2022-01-09","0,0","0,0","0,0","0,0","100,0","0"
