"location","date","A (Lineage)","A.23.1","A.27","A.28","AD (Lineage)","AE (Lineage)","AK (Lineage)","AL (Lineage)","AM (Lineage)","AP (Lineage)","AU (Lineage)","AW (Lineage)","AZ (Lineage)","Alpha (WHO VOC)","Alpha - Q.1 (WHO VOC)","Alpha - Q.2 (WHO VOC)","Alpha - Q.3 (WHO VOC)","Alpha - Q.4 (WHO VOC)","Alpha - Q.6 (WHO VOC)","Alpha - Q.7 (WHO VOC)","Alpha - Q.8 (WHO VOC)","B (Lineage)","B.1.1.277 - 20B/S:626S","B.1.1.28","B.1.1.318 (WHO AFM)","B.1.1.519 - 20B/S:732A","B.1.1.523 (WHO AFM)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.214.2 (WHO AFM)","B.1.221 - 20A/S:98F","B.1.258 - 20A/S:439K","B.1.367 - 20C/S:80Y","B.1.466.2 (WHO AFM)","B.1.617.3 (CDC VBM)","B.1.619 (WHO AFM)","B.1.620 - 20A/S:126A","B.1.623 (PHE VUI)","B.1.630 (WHO AFM)","Beta (WHO VOC)","C (Lineage)","C.1.2 (WHO AFM)","C.16","C.36 (ECDC VUM)","C.36.3 (WHO AFM)","D (Lineage)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.6 (WHO VOC)","Delta - AY.7 (WHO VOC)","Delta - AY.8 (WHO VOC)","Delta - AY.9 (WHO VOC)","Epsilon (WHO AFM)","Eta (WHO AFM)","Gamma (WHO VOC)","Gamma - P.1.1 (WHO VOC)","Gamma - P.1.2 (WHO VOC)","Gamma - P.1.3 (WHO VOC)","Gamma - P.1.4 (WHO VOC)","Gamma - P.1.7 (WHO VOC)","Gamma - P.1.8 (WHO VOC)","Gamma - P.1.9 (WHO VOC)","Iota (WHO AFM)","Kappa (WHO AFM)","L (Lineage)","Lambda (WHO VOI)","Mu - 21H (WHO VOI)","N (Lineage)","Other","P (Lineage)","P.6 (UY-GTI)","P.7","R.1 (WHO AFM)","R.2","S (Lineage)","Theta - P.3 (PHE VUI)","W (Lineage)","XA (Lineage)","Zeta - P.2 (CDC VBM)"
"USA","2020-06-28","0,5582028590878149","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","99,22396187882913","0,0","0,013614703880190607","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,027229407760381213","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,04084411164057182","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,12253233492171545","0,0","0,0","0,0","0,0","0,0","0,0","0,013614703880190607","0,0","0,0","0,0","0,0"
"USA","2020-07-12","0,15257469802924348","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03814367450731087","0,0","0,0","0,06357279084551812","0,0","0,0","0,0","0,0","99,42784488239033","0,03814367450731087","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,012714558169103624","0,0","0,0","0,02542911633820725","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,012714558169103624","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,11443102352193261","0,0","0,0","0,0508582326764145","0,06357279084551812","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"USA","2020-07-26","0,03992015968063872","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,01996007984031936","0,0","0,0","0,0","0,0","0,0","0,0","0,0","99,36127744510979","0,0","0,03992015968063872","0,0","0,0","0,0","0,0","0,11976047904191617","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,01996007984031936","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,01996007984031936","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03992015968063872","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,13972055888223553","0,0","0,0","0,01996007984031936","0,17964071856287425","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"USA","2020-08-09","0,0625130235465722","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","99,66659720775162","0,02083767451552407","0,0","0,0","0,02083767451552407","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,02083767451552407","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,02083767451552407","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,02083767451552407","0,0","0,0","0,04167534903104814","0,1250260470931444","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"USA","2020-08-23","0,10766580534022395","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","98,70801033591732","0,04306632213608958","0,04306632213608958","0,0","0,04306632213608958","0,0","0,0","0,04306632213608958","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,17226528854435832","0,0","0,0","0,0","0,0","0,0","0,02153316106804479","0,0","0,04306632213608958","0,02153316106804479","0,0","0,0","0,0","0,0","0,0","0,0","0,04306632213608958","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,710594315245478","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"USA","2020-09-06","0,026096033402922752","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","99,58246346555325","0,07828810020876827","0,0","0,0","0,0","0,0","0,026096033402922752","0,026096033402922752","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,10438413361169101","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,026096033402922752","0,0","0,0","0,0","0,0","0,0","0,0","0,07828810020876827","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,052192066805845504","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"USA","2020-09-20","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,025297242600556536","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","99,51935239058942","0,0","0,10118897040222614","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,025297242600556536","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,12648621300278268","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,025297242600556536","0,0","0,0","0,15178345560333922","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,025297242600556536","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"USA","2020-10-04","0,10214504596527069","0,0","0,0","0,0","0,05107252298263534","0,0","0,0","0,02553626149131767","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","99,1317671092952","0,0","0,02553626149131767","0,0","0,0","0,0","0,02553626149131767","0,07660878447395301","0,0","0,0","0,05107252298263534","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,17875383043922372","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2553626149131767","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05107252298263534","0,02553626149131767","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"USA","2020-10-18","0,019406171162429653","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","99,39840869396468","0,019406171162429653","0,0","0,0","0,0","0,0","0,019406171162429653","0,07762468464971861","0,0","0,0","0,05821851348728896","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,15524936929943722","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,19406171162429653","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,019406171162429653","0,019406171162429653","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,019406171162429653"
"USA","2020-11-01","0,04263180332528066","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","99,37473355122923","0,0","0,0","0,0","0,014210601108426887","0,0","0,014210601108426887","0,04263180332528066","0,0","0,014210601108426887","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05684240443370755","0,0","0,0","0,014210601108426887","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3978968310359528","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,028421202216853774"
"USA","2020-11-15","0,04211117349803481","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,007018528916339136","0,0","0,0","0,0","0,0","0,03509264458169568","0,0","0,0","0,0","0,0","0,0","0,0","0,0","98,70859067939361","0,014037057832678272","0,0","0,0","0,04211117349803481","0,0","0,021055586749017405","0,09124087591240876","0,0","0,0","0,021055586749017405","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05614823133071309","0,0","0,0","0,0","0,0","0,007018528916339136","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,7720381807973049","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,007018528916339136","0,0","0,0","0,0","0,0","0,007018528916339136","0,007018528916339136","0,0","0,0","0,0","0,09124087591240876","0,0","0,0","0,0","0,007018528916339136","0,0","0,06316676024705221"
"USA","2020-11-29","0,09504799923961602","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,009504799923961601","0,0","0,05702879954376961","0,0","0,0","0,0","0,0","0,0","0,0","0,0","97,7473624180211","0,0","0,0","0,0","0,038019199695846405","0,0","0,028514399771884805","0,028514399771884805","0,0","0,009504799923961601","0,009504799923961601","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0665335994677312","0,0","0,0","0,009504799923961601","0,0","0,0","0,0","0,0","0,0","0,009504799923961601","0,0","0,0","0,0","0,0","0,0","0,0","1,7773975857808193","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,038019199695846405","0,0","0,0","0,0","0,0","0,0","0,05702879954376961","0,0","0,0","0,0","0,009504799923961601","0,0","0,0","0,0","0,0","0,0","0,009504799923961601"
"USA","2020-12-13","0,02803476310625175","0,0","0,0","0,0","0,014017381553125876","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,021026072329688814","0,0","0,0","0,0","0,0","0,0","0,0","0,0","94,51920381272778","0,007008690776562938","0,007008690776562938","0,0","0,0911129800953182","0,0","0,021026072329688814","0,0911129800953182","0,0","0,0","0,021026072329688814","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0911129800953182","0,0","0,014017381553125876","0,021026072329688814","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,744883655733109","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,11914774320156996","0,0","0,0","0,0","0,0","0,0","0,09812167087188113","0,0","0,0","0,0","0,02803476310625175","0,0","0,0","0,0","0,0","0,0","0,06307821698906645"
"USA","2020-12-27","0,032972830387760485","0,0","0,0","0,006594566077552098","0,0","0,006594566077552098","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2835663413347402","0,0","0,0","0,0","0,0","0,0","0,0","0,0","91,34792930625166","0,0","0,026378264310208392","0,0","0,2374043787918755","0,0","0,013189132155104196","0,15167501978369824","0,0","0,026378264310208392","0,11870218939593775","0,0","0,0","0,0","0,0","0,0","0,01978369823265629","0,0","0,0","0,14508045370614614","0,0","0,006594566077552098","0,006594566077552098","0,0","0,006594566077552098","0,006594566077552098","0,0","0,006594566077552098","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,957267211817462","0,0","0,006594566077552098","0,01978369823265629","0,0","0,0","0,0","0,0","0,0","0,0","0,1912424162490108","0,0","0,0","0,0","0,006594566077552098","0,0","0,07913479293062516","0,0","0,0","0,0","0,09232392508572936","0,013189132155104196","0,0","0,0","0,03956739646531258","0,0","0,14508045370614614"
"USA","2021-01-10","0,04963482946890732","0,010636034886194426","0,0035453449620648086","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0565127986953131","0,0","0,0","0,05318017443097213","0,0035453449620648086","0,0","0,0","0,0035453449620648086","83,25179039920585","0,0","0,0815429341274906","0,0","0,6842515776785081","0,0","0,02481741473445366","0,13826845352052755","0,0","0,007090689924129617","0,08508827908955541","0,0","0,0","0,0","0,0","0,0","0,014181379848259235","0,0","0,021272069772388852","0,10636034886194426","0,0","0,0035453449620648086","0,021272069772388852","0,0035453449620648086","0,0","0,010636034886194426","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,387222576756718","0,014181379848259235","0,0035453449620648086","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,45734950010636033","0,0","0,017726724810324043","0,0","0,0","0,0","0,08508827908955541","0,0","0,0","0,0","0,10990569382400908","0,02481741473445366","0,0","0,0","0,021272069772388852","0,0","0,24462880238247184"
"USA","2021-01-24","0,08790834845735028","0,0028357531760435572","0,0028357531760435572","0,0028357531760435572","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,7383166969147004","0,0028357531760435572","0,0028357531760435572","0,09357985480943738","0,0028357531760435572","0,0","0,0","0,0056715063520871144","75,66640199637024","0,0","0,06238656987295826","0,0028357531760435572","2,075771324863884","0,0","0,04253629764065336","0,10492286751361161","0,0056715063520871144","0,00850725952813067","0,07089382940108893","0,0056715063520871144","0,0","0,0","0,0","0,0","0,03686479128856625","0,0","0,025521778584392012","0,11059437386569872","0,0","0,014178765880217787","0,00850725952813067","0,0","0,0","0,0028357531760435572","0,0","0,0","0,0056715063520871144","0,0","0,0","0,0","0,0","0,0","0,0","18,290607985480946","0,08223684210526315","0,0198502722323049","0,0028357531760435572","0,0","0,0","0,0","0,0","0,0","0,0","0,6947595281306715","0,0","0,01701451905626134","0,0028357531760435572","0,0","0,0198502722323049","0,17014519056261343","0,0","0,0","0,0","0,1191016333938294","0,03686479128856625","0,0","0,0","0,01701451905626134","0,0","0,3346188747731398"
"USA","2021-02-07","0,13364828743706098","0,024864797662709017","0,0","0,003108099707838627","0,0","0,0","0,0","0,003108099707838627","0,0","0,0","0,0","0,0","0,009324299123515883","4,7118791570833585","0,003108099707838627","0,006216199415677254","0,13986448685273822","0,009324299123515883","0,0","0,0","0,055945794741095296","63,76888170572512","0,0","0,07459439298812706","0,018648598247031765","2,6729657487412197","0,0","0,031080997078386276","0,13986448685273822","0,027972897370547648","0,006216199415677254","0,021756697954870393","0,0","0,0","0,0","0,0","0,0","0,15851308509977","0,0","0,12121588860570648","0,12743208802138373","0,0","0,015540498539193138","0,031080997078386276","0,0","0,0","0,006216199415677254","0,0","0,0","0,006216199415677254","0,0","0,0","0,0","0,0","0,0","0,0","24,05358363896314","0,1243239883135451","0,006216199415677254","0,009324299123515883","0,0","0,0","0,0","0,0","0,0","0,0","2,3403990800024865","0,0","0,03729719649406353","0,024864797662709017","0,0","0,012432398831354509","0,29837757195250825","0,0","0,0","0,0","0,2393236775035743","0,06216199415677255","0,0","0,0","0,031080997078386276","0,003108099707838627","0,42891775968173057"
"USA","2021-02-21","0,16789890718430586","0,017673569177295356","0,005891189725765119","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,005891189725765119","9,655659960529029","0,0","0,0","0,35347138354590707","0,005891189725765119","0,0","0,0","0,19146366608736634","58,369907802880796","0,0","0,04123832808035583","0,0648030869834163","3,4257268255324167","0,0","0,03829273321747327","0,044183922943238384","0,023564758903060475","0,011782379451530238","0,005891189725765119","0,0","0,005891189725765119","0,0","0,0029455948628825594","0,0","0,20619164040177915","0,0","0,2150284249904268","0,1148781996524198","0,0","0,0029455948628825594","0,02651035376594303","0,0","0,0","0,005891189725765119","0,0","0,0","0,0029455948628825594","0,0029455948628825594","0,0","0,0","0,0","0,0","0,0","21,284868479189374","0,07658546643494654","0,03534713835459071","0,03240154349170815","0,0","0,0","0,0","0,0","0,0","0,0","3,5788977584023094","0,0","0,008836784588647678","0,03534713835459071","0,0","0,017673569177295356","0,5331526701817432","0,0","0,0","0,0","0,5714454033992165","0,02945594862882559","0,0","0,0","0,017673569177295356","0,0","0,7629090694865828"
