"location","date","A (Lineage)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","B.1.177 - 20E/EU1","Beta - B.1.351 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Other","Unknown"
"Guinea-Bissau","2020-03-22","0","0","0","0","0","0","0","0"
"Guinea-Bissau","2020-04-05","0","0","0","0","0","0","0","18"
"Guinea-Bissau","2020-04-19","0","0","0","0","0","0","0","32"
"Guinea-Bissau","2020-05-03","0","0","207","0","0","0","0","0"
"Guinea-Bissau","2020-05-17","0","0","733","0","0","0","0","0"
"Guinea-Bissau","2020-05-31","0","0","0","0","0","0","0","266"
"Guinea-Bissau","2020-06-14","0","0","0","0","0","0","0","204"
"Guinea-Bissau","2020-06-28","0","0","0","0","0","0","0","154"
"Guinea-Bissau","2020-07-12","0","0","0","0","0","0","0","228"
"Guinea-Bissau","2020-07-26","0","0","0","0","0","0","0","112"
"Guinea-Bissau","2020-08-09","0","0","0","0","0","0","0","98"
"Guinea-Bissau","2020-08-23","0","0","0","0","0","0","0","97"
"Guinea-Bissau","2020-09-06","0","0","0","0","0","0","0","96"
"Guinea-Bissau","2020-09-20","0","0","0","0","0","0","0","58"
"Guinea-Bissau","2020-10-04","0","0","0","0","0","0","0","59"
"Guinea-Bissau","2020-10-18","0","0","0","0","0","0","0","27"
"Guinea-Bissau","2020-11-01","0","0","0","0","0","0","0","24"
"Guinea-Bissau","2020-11-15","0","0","0","0","0","0","0","6"
"Guinea-Bissau","2020-11-29","0","0","0","0","0","0","0","3"
"Guinea-Bissau","2020-12-13","0","0","0","0","0","0","0","22"
"Guinea-Bissau","2020-12-27","0","0","0","0","0","0","0","3"
"Guinea-Bissau","2021-01-10","0","31","0","0","0","0","0","0"
"Guinea-Bissau","2021-01-24","0","46","5","5","0","0","0","0"
"Guinea-Bissau","2021-02-07","0","183","53","0","14","0","0","0"
"Guinea-Bissau","2021-02-21","0","0","0","0","0","0","0","335"
"Guinea-Bissau","2021-03-07","0","0","0","0","0","0","0","197"
"Guinea-Bissau","2021-03-21","0","0","0","0","0","0","0","256"
"Guinea-Bissau","2021-04-04","0","0","0","0","0","0","0","94"
"Guinea-Bissau","2021-04-18","0","0","0","0","0","0","0","50"
"Guinea-Bissau","2021-05-02","0","0","0","0","0","0","0","24"
"Guinea-Bissau","2021-05-16","0","0","0","0","0","0","0","10"
"Guinea-Bissau","2021-05-30","0","0","0","0","0","0","0","20"
"Guinea-Bissau","2021-06-13","0","0","0","0","0","0","0","37"
"Guinea-Bissau","2021-06-27","0","0","0","0","0","0","0","43"
"Guinea-Bissau","2021-07-11","0","0","0","0","0","0","0","101"
"Guinea-Bissau","2021-07-25","0","0","0","0","0","0","0","265"
"Guinea-Bissau","2021-08-08","0","0","0","0","0","0","0","576"
"Guinea-Bissau","2021-08-22","0","0","0","0","0","0","0","730"
"Guinea-Bissau","2021-09-05","0","0","0","0","0","0","0","384"
"Guinea-Bissau","2021-09-19","0","0","0","0","0","0","0","178"
"Guinea-Bissau","2021-10-03","0","0","0","0","0","0","0","32"
"Guinea-Bissau","2021-10-17","0","0","0","0","0","0","0","18"
"Guinea-Bissau","2021-10-31","0","0","0","0","0","0","0","4"
"Guinea-Bissau","2021-11-14","0","0","0","0","0","0","0","268"
"Guinea-Bissau","2021-11-28","0","0","0","0","0","0","0","38"
"Guinea-Bissau","2021-12-12","0","0","0","0","0","0","0","8"
"Guinea-Bissau","2021-12-26","0","0","0","0","0","0","0","18"
"Guinea-Bissau","2022-01-09","0","0","0","0","0","228","0","0"
"Guinea-Bissau","2022-01-23","0","0","0","0","0","0","0","590"
"Guinea-Bissau","2022-02-06","0","0","0","0","0","0","0","486"
"Guinea-Bissau","2022-02-20","0","0","0","0","0","0","0","137"
"Guinea-Bissau","2022-03-06","0","0","0","0","0","0","0","126"
"Guinea-Bissau","2022-03-20","0","0","0","0","0","0","0","80"
"Guinea-Bissau","2022-04-03","0","0","0","0","0","0","0","38"
"Guinea-Bissau","2022-04-17","0","0","0","0","0","0","0","27"
"Guinea-Bissau","2022-05-01","0","0","0","0","0","0","0","24"
"Guinea-Bissau","2022-05-15","0","0","0","0","0","0","0","20"
"Guinea-Bissau","2022-05-29","0","0","0","0","0","0","0","38"
"Guinea-Bissau","2022-06-12","0","0","0","0","0","0","0","46"
"Guinea-Bissau","2022-06-26","0","0","0","0","0","0","0","42"
"Guinea-Bissau","2022-07-10","0","0","0","0","0","0","0","52"
"Guinea-Bissau","2022-07-24","0","0","0","0","0","0","0","0"
"Guinea-Bissau","2022-08-07","0","0","0","0","0","0","0","40"
"Guinea-Bissau","2022-08-21","0","0","0","0","0","0","0","42"
"Guinea-Bissau","2022-09-04","0","0","0","0","0","0","0","314"
"Guinea-Bissau","2022-09-18","0","0","0","0","0","0","0","0"
"Guinea-Bissau","2022-10-02","0","0","0","0","0","0","0","0"
"Guinea-Bissau","2022-10-16","0","0","0","0","0","0","0","35"
"Guinea-Bissau","2022-10-30","0","0","0","0","0","0","0","17"
"Guinea-Bissau","2022-11-13","0","0","0","0","0","0","0","0"
"Guinea-Bissau","2022-11-27","0","0","0","0","0","0","0","0"
"Guinea-Bissau","2022-12-11","0","0","0","0","0","0","0","0"
"Guinea-Bissau","2022-12-25","0","0","0","0","0","0","0","0"
"Guinea-Bissau","2023-01-08","0","0","0","0","0","0","0","112"
