"pango","recombinant","alias_of","parents"
"A","False","A","[]"
"A.1","False","A.1","['A']"
"A.2","False","A.2","['A']"
"A.2.2","False","A.2.2","['A.2']"
"A.2.3","False","A.2.3","['A.2']"
"A.2.4","False","A.2.4","['A.2']"
"A.2.5","False","A.2.5","['A.2']"
"A.2.5.1","False","A.2.5.1","['A.2.5']"
"A.2.5.2","False","A.2.5.2","['A.2.5']"
"A.2.5.3","False","A.2.5.3","['A.2.5']"
"A.3","False","A.3","['A']"
"A.4","False","A.4","['A']"
"A.5","False","A.5","['A']"
"A.6","False","A.6","['A']"
"A.7","False","A.7","['A']"
"A.9","False","A.9","['A']"
"A.11","False","A.11","['A']"
"A.12","False","A.12","['A']"
"A.15","False","A.15","['A']"
"A.16","False","A.16","['A']"
"A.17","False","A.17","['A']"
"A.18","False","A.18","['A']"
"A.19","False","A.19","['A']"
"A.21","False","A.21","['A']"
"A.22","False","A.22","['A']"
"A.23","False","A.23","['A']"
"A.23.1","False","A.23.1","['A.23']"
"A.24","False","A.24","['A']"
"A.25","False","A.25","['A']"
"A.26","False","A.26","['A']"
"A.27","False","A.27","['A']"
"A.28","False","A.28","['A']"
"A.29","False","A.29","['A']"
"A.30","False","A.30","['A']"
"B","False","B","[]"
"B.1","False","B.1","['B']"
"B.1.1","False","B.1.1","['B.1']"
"B.1.1.1","False","B.1.1.1","['B.1.1']"
"C.1","False","B.1.1.1.1","['B.1.1.1']"
"C.1.1","False","B.1.1.1.1.1","['C.1']"
"C.1.2","False","B.1.1.1.1.2","['C.1']"
"C.2","False","B.1.1.1.2","['B.1.1.1']"
"C.2.1","False","B.1.1.1.2.1","['C.2']"
"C.3","False","B.1.1.1.3","['B.1.1.1']"
"C.4","False","B.1.1.1.4","['B.1.1.1']"
"C.5","False","B.1.1.1.5","['B.1.1.1']"
"C.6","False","B.1.1.1.6","['B.1.1.1']"
"C.7","False","B.1.1.1.7","['B.1.1.1']"
"C.8","False","B.1.1.1.8","['B.1.1.1']"
"C.9","False","B.1.1.1.9","['B.1.1.1']"
"C.10","False","B.1.1.1.10","['B.1.1.1']"
"C.11","False","B.1.1.1.11","['B.1.1.1']"
"C.12","False","B.1.1.1.12","['B.1.1.1']"
"C.13","False","B.1.1.1.13","['B.1.1.1']"
"C.14","False","B.1.1.1.14","['B.1.1.1']"
"C.16","False","B.1.1.1.16","['B.1.1.1']"
"C.17","False","B.1.1.1.17","['B.1.1.1']"
"C.18","False","B.1.1.1.18","['B.1.1.1']"
"C.19","False","B.1.1.1.19","['B.1.1.1']"
"C.20","False","B.1.1.1.20","['B.1.1.1']"
"C.21","False","B.1.1.1.21","['B.1.1.1']"
"C.22","False","B.1.1.1.22","['B.1.1.1']"
"C.23","False","B.1.1.1.23","['B.1.1.1']"
"C.25","False","B.1.1.1.25","['B.1.1.1']"
"C.26","False","B.1.1.1.26","['B.1.1.1']"
"C.27","False","B.1.1.1.27","['B.1.1.1']"
"C.28","False","B.1.1.1.28","['B.1.1.1']"
"C.29","False","B.1.1.1.29","['B.1.1.1']"
"C.30","False","B.1.1.1.30","['B.1.1.1']"
"C.30.1","False","B.1.1.1.30.1","['C.30']"
"C.31","False","B.1.1.1.31","['B.1.1.1']"
"C.32","False","B.1.1.1.32","['B.1.1.1']"
"C.33","False","B.1.1.1.33","['B.1.1.1']"
"C.34","False","B.1.1.1.34","['B.1.1.1']"
"C.35","False","B.1.1.1.35","['B.1.1.1']"
"C.36","False","B.1.1.1.36","['B.1.1.1']"
"C.36.1","False","B.1.1.1.36.1","['C.36']"
"C.36.2","False","B.1.1.1.36.2","['C.36']"
"C.36.3","False","B.1.1.1.36.3","['C.36']"
"C.36.3.1","False","B.1.1.1.36.3.1","['C.36.3']"
"C.37","False","B.1.1.1.37","['B.1.1.1']"
"C.37.1","False","B.1.1.1.37.1","['C.37']"
"C.38","False","B.1.1.1.38","['B.1.1.1']"
"C.39","False","B.1.1.1.39","['B.1.1.1']"
"C.40","False","B.1.1.1.40","['B.1.1.1']"
"B.1.1.3","False","B.1.1.3","['B.1.1']"
"B.1.1.4","False","B.1.1.4","['B.1.1']"
"B.1.1.5","False","B.1.1.5","['B.1.1']"
