"location","date","A (Lineage)","A.23.1","AE (Lineage)","Alpha (WHO VOC)","B (Lineage)","B.1.214.2 (WHO FMV)","B.1.620 - 20A/S:126A","B.1.628","Beta (WHO VOC)","C (Lineage)","C.16","Delta (WHO VOC)","Delta - AY.13 (WHO VOC)","Delta - AY.37 (WHO VOC)","Delta - AY.40 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.46 (WHO VOC)","Delta - AY.46.4 (WHO VOC)","Delta - AY.47 (WHO VOC)","Eta (WHO AFM)"
"Democratic Republic of the Congo","2020-03-08","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2020-03-22","4,444444444444445","0,0","0,0","0,0","95,55555555555556","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2020-04-05","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2020-04-19","0,0","0,0","0,0","0,0","91,30434782608695","0,0","0,0","0,0","0,0","8,695652173913043","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2020-05-03","4,166666666666666","0,0","0,8333333333333334","0,0","95,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2020-05-17","1,0638297872340425","0,0","0,0","0,0","98,93617021276596","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2020-05-31","0,0","0,0","0,0","0,0","99,40828402366864","0,0","0,0","0,0","0,0","0,591715976331361","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2020-06-14","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2021-01-24","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2021-02-07","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2021-02-21","0,0","28,57142857142857","0,0","0,0","9,523809523809524","33,33333333333333","0,0","0,0","19,047619047619047","0,0","9,523809523809524","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2021-03-07","0,0","33,33333333333333","0,0","0,0","22,22222222222222","44,44444444444444","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2021-03-21","0,0","0,0","0,0","33,33333333333333","33,33333333333333","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2021-04-04","0,0","0,0","0,0","16,666666666666664","16,666666666666664","0,0","0,0","0,0","66,66666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2021-05-02","0,0","25,0","0,0","0,0","0,0","0,0","0,0","0,0","25,0","0,0","0,0","25,0","0,0","25,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2021-05-16","0,0","0,0","0,0","7,6923076923076925","7,6923076923076925","0,0","0,0","0,0","30,76923076923077","0,0","0,0","15,384615384615385","0,0","0,0","7,6923076923076925","7,6923076923076925","0,0","0,0","15,384615384615385","7,6923076923076925"
"Democratic Republic of the Congo","2021-05-30","0,0","0,0","0,0","11,538461538461538","3,8461538461538463","0,0","0,0","0,0","11,538461538461538","0,0","0,0","15,384615384615385","0,0","0,0","50,0","0,0","0,0","0,0","7,6923076923076925","0,0"
"Democratic Republic of the Congo","2021-06-13","0,0","0,0","0,0","0,0","0,0","0,0","9,090909090909092","0,0","0,0","0,0","0,0","18,181818181818183","0,0","0,0","27,27272727272727","0,0","9,090909090909092","0,0","36,36363636363637","0,0"
"Democratic Republic of the Congo","2021-06-27","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,142857142857142","0,0","0,0","7,142857142857142","0,0","0,0","0,0","0,0","35,714285714285715","7,142857142857142","7,142857142857142","35,714285714285715"
"Democratic Republic of the Congo","2021-07-11","0,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Democratic Republic of the Congo","2021-07-25","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","28,57142857142857","14,285714285714285","0,0","0,0","0,0","14,285714285714285","0,0","42,857142857142854","0,0"
