"location","date","A (Lineage)","A.23.1","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Beta - B.1.351 (WHO PVOC)","Delta - AY.106 (WHO PVOC)","Delta - AY.108 (WHO PVOC)","Delta - AY.116 (WHO PVOC)","Delta - AY.121 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.126 (WHO PVOC)","Delta - AY.127 (WHO PVOC)","Delta - AY.33 (WHO PVOC)","Delta - AY.39 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - B.1.1.529 (WHO VOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.1 (WHO VOC)","Omicron - BA.1.1.12 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Omicron - BA.1.1.18 (WHO VOC)","Omicron - BA.1.1.4 (WHO VOC)","Omicron - BA.1.1.7 (WHO VOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.15.1 (WHO VOC)","Omicron - BA.1.16 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Omicron - BA.1.19 (WHO VOC)","Omicron - BA.1.20 (WHO VOC)","Omicron - BA.1.21 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.1 (WHO VOC)","Omicron - BA.2.10 (WHO VOC)","Omicron - BA.2.10.1 (WHO VOC)","Omicron - BA.2.12.1 (WHO VOC)","Omicron - BA.2.23 (WHO VOC)","Omicron - BA.2.38 (WHO VOC)","Omicron - BA.2.40.1 (WHO VOC)","Omicron - BA.2.56 (WHO VOC)","Omicron - BA.2.65 (WHO VOC)","Omicron - BA.2.74 (WHO VOC)","Omicron - BA.2.75.5 (WHO VOC-SUM)","Omicron - BA.2.76 (WHO VOC)","Omicron - BA.2.79 (WHO VOC)","Omicron - BA.2.9 (WHO VOC)","Omicron - BA.4 (WHO VOC)","Omicron - BA.4.1 (WHO VOC)","Omicron - BA.5 (WHO VOC)","Omicron - BA.5.1 (WHO VOC)","Omicron - BA.5.1.10 (WHO VOC)","Omicron - BA.5.1.22 (WHO VOC)","Omicron - BA.5.2 (WHO VOC)","Omicron - BA.5.2.1 (WHO VOC)","Omicron - BA.5.2.10 (WHO VOC)","Omicron - BA.5.2.16 (WHO VOC)","Omicron - BA.5.2.18 (WHO VOC)","Omicron - BA.5.2.20 (WHO VOC)","Omicron - BA.5.2.21 (WHO VOC)","Omicron - BA.5.2.24 (WHO VOC)","Omicron - BA.5.2.28 (WHO VOC)","Omicron - BA.5.2.29 (WHO VOC)","Omicron - BA.5.2.3 (WHO VOC)","Omicron - BA.5.2.33 (WHO VOC)","Omicron - BA.5.2.35 (WHO VOC)","Omicron - BA.5.2.6 (WHO VOC)","Omicron - BA.5.2.7 (WHO VOC)","Omicron - BA.5.3.1 (WHO VOC)","Omicron - BA.5.5 (WHO VOC)","Omicron - BA.5.5.2 (WHO VOC)","Omicron - BA.5.6 (WHO VOC)","Omicron - BE.1 (WHO VOC)","Omicron - BE.1.1 (WHO VOC)","Omicron - BE.4.1.1 (WHO VOC)","Omicron - BF.10 (WHO VOC)","Omicron - BF.28 (WHO VOC)","Omicron - BF.3 (WHO VOC)","Omicron - BF.5 (WHO VOC)","Omicron - BF.7 (WHO VOC-SUM)","Omicron - BG.2 (WHO VOC)","Omicron - BL.1 (WHO VOC-SUM)","Omicron - BN.1 (WHO VOC-SUM)","Omicron - BN.1.2 (WHO VOC-SUM)","Omicron - BQ.1.1 (WHO VOC-SUM)","Omicron - BQ.1.1.13 (WHO VOC-SUM)","Omicron - BQ.1.1.44 (WHO VOC-SUM)","Omicron - BQ.1.1.8 (WHO VOC-SUM)","Omicron - BQ.1.23 (WHO VOC-SUM)","Omicron - CK.1 (WHO VOC)","Omicron - CR.1 (WHO VOC)","Omicron - XBB (WHO VOC-SUM)","Omicron - XBB.1 (WHO VOC-SUM)","Other","Unknown"
"Iran","2020-02-23","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iran","2020-03-08","0","0","0","6523","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iran","2020-03-22","0","0","0","15072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iran","2020-04-05","0","0","0","36588","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iran","2020-04-19","0","0","0","23985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iran","2020-05-03","0","0","0","15213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iran","2020-05-17","2847","0","0","19928","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iran","2020-05-31","0","0","0","31268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iran","2020-06-14","3996","0","0","31966","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iran","2020-06-28","0","0","0","35242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
