"location","date","Alpha (WHO VOC)","B (Lineage)","B.1.1.523 (WHO AFM)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Epsilon (WHO AFM)","Gamma - P.1.1 (WHO VOC)","Theta - P.3 (PHE VUI)"
"Guam","2020-03-22","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2020-04-05","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2020-11-01","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2020-11-29","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2020-12-13","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2020-12-27","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-01-10","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-01-24","0,0","46,666666666666664","0,0","0,0","0,0","0,0","0,0","0,0","53,333333333333336","0,0","0,0"
"Guam","2021-02-07","0,0","35,714285714285715","0,0","0,0","0,0","0,0","0,0","0,0","42,857142857142854","0,0","21,428571428571427"
"Guam","2021-02-21","14,285714285714285","42,857142857142854","0,0","0,0","0,0","0,0","0,0","0,0","42,857142857142854","0,0","0,0"
"Guam","2021-03-07","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-03-21","66,66666666666666","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-04-04","33,33333333333333","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","33,33333333333333","0,0","0,0"
"Guam","2021-04-18","85,71428571428571","0,0","0,0","14,285714285714285","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-05-02","80,0","4,0","0,0","8,0","4,0","0,0","0,0","0,0","0,0","4,0","0,0"
"Guam","2021-05-16","83,33333333333334","0,0","16,666666666666664","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-05-30","60,0","10,0","30,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-06-13","81,25","0,0","12,5","6,25","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-06-27","80,0","0,0","0,0","0,0","13,333333333333334","6,666666666666667","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-07-11","50,0","0,0","0,0","0,0","4,166666666666666","4,166666666666666","41,66666666666667","0,0","0,0","0,0","0,0"
"Guam","2021-07-25","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Guam","2021-08-08","0,0","0,0","0,0","0,0","50,0","0,0","0,0","50,0","0,0","0,0","0,0"
