"location","date","A (Lineage)","B (Lineage)","Delta - AY.122 (WHO PVOC)","Delta - AY.133 (WHO PVOC)","Delta - AY.34.1 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BQ.1.1 (WHO VOC-SUM)","Other","Unknown"
"Mali","2020-01-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-01-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-02-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-02-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-03-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-03-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Mali","2020-04-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-04-12","0","0","0","0","0","0","0","0","0","0","0","0","0","88"
"Mali","2020-04-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-04-26","0","0","0","0","0","0","0","0","0","0","0","0","0","265"
"Mali","2020-05-10","0","0","0","0","0","0","0","0","0","0","0","0","0","322"
"Mali","2020-05-24","0","0","0","0","0","0","0","0","0","0","0","0","0","321"
"Mali","2020-06-07","0","0","0","0","0","0","0","0","0","0","0","0","0","508"
"Mali","2020-06-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2020-06-21","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"Mali","2020-07-05","0","0","0","0","0","0","0","0","0","0","0","0","0","329"
"Mali","2020-07-19","0","0","0","0","0","0","0","0","0","0","0","0","0","97"
"Mali","2020-08-02","0","0","0","0","0","0","0","0","0","0","0","0","0","66"
"Mali","2020-08-16","0","0","0","0","0","0","0","0","0","0","0","0","0","189"
"Mali","2020-08-30","0","0","0","0","0","0","0","0","0","0","0","0","0","145"
"Mali","2020-09-13","0","0","0","0","0","0","0","0","0","0","0","0","0","159"
"Mali","2020-09-27","0","0","0","0","0","0","0","0","0","0","0","0","0","164"
"Mali","2020-10-11","0","0","0","0","0","0","0","0","0","0","0","0","0","193"
"Mali","2020-10-25","0","0","0","0","0","0","0","0","0","0","0","0","0","199"
"Mali","2020-11-08","0","0","0","0","0","0","0","0","0","0","0","0","0","204"
"Mali","2020-11-22","0","0","0","0","0","0","0","0","0","0","0","0","0","530"
"Mali","2020-12-06","0","0","0","0","0","0","0","0","0","0","0","0","0","856"
"Mali","2020-12-20","0","0","0","0","0","0","0","0","0","0","0","0","0","1102"
"Mali","2020-12-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-01-03","0","0","0","0","0","0","0","0","0","0","0","0","0","1062"
"Mali","2021-01-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-01-17","0","0","0","0","0","0","0","0","0","0","0","0","0","597"
"Mali","2021-01-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-01-31","0","0","0","0","0","0","0","0","0","0","0","0","0","246"
"Mali","2021-02-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-02-14","0","0","0","0","0","0","0","0","0","0","0","0","0","157"
"Mali","2021-02-28","0","0","0","0","0","0","0","0","0","0","0","0","0","139"
"Mali","2021-03-14","0","0","0","0","0","0","0","0","0","0","0","0","0","497"
"Mali","2021-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","911"
"Mali","2021-04-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-04-11","0","0","0","0","0","0","0","0","0","0","0","0","0","1932"
"Mali","2021-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-04-25","0","0","0","0","0","0","0","0","0","0","0","0","0","1855"
"Mali","2021-05-09","0","0","0","0","0","0","0","0","0","0","0","0","0","522"
"Mali","2021-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-05-23","0","0","0","0","0","0","0","0","0","0","0","0","0","158"
"Mali","2021-06-06","0","0","0","0","0","0","0","0","0","0","0","0","0","56"
"Mali","2021-06-20","0","0","0","0","0","0","0","0","0","0","0","0","0","84"
"Mali","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-07-04","0","0","0","0","0","0","0","0","0","0","0","0","0","58"
"Mali","2021-07-18","0","0","0","0","0","0","0","0","0","0","0","0","0","71"
"Mali","2021-08-01","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"Mali","2021-08-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-08-15","0","0","0","0","0","0","0","0","0","0","0","0","0","108"
"Mali","2021-08-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-08-29","0","0","0","0","0","0","0","0","0","0","0","0","0","154"
"Mali","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2021-09-12","0","0","0","0","0","0","0","0","0","0","0","0","0","135"
"Mali","2021-09-26","0","0","0","0","0","0","0","0","0","0","0","0","0","172"
"Mali","2021-10-10","0","0","0","0","0","0","0","0","0","0","0","0","0","297"
"Mali","2021-10-24","0","0","0","0","0","0","0","0","0","0","0","0","0","359"
"Mali","2021-11-07","0","0","0","0","0","0","0","0","0","0","0","0","0","533"
"Mali","2021-11-21","0","0","0","0","0","0","0","0","0","0","0","0","0","577"
"Mali","2021-12-05","0","0","0","0","0","0","0","0","0","0","0","0","0","893"
"Mali","2021-12-19","0","0","0","0","0","0","0","0","0","0","0","0","0","1380"
"Mali","2021-12-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2022-01-02","0","0","0","0","0","0","0","0","0","0","0","0","0","2186"
"Mali","2022-01-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2022-01-16","0","0","0","0","0","0","0","0","0","0","0","0","0","6943"
"Mali","2022-01-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2022-01-30","0","0","0","0","0","0","0","0","0","0","0","0","0","1687"
"Mali","2022-02-13","0","0","0","0","0","0","0","0","0","0","0","0","0","250"
"Mali","2022-02-27","0","0","0","0","0","0","0","0","0","0","0","0","0","113"
"Mali","2022-03-13","0","0","0","0","0","0","0","0","0","0","0","0","0","43"
"Mali","2022-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","56"
"Mali","2022-04-10","0","0","0","0","0","0","0","0","0","0","0","0","0","76"
"Mali","2022-04-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2022-04-24","0","0","0","0","0","0","0","0","0","0","0","0","0","181"
"Mali","2022-05-08","0","0","0","0","0","0","0","0","0","0","0","0","0","200"
"Mali","2022-05-22","0","0","0","0","0","0","0","0","0","0","0","0","0","127"
"Mali","2022-06-05","0","0","0","0","0","0","0","0","0","0","0","0","0","55"
"Mali","2022-06-19","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Mali","2022-07-03","0","0","0","0","0","0","0","0","0","0","0","0","0","34"
"Mali","2022-07-17","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"Mali","2022-07-31","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"Mali","2022-08-14","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Mali","2022-08-28","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"Mali","2022-09-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2022-09-11","0","0","0","0","0","0","0","0","0","0","0","0","0","891"
"Mali","2022-09-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mali","2022-09-25","0","0","0","0","0","0","0","0","0","0","0","0","0","396"
"Mali","2022-10-09","0","0","0","0","0","0","0","0","0","0","0","0","0","96"
"Mali","2022-10-23","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Mali","2022-11-06","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Mali","2022-11-20","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Mali","2022-12-04","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Mali","2022-12-18","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Mali","2023-01-01","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Mali","2023-01-15","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Mali","2023-01-29","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Mali","2023-02-12","0","0","0","0","0","0","0","0","0","0","0","0","0","55"
"Mali","2023-02-26","0","0","0","0","0","0","0","0","0","0","0","0","0","164"
"Mali","2023-03-12","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
