"location","date","A (Lineage)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","B.1.177 - 20E/EU1","B.1.620 (WHO FMV)","Beta - B.1.351 (WHO PVOC)","Beta - B.1.351.2 (WHO PVOC)","Beta - B.1.351.5 (WHO PVOC)","Delta - AY.36 (WHO PVOC)","Delta - AY.43 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Other","Unknown"
"Equatorial Guinea","2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Equatorial Guinea","2020-04-05","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-04-19","0","0","63","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-05-03","0","0","236","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-05-17","0","0","279","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-05-31","31","0","682","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-06-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-06-28","0","0","695","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-07-12","0","0","1070","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-07-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-08-09","0","0","1750","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-08-23","0","0","105","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-09-06","0","0","0","0","0","0","0","0","0","0","0","0","0","46"
"Equatorial Guinea","2020-09-20","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"Equatorial Guinea","2020-10-04","0","0","0","0","0","0","0","0","0","0","0","0","0","43"
"Equatorial Guinea","2020-10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Equatorial Guinea","2020-11-01","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Equatorial Guinea","2020-11-15","0","0","16","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-11-29","0","0","25","25","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-12-13","0","0","32","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2020-12-27","0","0","63","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2021-01-10","0","0","21","21","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2021-01-24","0","0","0","0","0","112","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2021-02-07","0","0","0","0","23","111","23","23","0","0","0","0","0","0"
"Equatorial Guinea","2021-02-21","0","14","0","0","0","207","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2021-03-07","0","0","0","0","0","531","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2021-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"Equatorial Guinea","2021-04-04","0","0","0","0","0","272","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2021-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","251"
"Equatorial Guinea","2021-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","435"
"Equatorial Guinea","2021-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2021-05-30","0","0","0","0","0","0","0","0","0","0","0","0","0","835"
"Equatorial Guinea","2021-06-13","0","0","0","0","0","0","0","0","0","0","0","0","0","121"
"Equatorial Guinea","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","73"
"Equatorial Guinea","2021-07-11","0","0","0","0","0","0","0","0","0","0","0","0","0","67"
"Equatorial Guinea","2021-07-25","0","0","0","0","0","0","0","0","0","73","0","0","0","0"
"Equatorial Guinea","2021-08-08","0","0","0","0","0","0","0","0","0","88","0","0","0","0"
"Equatorial Guinea","2021-08-22","0","0","0","0","0","14","0","0","0","84","0","0","0","0"
"Equatorial Guinea","2021-09-05","0","0","0","0","0","119","0","0","0","593","0","0","0","0"
"Equatorial Guinea","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0","1303"
"Equatorial Guinea","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0","1299"
"Equatorial Guinea","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","478"
"Equatorial Guinea","2021-10-31","0","0","0","0","0","0","0","0","0","0","0","0","0","528"
"Equatorial Guinea","2021-11-14","0","0","0","0","0","0","0","0","0","117","0","0","0","0"
"Equatorial Guinea","2021-11-28","0","0","0","0","0","0","0","0","0","0","0","0","0","94"
"Equatorial Guinea","2021-12-12","0","0","0","0","0","0","0","0","17","17","0","0","0","0"
"Equatorial Guinea","2021-12-26","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Equatorial Guinea","2022-01-09","0","0","0","0","0","0","0","0","0","0","0","771","0","0"
"Equatorial Guinea","2022-01-23","0","0","0","0","0","0","0","0","0","0","1289","0","0","0"
"Equatorial Guinea","2022-02-06","0","0","0","0","0","0","0","0","0","0","0","0","0","155"
"Equatorial Guinea","2022-02-20","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Equatorial Guinea","2022-03-06","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Equatorial Guinea","2022-03-20","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Equatorial Guinea","2022-04-03","0","0","0","0","0","0","0","0","0","0","0","0","0","101"
"Equatorial Guinea","2022-04-17","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Equatorial Guinea","2022-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Equatorial Guinea","2022-05-15","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Equatorial Guinea","2022-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
