"location","date","Alpha - B.1.1.7 (WHO PVOC)","Alpha - Q.4 (WHO PVOC)","B.1.1.318 (WHO FMV)","B.1.620 (WHO FMV)","Delta - AY.121 (WHO PVOC)","Delta - AY.34 (WHO PVOC)","Delta - AY.34.1 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Omicron - BA.2 (WHO VOC)","Other","Unknown"
"Mauritania","2020-01-05","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2020-01-19","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2020-02-02","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2020-02-16","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2020-03-01","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2020-03-15","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2020-03-29","0","0","0","0","0","0","0","0","0","0","0","4"
"Mauritania","2020-04-12","0","0","0","0","0","0","0","0","0","0","0","2"
"Mauritania","2020-04-26","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2020-05-10","0","0","0","0","0","0","0","0","0","0","0","1"
"Mauritania","2020-05-24","0","0","0","0","0","0","0","0","0","0","0","219"
"Mauritania","2020-06-07","0","0","0","0","0","0","0","0","0","0","0","720"
"Mauritania","2020-06-21","0","0","0","0","0","0","0","0","0","0","0","1866"
"Mauritania","2020-07-05","0","0","0","0","0","0","0","0","0","0","0","2014"
"Mauritania","2020-07-19","0","0","0","0","0","0","0","0","0","0","0","986"
"Mauritania","2020-08-02","0","0","0","0","0","0","0","0","0","0","0","506"
"Mauritania","2020-08-16","0","0","0","0","0","0","0","0","0","0","0","374"
"Mauritania","2020-08-30","0","0","0","0","0","0","0","0","0","0","0","325"
"Mauritania","2020-09-13","0","0","0","0","0","0","0","0","0","0","0","256"
"Mauritania","2020-09-27","0","0","0","0","0","0","0","0","0","0","0","188"
"Mauritania","2020-10-11","0","0","0","0","0","0","0","0","0","0","0","88"
"Mauritania","2020-10-25","0","0","0","0","0","0","0","0","0","0","0","113"
"Mauritania","2020-11-08","0","0","0","0","0","0","0","0","0","0","0","151"
"Mauritania","2020-11-22","0","0","0","0","0","0","0","0","0","0","0","474"
"Mauritania","2020-12-06","0","0","0","0","0","0","0","0","0","0","0","1151"
"Mauritania","2020-12-20","0","0","0","0","0","0","0","0","0","0","0","4082"
"Mauritania","2021-01-03","0","0","0","0","0","0","0","0","0","0","0","1156"
"Mauritania","2021-01-17","0","0","0","0","0","0","0","0","0","0","0","1322"
"Mauritania","2021-01-31","0","0","0","0","0","0","0","0","0","0","0","609"
"Mauritania","2021-02-14","0","0","0","0","0","0","0","0","0","0","0","357"
"Mauritania","2021-02-21","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-02-28","0","0","0","0","0","0","0","0","0","0","0","229"
"Mauritania","2021-03-07","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-03-14","0","0","0","0","0","0","0","0","0","0","0","230"
"Mauritania","2021-03-21","0","0","0","0","0","0","0","0","0","0","0","0"
