"location","date","AU.1 (WHO FMV)","BF (Lineage)","Delta - AY.5.4 (WHO PVOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.10 (WHO VOC)","Omicron - BA.2.62 (WHO VOC)","Omicron - BE.4 (WHO VOC)","Q (Lineage)","Other"
"Vanuatu","2020-04-19","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0"
"Vanuatu","2021-04-04","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Vanuatu","2021-10-31","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Vanuatu","2022-02-20","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Vanuatu","2022-03-06","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Vanuatu","2022-03-20","0,0","0,0","0,0","60,0","0,0","40,0","0,0","0,0","0,0","0"
"Vanuatu","2022-04-17","0,0","0,0","0,0","55,00000000000001","0,0","45,0","0,0","0,0","0,0","0"
"Vanuatu","2022-05-29","0,0","0,0","0,0","69,23076923076923","0,0","15,384615384615385","15,384615384615385","0,0","0,0","0"
"Vanuatu","2022-06-12","0,0","0,0","0,0","70,58823529411765","2,941176470588235","26,47058823529412","0,0","0,0","0,0","0"
"Vanuatu","2022-06-26","0,0","0,0","0,0","14,285714285714285","28,57142857142857","57,14285714285714","0,0","0,0","0,0","0"
"Vanuatu","2022-07-10","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Vanuatu","2022-07-24","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Vanuatu","2022-08-21","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Vanuatu","2022-09-04","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
