"location","date","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.3.20 (WHO VOC)","Omicron - BA.4.1 (WHO VOC)","Omicron - BA.5.1 (WHO VOC)","Omicron - BA.5.1.1 (WHO VOC)","Omicron - BF.8 (WHO VOC)","XBB.1 (WHO VOC-SUM)","Other"
"Marshall Islands","2022-04-17","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Marshall Islands","2022-07-10","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Marshall Islands","2022-08-07","0,0","0,0","50,0","0,0","25,0","25,0","0,0","0"
"Marshall Islands","2022-10-16","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0"
"Marshall Islands","2022-10-30","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
