"location","date","A (Lineage)","Alpha (WHO VOC)","B (Lineage)","Beta (WHO VOC)","Delta - AY.43 (WHO VOC)","Other"
"Equatorial Guinea","2020-05-03","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2020-05-17","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2020-05-31","16,666666666666664","0,0","83,33333333333334","0,0","0,0","0"
"Equatorial Guinea","2020-06-14","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2020-06-28","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2020-07-12","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2020-07-26","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2020-08-09","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2020-08-23","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2020-11-15","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2020-12-13","0,0","0,0","100,0","0,0","0,0","0"
"Equatorial Guinea","2021-01-24","0,0","0,0","0,0","100,0","0,0","0"
"Equatorial Guinea","2021-02-07","0,0","0,0","0,0","100,0","0,0","0"
"Equatorial Guinea","2021-02-21","0,0","20,0","0,0","80,0","0,0","0"
"Equatorial Guinea","2021-07-25","0,0","0,0","0,0","0,0","100,0","0"
"Equatorial Guinea","2021-08-22","0,0","0,0","0,0","0,0","100,0","0"
"Equatorial Guinea","2021-09-05","0,0","0,0","0,0","0,0","100,0","0"
"Equatorial Guinea","2021-12-12","0,0","0,0","0,0","0,0","100,0","0"
