"location","date","B (Lineage)","Other"
"Cuba","2020-03-22","7,142857142857142","92,85714285714286"
"Cuba","2020-04-05","16,666666666666664","83,33333333333334"
"Cuba","2020-04-19","0,0","100,0"
"Cuba","2020-06-14","0,0","100,0"
"Cuba","2020-07-12","0,0","100,0"
"Cuba","2021-01-10","0,0","100,0"
"Cuba","2021-01-24","0,0","100,0"
"Cuba","2021-02-07","0,0","100,0"
"Cuba","2021-02-21","0,0","100,0"
"Cuba","2021-03-07","0,0","100,0"
"Cuba","2021-03-21","0,0","100,0"
"Cuba","2021-04-04","0,0","100,0"
"Cuba","2021-04-18","0,0","100,0"
"Cuba","2021-05-02","0,0","100,0"
"Cuba","2021-05-16","0,0","100,0"
"Cuba","2021-06-27","0,0","100,0"
"Cuba","2021-07-11","0,0","100,0"
"Cuba","2021-07-25","0,0","100,0"
"Cuba","2021-08-08","0,0","100,0"
"Cuba","2021-08-22","0,0","100,0"
