"location","date","A (Lineage)","Delta - AY.121 (WHO PVOC)","Delta - AY.126 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.5.2 (WHO VOC-SUM)","Omicron - BA.5.2.1 (WHO VOC-SUM)","Omicron - BA.5.2.16 (WHO VOC-SUM)","Omicron - BA.5.2.18 (WHO VOC-SUM)","Other"
"Syria","2021-12-12","0,0","52,38095238095239","14,285714285714285","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Syria","2022-01-09","0,0","60,0","0,0","10,0","30,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Syria","2022-01-23","0,0","0,0","6,25","12,5","12,5","68,75","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Syria","2022-02-06","0,0","0,0","0,0","14,285714285714285","28,57142857142857","42,857142857142854","14,285714285714285","0,0","0,0","0,0","0,0","0,0","0"
"Syria","2022-02-20","0,0","0,0","0,0","0,0","14,705882352941178","14,705882352941178","0,0","70,58823529411765","0,0","0,0","0,0","0,0","0"
"Syria","2022-03-06","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Syria","2022-08-07","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","60,0","0,0","20,0","20,0","0"
"Syria","2022-08-21","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Syria","2022-09-04","18,181818181818183","0,0","0,0","0,0","0,0","0,0","0,0","0,0","63,63636363636363","9,090909090909092","9,090909090909092","0,0","0"
