"location","date","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Beta - B.1.351 (WHO PVOC)","Delta - AY.46 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.13 (WHO VOC)","Other","Unknown"
"Burundi","2020-01-05","0","0","0","0","0","0","0","0","0","0"
"Burundi","2020-01-19","0","0","0","0","0","0","0","0","0","0"
"Burundi","2020-02-02","0","0","0","0","0","0","0","0","0","0"
"Burundi","2020-02-16","0","0","0","0","0","0","0","0","0","0"
"Burundi","2020-03-01","0","0","0","0","0","0","0","0","0","0"
"Burundi","2020-03-15","0","0","0","0","0","0","0","0","0","0"
"Burundi","2020-03-29","0","0","0","0","0","0","0","0","0","0"
"Burundi","2020-04-12","0","0","0","0","0","0","0","0","0","3"
"Burundi","2020-04-26","0","0","0","0","0","0","0","0","0","10"
"Burundi","2020-05-10","0","0","0","0","0","0","0","0","0","12"
"Burundi","2020-05-24","0","0","0","0","0","0","0","0","0","15"
"Burundi","2020-06-07","0","0","0","0","0","0","0","0","0","41"
"Burundi","2020-06-21","0","0","0","0","0","0","0","0","0","61"
"Burundi","2020-07-05","0","0","0","0","0","0","0","0","0","47"
"Burundi","2020-07-19","0","0","0","0","0","0","0","0","0","131"
"Burundi","2020-08-02","0","0","0","0","0","0","0","0","0","69"
"Burundi","2020-08-16","0","0","0","0","0","0","0","0","0","22"
"Burundi","2020-08-30","0","0","0","0","0","0","0","0","0","32"
"Burundi","2020-09-13","0","0","0","0","0","0","0","0","0","27"
"Burundi","2020-09-27","0","0","0","0","0","0","0","0","0","21"
"Burundi","2020-10-11","0","0","0","0","0","0","0","0","0","32"
"Burundi","2020-10-25","0","0","0","0","0","0","0","0","0","31"
"Burundi","2020-11-08","0","0","0","0","0","0","0","0","0","58"
"Burundi","2020-11-22","0","0","0","0","0","0","0","0","0","48"
"Burundi","2020-12-06","0","0","0","0","0","0","0","0","0","39"
"Burundi","2020-12-20","0","0","0","0","0","0","0","0","0","60"
"Burundi","2021-01-03","0","0","0","0","0","0","0","0","0","72"
"Burundi","2021-01-17","0","0","0","0","0","0","0","0","0","403"
"Burundi","2021-01-31","0","0","0","0","0","0","0","0","0","399"
"Burundi","2021-02-14","0","0","0","0","0","0","0","0","0","214"
"Burundi","2021-02-28","0","0","0","0","0","0","0","0","0","372"
"Burundi","2021-03-14","0","0","0","0","0","0","0","0","0","260"
"Burundi","2021-03-28","0","0","0","0","0","0","0","0","0","286"
"Burundi","2021-04-11","0","0","0","0","0","0","0","0","0","420"
"Burundi","2021-04-25","0","0","0","0","0","0","0","0","0","687"
"Burundi","2021-05-09","0","0","0","0","0","0","0","0","0","326"
"Burundi","2021-05-23","0","0","0","0","0","0","0","0","0","346"
"Burundi","2021-05-30","0","0","0","0","0","0","0","0","0","0"
"Burundi","2021-06-06","0","0","0","0","0","0","0","0","0","379"
"Burundi","2021-06-13","0","0","0","0","0","0","0","0","0","0"
"Burundi","2021-06-20","0","0","0","0","0","0","0","0","0","317"
"Burundi","2021-07-04","0","0","0","0","0","0","0","0","0","279"
"Burundi","2021-07-18","0","0","0","0","0","0","0","0","0","373"
"Burundi","2021-08-01","0","0","0","0","0","0","0","0","0","1611"
"Burundi","2021-08-08","0","0","0","0","0","0","0","0","0","0"
"Burundi","2021-08-15","0","0","0","0","0","0","0","0","0","2598"
"Burundi","2021-08-29","0","0","0","0","0","0","0","0","0","2426"
