"location","date","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","B.1.258 - 20A/S:439K","Gamma - P.1 (WHO PVOC)","Other","Unknown"
"Faeroe Islands","2020-01-05","0","0","0","0","0","0"
"Faeroe Islands","2020-01-19","0","0","0","0","0","0"
"Faeroe Islands","2020-02-02","0","0","0","0","0","0"
"Faeroe Islands","2020-02-16","0","0","0","0","0","0"
"Faeroe Islands","2020-03-01","0","0","0","0","0","0"
"Faeroe Islands","2020-03-08","0","0","0","0","0","0"
"Faeroe Islands","2020-03-15","0","0","0","0","0","9"
"Faeroe Islands","2020-03-22","0","0","0","0","0","0"
"Faeroe Islands","2020-03-29","0","0","0","0","0","146"
"Faeroe Islands","2020-04-12","0","0","0","0","0","28"
"Faeroe Islands","2020-04-26","0","0","0","0","0","3"
"Faeroe Islands","2020-05-10","0","0","0","0","0","0"
"Faeroe Islands","2020-05-24","0","0","0","0","0","0"
"Faeroe Islands","2020-06-07","0","0","0","0","0","0"
"Faeroe Islands","2020-06-21","0","0","0","0","0","0"
"Faeroe Islands","2020-07-05","0","0","0","0","0","0"
"Faeroe Islands","2020-07-19","0","0","0","0","0","3"
"Faeroe Islands","2020-07-26","0","0","0","0","0","0"
"Faeroe Islands","2020-08-02","0","0","0","0","0","35"
"Faeroe Islands","2020-08-09","0","0","0","0","0","0"
"Faeroe Islands","2020-08-16","0","0","0","0","0","145"
"Faeroe Islands","2020-08-23","0","0","0","0","0","0"
"Faeroe Islands","2020-08-30","0","0","0","0","0","44"
"Faeroe Islands","2020-09-13","0","0","0","0","0","9"
"Faeroe Islands","2020-09-20","0","0","0","0","0","0"
"Faeroe Islands","2020-09-27","0","0","0","0","0","40"
"Faeroe Islands","2020-10-04","0","0","0","0","0","0"
"Faeroe Islands","2020-10-11","0","0","0","0","0","17"
"Faeroe Islands","2020-10-25","0","0","0","0","0","13"
"Faeroe Islands","2020-11-08","0","0","0","0","0","6"
"Faeroe Islands","2020-11-22","0","0","0","0","0","3"
"Faeroe Islands","2020-12-06","0","0","0","0","0","9"
"Faeroe Islands","2020-12-20","0","0","0","0","0","32"
"Faeroe Islands","2021-01-03","0","0","0","0","0","75"
"Faeroe Islands","2021-01-17","0","0","0","0","0","34"
"Faeroe Islands","2021-01-24","0","0","0","0","0","0"
"Faeroe Islands","2021-01-31","0","0","0","0","0","5"
"Faeroe Islands","2021-02-14","0","0","0","0","0","3"
"Faeroe Islands","2021-02-21","0","0","0","0","0","0"
