"location","date","Alpha - B.1.1.7 (WHO PVOC)","Other","Unknown"
"Wallis and Futuna","2020-01-05","0","0","0"
"Wallis and Futuna","2020-01-19","0","0","0"
"Wallis and Futuna","2020-02-02","0","0","0"
"Wallis and Futuna","2020-02-16","0","0","0"
"Wallis and Futuna","2020-03-01","0","0","0"
"Wallis and Futuna","2020-03-15","0","0","0"
"Wallis and Futuna","2020-03-29","0","0","0"
"Wallis and Futuna","2020-04-12","0","0","0"
"Wallis and Futuna","2020-04-26","0","0","0"
"Wallis and Futuna","2020-05-10","0","0","0"
"Wallis and Futuna","2020-05-24","0","0","0"
"Wallis and Futuna","2020-06-07","0","0","0"
"Wallis and Futuna","2020-06-21","0","0","0"
"Wallis and Futuna","2020-07-05","0","0","0"
"Wallis and Futuna","2020-07-19","0","0","0"
"Wallis and Futuna","2020-08-02","0","0","0"
"Wallis and Futuna","2020-08-16","0","0","0"
"Wallis and Futuna","2020-08-30","0","0","0"
"Wallis and Futuna","2020-09-13","0","0","0"
"Wallis and Futuna","2020-09-27","0","0","0"
"Wallis and Futuna","2020-10-11","0","0","0"
"Wallis and Futuna","2020-10-25","0","0","0"
"Wallis and Futuna","2020-11-08","0","0","0"
"Wallis and Futuna","2020-11-22","0","0","1"
"Wallis and Futuna","2020-12-06","0","0","1"
"Wallis and Futuna","2020-12-20","0","0","1"
"Wallis and Futuna","2021-01-03","0","0","0"
"Wallis and Futuna","2021-01-17","0","0","0"
"Wallis and Futuna","2021-01-31","0","0","1"
"Wallis and Futuna","2021-02-14","0","0","4"
"Wallis and Futuna","2021-02-28","0","0","0"
"Wallis and Futuna","2021-03-07","0","0","0"
"Wallis and Futuna","2021-03-14","0","0","167"
"Wallis and Futuna","2021-03-21","0","0","0"
"Wallis and Futuna","2021-03-28","0","0","200"
"Wallis and Futuna","2021-04-04","0","0","0"
"Wallis and Futuna","2021-04-11","0","0","65"
"Wallis and Futuna","2021-04-18","0","0","0"
"Wallis and Futuna","2021-04-25","0","0","8"
"Wallis and Futuna","2021-05-02","0","0","0"
"Wallis and Futuna","2021-05-09","0","0","4"
"Wallis and Futuna","2021-05-23","0","0","0"
"Wallis and Futuna","2021-06-06","0","0","0"
"Wallis and Futuna","2021-06-20","0","0","0"
"Wallis and Futuna","2021-07-04","0","0","0"
"Wallis and Futuna","2021-07-18","0","0","0"
"Wallis and Futuna","2021-08-01","0","0","0"
"Wallis and Futuna","2021-08-15","0","0","0"
"Wallis and Futuna","2021-08-29","0","0","0"
"Wallis and Futuna","2021-09-12","0","0","0"
"Wallis and Futuna","2021-09-26","0","0","0"
"Wallis and Futuna","2021-10-10","0","0","0"
"Wallis and Futuna","2021-10-24","0","0","0"
"Wallis and Futuna","2021-11-07","0","0","0"
"Wallis and Futuna","2021-11-21","0","0","0"
"Wallis and Futuna","2021-12-05","0","0","0"
"Wallis and Futuna","2021-12-19","0","0","0"
"Wallis and Futuna","2022-01-02","0","0","0"
"Wallis and Futuna","2022-01-16","0","0","0"
"Wallis and Futuna","2022-01-30","0","0","0"
"Wallis and Futuna","2022-02-13","0","0","0"
"Wallis and Futuna","2022-02-27","0","0","0"
"Wallis and Futuna","2022-03-13","0","0","0"
"Wallis and Futuna","2022-03-27","0","0","0"
"Wallis and Futuna","2022-04-10","0","0","0"
"Wallis and Futuna","2022-04-24","0","0","1"
"Wallis and Futuna","2022-05-08","0","0","0"
"Wallis and Futuna","2022-05-22","0","0","0"
"Wallis and Futuna","2022-06-05","0","0","0"
"Wallis and Futuna","2022-06-19","0","0","0"
"Wallis and Futuna","2022-07-03","0","0","0"
"Wallis and Futuna","2022-07-17","0","0","28"
"Wallis and Futuna","2022-07-31","0","0","279"
"Wallis and Futuna","2022-08-14","0","0","0"
"Wallis and Futuna","2022-08-28","0","0","0"
"Wallis and Futuna","2022-09-11","0","0","0"
"Wallis and Futuna","2022-09-25","0","0","0"
"Wallis and Futuna","2022-10-09","0","0","0"
"Wallis and Futuna","2022-10-23","0","0","2654"
"Wallis and Futuna","2022-11-06","0","0","0"
"Wallis and Futuna","2022-11-20","0","0","0"
"Wallis and Futuna","2022-12-04","0","0","0"
"Wallis and Futuna","2022-12-18","0","0","0"
"Wallis and Futuna","2023-01-01","0","0","12"
"Wallis and Futuna","2023-01-15","0","0","0"
"Wallis and Futuna","2023-01-29","0","0","0"
"Wallis and Futuna","2023-02-12","0","0","0"
"Wallis and Futuna","2023-02-26","0","0","0"
"Wallis and Futuna","2023-03-12","0","0","0"
