"location","date","A (Lineage)","A.27","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","B.1.160 - 20A/EU2","B.1.620 (WHO FMV)","Beta - B.1.351 (WHO PVOC)","Delta - AY.36 (WHO PVOC)","Delta - AY.37 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Omicron - B.1.1.529 (WHO VOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.13 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.65 (WHO VOC)","Other","Unknown"
"Niger","2020-01-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-03-22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-04-05","137","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-04-19","464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-05-03","77","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-05-17","120","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-05-31","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-06-14","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-06-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94"
"Niger","2020-07-12","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-07-26","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-08-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"Niger","2020-08-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Niger","2020-09-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Niger","2020-09-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Niger","2020-10-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Niger","2020-10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Niger","2020-11-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Niger","2020-11-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86"
"Niger","2020-11-29","84","126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-12-13","119","357","0","238","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2020-12-27","59","559","0","147","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2021-01-10","0","439","110","165","0","0","0","0","0","0","55","0","0","0","0","0","0","0","0","0"
"Niger","2021-01-24","0","84","28","364","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2021-02-07","0","130","0","0","0","0","0","0","0","0","130","0","0","0","0","0","0","0","0","0"
"Niger","2021-02-21","0","31","0","31","0","0","0","0","0","0","61","0","0","0","0","0","0","0","0","0"
"Niger","2021-03-07","0","0","0","0","0","0","0","0","0","0","89","0","0","0","0","0","0","0","0","0"
"Niger","2021-03-21","0","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2021-04-04","0","11","0","21","0","0","0","0","0","0","93","0","0","0","0","0","0","0","0","0"
"Niger","2021-04-18","0","23","0","45","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0"
"Niger","2021-05-02","0","0","0","80","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0"
"Niger","2021-05-16","0","0","0","28","0","0","28","0","0","0","28","0","0","0","0","0","0","0","0","0"
"Niger","2021-05-30","0","0","0","0","0","0","0","0","0","0","77","0","0","0","0","0","0","0","0","0"
"Niger","2021-06-13","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33"
"Niger","2021-07-11","0","0","0","0","0","7","0","0","14","33","7","0","0","0","0","0","0","0","0","0"
"Niger","2021-07-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61"
"Niger","2021-08-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88"
"Niger","2021-08-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83"
"Niger","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112"
"Niger","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"Niger","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"Niger","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128"
"Niger","2021-10-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196"
"Niger","2021-11-14","0","0","0","0","0","0","0","163","0","163","0","0","0","0","0","0","0","0","0","0"
"Niger","2021-11-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266"
"Niger","2021-12-12","0","0","0","0","0","0","0","0","0","196","0","0","0","0","0","0","0","0","0","0"
"Niger","2021-12-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117"
"Niger","2022-01-09","0","0","0","429","0","0","0","0","0","0","62","0","0","123","62","62","0","0","0","0"
"Niger","2022-01-23","0","0","0","0","0","0","0","0","0","0","0","0","210","257","70","0","0","0","0","0"
"Niger","2022-02-06","0","0","0","0","0","0","0","0","0","0","0","0","83","62","0","0","0","0","0","0"
"Niger","2022-02-20","0","0","0","21","0","0","0","0","0","0","0","0","21","0","11","0","0","0","0","0"
"Niger","2022-03-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Niger","2022-03-20","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","11","6","0","0"
"Niger","2022-04-03","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0"
"Niger","2022-04-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","0","0","0"
"Niger","2022-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","0","0","0"
"Niger","2022-05-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72"
"Niger","2022-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Niger","2022-06-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2022-06-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2022-07-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2022-07-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73"
"Niger","2022-08-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"Niger","2022-08-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64"
"Niger","2022-09-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174"
"Niger","2022-09-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38"
"Niger","2022-10-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Niger","2022-10-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Niger","2022-10-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Niger","2022-11-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Niger","2022-11-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2022-12-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Niger","2022-12-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39"
"Niger","2023-01-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niger","2023-01-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33"
"Niger","2023-02-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
