"location","date","A (Lineage)","A.23.1","B (Lineage)","B.1.466.2 (WHO FMV)","Delta (WHO VOC)","Delta - AY.23 (WHO VOC)","Delta - AY.24 (WHO VOC)"
"Timor-Leste","2020-03-22","0,0","0,0","100,0","0,0","0,0","0,0","0,0"
"Timor-Leste","2020-04-05","0,0","0,0","100,0","0,0","0,0","0,0","0,0"
"Timor-Leste","2020-04-19","0,0","0,0","100,0","0,0","0,0","0,0","0,0"
"Timor-Leste","2020-11-29","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Timor-Leste","2020-12-27","0,0","0,0","100,0","0,0","0,0","0,0","0,0"
"Timor-Leste","2021-01-10","0,0","0,0","8,333333333333332","41,66666666666667","0,0","50,0","0,0"
"Timor-Leste","2021-01-24","0,0","0,0","25,0","75,0","0,0","0,0","0,0"
"Timor-Leste","2021-02-21","0,0","0,0","0,0","25,0","0,0","75,0","0,0"
"Timor-Leste","2021-03-07","0,0","0,0","0,0","100,0","0,0","0,0","0,0"
"Timor-Leste","2021-03-21","4,3478260869565215","0,0","4,3478260869565215","73,91304347826086","0,0","17,391304347826086","0,0"
"Timor-Leste","2021-04-18","0,0","0,0","15,384615384615385","84,61538461538461","0,0","0,0","0,0"
"Timor-Leste","2021-05-02","0,0","0,0","3,5294117647058822","95,29411764705881","1,1764705882352942","0,0","0,0"
"Timor-Leste","2021-05-16","1,098901098901099","0,0","0,0","97,8021978021978","0,0","1,098901098901099","0,0"
"Timor-Leste","2021-06-13","0,0","0,0","10,0","80,0","0,0","10,0","0,0"
"Timor-Leste","2021-06-27","0,0","0,0","0,0","100,0","0,0","0,0","0,0"
"Timor-Leste","2021-07-11","0,0","0,0","0,0","84,61538461538461","0,0","7,6923076923076925","7,6923076923076925"
"Timor-Leste","2021-08-08","0,0","0,0","0,0","0,0","0,0","100,0","0,0"
