"location","date","A (Lineage)","B (Lineage)","Beta - B.1.351 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Q (Lineage)","Y (Lineage)","Other"
"Guinea-Bissau","2020-03-22","50,0","50,0","0,0","0,0","0,0","0,0","0"
"Guinea-Bissau","2020-05-03","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Guinea-Bissau","2020-05-17","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Guinea-Bissau","2021-01-10","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Guinea-Bissau","2021-01-24","0,0","7,6923076923076925","0,0","0,0","84,61538461538461","7,6923076923076925","0"
"Guinea-Bissau","2021-02-07","0,0","21,052631578947366","5,263157894736842","0,0","73,68421052631578","0,0","0"
"Guinea-Bissau","2022-01-09","0,0","0,0","0,0","100,0","0,0","0,0","0"
