"location","date","A (Lineage)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Beta - B.1.351 (WHO PVOC)","C (Lineage)","C.36.3 (WHO FMV)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Omicron - BA.1.13.1 (WHO VOC)","Omicron - BA.1.19 (WHO VOC)","Omicron - BA.1.5 (WHO VOC)","Omicron - BA.1.7 (WHO VOC)","Omicron - BA.1.9 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.23 (WHO VOC)","Omicron - BA.2.31.1 (WHO VOC)","Other","Unknown"
"Sudan","2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Sudan","2020-04-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Sudan","2020-04-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54"
"Sudan","2020-05-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","526"
"Sudan","2020-05-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1697"
"Sudan","2020-05-31","837","0","1674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2020-06-14","442","0","1766","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2020-06-28","0","0","2307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2020-07-12","312","0","624","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2020-07-26","568","0","568","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2020-08-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","571"
"Sudan","2020-08-23","583","0","365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2020-09-06","534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2020-09-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118"
"Sudan","2020-10-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105"
"Sudan","2020-10-18","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2020-11-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93"
"Sudan","2020-11-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","924"
"Sudan","2020-11-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3082"
"Sudan","2020-12-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3781"
"Sudan","2020-12-27","1724","0","862","0","0","173","173","173","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-01-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2800"
"Sudan","2021-01-24","1028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-02-07","556","0","0","0","0","0","0","556","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-02-21","0","0","0","0","0","0","0","494","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-03-07","159","32","64","32","0","0","0","127","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-03-21","265","0","53","0","0","0","0","133","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-04-04","205","0","0","256","26","0","0","359","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-04-18","0","0","0","0","0","0","0","1189","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","922"
"Sudan","2021-05-16","189","0","0","0","0","0","189","567","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-05-30","0","0","0","80","0","0","54","267","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-06-13","153","0","610","0","0","0","0","153","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-06-27","0","0","165","83","0","0","83","42","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-07-11","4","0","0","8","0","0","209","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-07-25","0","0","56","0","0","0","167","111","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-08-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2021-08-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","482"
"Sudan","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266"
"Sudan","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122"
"Sudan","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","288"
"Sudan","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1267"
"Sudan","2021-10-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","883"
"Sudan","2021-11-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","660"
"Sudan","2021-11-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","963"
"Sudan","2021-12-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2473"
"Sudan","2021-12-26","0","0","0","0","0","0","0","0","1571","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudan","2022-01-09","0","0","0","0","0","0","0","0","135","806","135","0","0","135","0","0","135","0","0","0","0"
"Sudan","2022-01-23","0","0","110","0","0","0","110","0","712","1753","1041","55","55","0","55","931","1534","55","110","0","0"
"Sudan","2022-02-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4915"
"Sudan","2022-02-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1065"
"Sudan","2022-03-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1630"
"Sudan","2022-03-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","206"
"Sudan","2022-04-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180"
"Sudan","2022-04-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102"
"Sudan","2022-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"Sudan","2022-05-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44"
"Sudan","2022-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"Sudan","2022-06-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","193"
"Sudan","2022-06-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107"
"Sudan","2022-07-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","194"
"Sudan","2022-07-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","169"
"Sudan","2022-08-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160"
"Sudan","2022-08-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73"
