"location","date","variant","num_sequences","perc_sequences","num_sequences_total"
"Chile","2020-12-27","Alpha (VOC)","0,3333333333333333","0,08633750287165359","1,6666666666666667"
"Chile","2020-12-27","B (Lineage)","0,2962962962962963","0,07249014616548194","1,8024691358024691"
"Chile","2020-12-27","C (Lineage)","1,0","0,2692307692307693","10,0"
"Chile","2020-12-27","Epsilon (AFM)","1,0","0,1530612244897959","4,0"
"Chile","2020-12-27","N (Lineage)","0,9642857142857143","0,2298327278406672","2,9642857142857144"
"Chile","2020-12-27","Other","0,14285714285714285","0,04930782029410955","0,42857142857142855"
"Chile","2020-12-27","Zeta - P.2 (AFM)","0,2","0,08150200560960508","2,2"
"Chile","2021-01-10","Alpha (VOC)","0,7142857142857143","0,12607939699542137","2,0714285714285716"
"Chile","2021-01-10","B (Lineage)","0,52","0,09048344995780203","2,7066666666666666"
"Chile","2021-01-10","B.1.1.519 (AFM)","0,14285714285714285","0,06086499359726753","0,7142857142857143"
"Chile","2021-01-10","C (Lineage)","0,18181818181818182","0,03810016369581482","1,0909090909090908"
"Chile","2021-01-10","Epsilon (AFM)","0,0","0,04436960049100749","0,0"
"Chile","2021-01-10","N (Lineage)","0,5714285714285714","0,11545157566254635","3,142857142857143"
"Chile","2021-01-10","Zeta - P.2 (AFM)","0,42857142857142855","0,04896495837448629","1,7857142857142858"
"Chile","2021-01-24","B (Lineage)","0,42857142857142855","0,10630171721991458","1,3896103896103895"
"Chile","2021-01-24","B.1.1.519 (AFM)","0,14285714285714285","0,0404999067459336","0,42857142857142855"
"Chile","2021-01-24","C (Lineage)","1,0","0,023255813953488372","8,0"
"Chile","2021-01-24","Epsilon (AFM)","0,3333333333333333","0,06988161118105779","1,0"
"Chile","2021-01-24","Gamma - P.1 (VOC)","0,14285714285714285","0,08160586405676325","0,42857142857142855"
"Chile","2021-01-24","Lambda (VOI)","0,4","0,27780210163982566","0,8"
"Chile","2021-01-24","N (Lineage)","0,22727272727272727","0,0738204705436686","0,7727272727272727"
"Chile","2021-01-24","Other","0,5","0,089581100525868","3,3"
"Chile","2021-01-24","Zeta - P.2 (AFM)","0,2222222222222222","0,09091720728139104","1,5555555555555556"
"Chile","2021-02-07","Alpha (VOC)","0,25","0,04694412662090008","0,5"
"Chile","2021-02-07","B (Lineage)","0,6222222222222222","0,17422901058872126","2,111111111111111"
"Chile","2021-02-07","C (Lineage)","0,14285714285714285","0,044648400842181225","0,2857142857142857"
"Chile","2021-02-07","Epsilon (AFM)","0,125","0,07138082133699244","1,25"
"Chile","2021-02-07","Gamma - P.1 (VOC)","0,14285714285714285","0,044648400842181225","0,2857142857142857"
"Chile","2021-02-07","Lambda (VOI)","0,21428571428571427","0,08420467789845829","1,0714285714285714"
"Chile","2021-02-07","N (Lineage)","0,5","0,148616533490407","1,7727272727272727"
"Chile","2021-02-07","Zeta - P.2 (AFM)","0,3333333333333333","0,0545607678616832","0,8333333333333334"
"Chile","2021-02-21","Alpha (VOC)","0,2","0,03567715612632204","1,7"
"Chile","2021-02-21","B (Lineage)","0,7083333333333334","0,11140889844322463","2,2777777777777777"
"Chile","2021-02-21","B.1.1.28","0,14285714285714285","0,034543251721045644","1,0"
"Chile","2021-02-21","B.1.1.519 (AFM)","0,375","0,05066781344366634","1,875"
"Chile","2021-02-21","C (Lineage)","0,23076923076923078","0,0669925980793867","0,7692307692307693"
