"location","date","B (Lineage)","Other","Unknown"
"Cuba","2020-01-05","0","0","0"
"Cuba","2020-01-19","0","0","0"
"Cuba","2020-02-02","0","0","0"
"Cuba","2020-02-16","0","0","0"
"Cuba","2020-03-01","0","0","0"
"Cuba","2020-03-15","0","0","1"
"Cuba","2020-03-22","0","0","0"
"Cuba","2020-03-29","0","0","115"
"Cuba","2020-04-05","0","0","0"
"Cuba","2020-04-12","0","0","501"
"Cuba","2020-04-26","0","0","717"
"Cuba","2020-05-10","0","0","417"
"Cuba","2020-05-24","0","0","177"
"Cuba","2020-06-07","0","0","242"
"Cuba","2020-06-21","0","0","136"
"Cuba","2020-07-05","0","0","60"
"Cuba","2020-07-19","0","0","76"
"Cuba","2020-08-02","0","0","188"
"Cuba","2020-08-16","0","0","659"
"Cuba","2020-08-30","0","0","633"
"Cuba","2020-09-13","0","0","728"
"Cuba","2020-09-27","0","0","759"
"Cuba","2020-10-11","0","0","536"
"Cuba","2020-10-25","0","0","586"
"Cuba","2020-11-08","0","0","733"
"Cuba","2020-11-22","0","0","531"
"Cuba","2020-12-06","0","0","916"
"Cuba","2020-12-20","0","0","1310"
"Cuba","2021-01-03","0","0","2201"
"Cuba","2021-01-17","0","0","5276"
"Cuba","2021-01-31","0","0","8173"
"Cuba","2021-02-14","0","0","11809"
"Cuba","2021-02-28","0","0","11678"
"Cuba","2021-03-14","0","0","11397"
"Cuba","2021-03-28","0","0","11026"
"Cuba","2021-04-11","0","0","13988"
"Cuba","2021-04-25","0","0","14746"
"Cuba","2021-05-09","0","0","14594"
"Cuba","2021-05-23","0","0","16920"
"Cuba","2021-06-06","0","0","15999"
"Cuba","2021-06-20","0","0","18537"
"Cuba","2021-07-04","0","0","34360"
"Cuba","2021-07-18","0","0","74880"
"Cuba","2021-08-01","0","0","108988"
"Cuba","2021-08-15","0","0","124436"
"Cuba","2021-08-29","0","0","125129"
"Cuba","2021-09-12","0","0","103007"
"Cuba","2021-09-26","0","0","110326"
"Cuba","2021-10-10","0","0","67285"
"Cuba","2021-10-24","0","0","29652"
"Cuba","2021-11-07","0","0","11067"
"Cuba","2021-11-21","0","0","4974"
"Cuba","2021-12-05","0","0","2530"
"Cuba","2021-12-19","0","0","1033"
"Cuba","2022-01-02","0","0","2438"
"Cuba","2022-01-16","0","0","29158"
"Cuba","2022-01-30","0","0","44211"
"Cuba","2022-02-13","0","0","19992"
"Cuba","2022-02-27","0","0","8923"
"Cuba","2022-03-13","0","0","7472"
"Cuba","2022-03-27","0","0","10132"
"Cuba","2022-04-10","0","0","9873"
"Cuba","2022-04-24","0","0","5252"
"Cuba","2022-05-08","0","0","2408"
"Cuba","2022-05-22","0","0","1041"
"Cuba","2022-06-05","0","0","508"
"Cuba","2022-06-19","0","0","286"
"Cuba","2022-07-03","0","0","358"
"Cuba","2022-07-17","0","0","643"
"Cuba","2022-07-31","0","0","1255"
"Cuba","2022-08-14","0","0","1375"
"Cuba","2022-08-28","0","0","977"
"Cuba","2022-09-11","0","0","521"
"Cuba","2022-09-25","0","0","270"
"Cuba","2022-10-09","0","0","105"
"Cuba","2022-10-23","0","0","35"
"Cuba","2022-11-06","0","0","25"
"Cuba","2022-11-20","0","0","44"
"Cuba","2022-12-04","0","0","84"
"Cuba","2022-12-18","0","0","226"
"Cuba","2023-01-01","0","0","346"
"Cuba","2023-01-15","0","0","270"
"Cuba","2023-01-29","0","0","131"
"Cuba","2023-02-12","0","0","119"
"Cuba","2023-02-26","0","0","65"
"Cuba","2023-03-12","0","0","80"
