"location","date","A (Lineage)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Delta - AY.121 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.126 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.2.12.1 (WHO VOC)","Omicron - BA.2.9 (WHO VOC)","Omicron - BA.5.2 (WHO VOC)","Omicron - BA.5.2.20 (WHO VOC)","Omicron - BA.5.2.28 (WHO VOC)","Omicron - BF.5 (WHO VOC)","Other","Unknown"
"Uzbekistan","2020-01-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2020-01-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2020-02-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2020-02-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2020-03-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2020-03-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140"
"Uzbekistan","2020-04-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","652"
"Uzbekistan","2020-04-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1069"
"Uzbekistan","2020-05-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","522"
"Uzbekistan","2020-05-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","745"
"Uzbekistan","2020-06-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1049"
"Uzbekistan","2020-06-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2035"
"Uzbekistan","2020-07-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3613"
"Uzbekistan","2020-07-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6600"
"Uzbekistan","2020-08-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8611"
"Uzbekistan","2020-08-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9904"
"Uzbekistan","2020-08-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6359"
"Uzbekistan","2020-09-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5739"
"Uzbekistan","2020-09-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7911"
"Uzbekistan","2020-10-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5941"
"Uzbekistan","2020-10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
