"location","date","Alpha - B.1.1.7 (WHO PVOC)","Other"
"Wallis and Futuna","2021-03-07","100,0","0"
"Wallis and Futuna","2021-03-21","100,0","0"
"Wallis and Futuna","2021-04-04","100,0","0"
"Wallis and Futuna","2021-04-18","100,0","0"
"Wallis and Futuna","2021-05-02","100,0","0"
