"location","date","Alpha - B.1.1.7 (WHO PVOC)","B.1.1.318 (WHO FMV)","Beta - B.1.351 (WHO PVOC)","Delta - AY.37 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Iota - B.1.526 (WHO PVOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","R.1 (WHO FMV)","Other","Unknown"
"Liberia","2020-01-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2020-01-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2020-02-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2020-02-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2020-03-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2020-03-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Liberia","2020-04-12","0","0","0","0","0","0","0","0","0","0","0","0","0","52"
"Liberia","2020-04-26","0","0","0","0","0","0","0","0","0","0","0","0","0","73"
"Liberia","2020-05-10","0","0","0","0","0","0","0","0","0","0","0","0","0","86"
"Liberia","2020-05-24","0","0","0","0","0","0","0","0","0","0","0","0","0","54"
"Liberia","2020-06-07","0","0","0","0","0","0","0","0","0","0","0","0","0","94"
"Liberia","2020-06-21","0","0","0","0","0","0","0","0","0","0","0","0","0","267"
"Liberia","2020-07-05","0","0","0","0","0","0","0","0","0","0","0","0","0","240"
"Liberia","2020-07-19","0","0","0","0","0","0","0","0","0","0","0","0","0","217"
"Liberia","2020-08-02","0","0","0","0","0","0","0","0","0","0","0","0","0","116"
"Liberia","2020-08-16","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
"Liberia","2020-08-30","0","0","0","0","0","0","0","0","0","0","0","0","0","41"
"Liberia","2020-09-13","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Liberia","2020-09-27","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Liberia","2020-10-11","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"Liberia","2020-10-25","0","0","0","0","0","0","0","0","0","0","0","0","0","37"
"Liberia","2020-11-08","0","0","0","0","0","0","0","0","0","0","0","0","0","41"
"Liberia","2020-11-22","0","0","0","0","0","0","0","0","0","0","0","0","0","110"
"Liberia","2020-12-06","0","0","0","0","0","0","0","0","0","0","0","0","0","140"
"Liberia","2020-12-20","0","0","0","0","0","0","0","0","0","0","0","0","0","84"
"Liberia","2021-01-03","0","0","0","0","0","0","0","0","0","0","0","0","0","47"
"Liberia","2021-01-17","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"Liberia","2021-01-31","0","0","0","0","0","0","0","0","0","0","0","0","0","48"
"Liberia","2021-02-14","0","0","0","0","0","0","0","0","0","0","0","0","0","39"
"Liberia","2021-02-28","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"Liberia","2021-03-14","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Liberia","2021-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2021-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
