"location","continent","population","start","end","range","cases_100k","variation","var_inc","var_inc_fmt"
"Solomon Islands","Oceania","703995,0","2,06","1,83","to risky wave [1.5 to 1.99]","303,7","-14","0,96","-"
"Somalia","Africa","16359500,0","0,0","0,0","low [0 to 0.09]","0,36","0","0,64","-"
"South Africa","Africa","60041996,0","0,98","0,93","warning [0.1 to 0.99]","36,69","-6","0,85","-"
"South Korea","Asia","51305184,0","12,0","12,0","critical wave [more than 6]","11070,79","5986","2,18","x2"
"South Sudan","Africa","11381377,0","0,0","0,0","low [0 to 0.09]","0,89","0","1,06","+"
"Spain","Europe","46745211,0","2,2","2,01","high wave [2 to 3.99]","498,08","-125","0,8","-"
"Sri Lanka","Asia","21497306,0","1,19","1,0","caution [1 to 1.49]","41,41","-20","0,67","-"
"Sudan","Africa","44909351,0","0,51","0,0","low [0 to 0.09]","0,46","-3","0,13","-"
"Suriname","South America","591798,0","1,32","1,1","caution [1 to 1.49]","69,62","-65","0,52","-"
"Sweden","Europe","10160159,0","1,73","1,52","to risky wave [1.5 to 1.99]","215,38","-110","0,66","-"
"Switzerland","Europe","8715494,0","6,65","12,0","critical wave [more than 6]","4988,55","2391","1,92","x2"
"Syria","Asia","18275704,0","0,68","0,51","warning [0.1 to 0.99]","3,2","-4","0,43","-"
"Taiwan","Asia","23855008,0","0,69","0,81","warning [0.1 to 0.99]","4,52","1","1,3","+"
"Tajikistan","Asia","9749625,0","0,0","0,0","low [0 to 0.09]","0,0","0","0,0","-"
"Tanzania","Africa","61498438,0","0,0","0,0","low [0 to 0.09]","0,24","0","2,0","x2"
"Thailand","Asia","69950844,0","2,54","2,34","high wave [2 to 3.99]","516,62","64","1,14","+"
"Timor","Asia","1343875,0","0,92","0,0","low [0 to 0.09]","2,53","-27","0,08","-"
"Togo","Africa","8478242,0","0,0","0,0","low [0 to 0.09]","0,6","0","0,61","-"
"Tonga","Oceania","106759,0","2,43","5,98","very high wave [4 to 5.99]","2201,22","1579","3,54","x4"
"Trinidad and Tobago","North America","1403374,0","2,24","1,89","to risky wave [1.5 to 1.99]","366,76","-109","0,77","-"
"Tunisia","Africa","11935764,0","1,59","2,15","high wave [2 to 3.99]","293,19","135","1,86","x2"
"Turkey","Asia","85042736,0","3,01","1,91","to risky wave [1.5 to 1.99]","432,61","-566","0,43","-"
"Turks and Caicos Islands","North America","39226,0","1,03","0,91","warning [0.1 to 0.99]","33,14","-20","0,62","-"
"Uganda","Africa","47123533,0","0,0","0,0","low [0 to 0.09]","0,8","0","1,08","+"
"Ukraine","Europe","43466822,0","1,7","0,0","low [0 to 0.09]","0,0","-223","0,0","-"
"United Arab Emirates","Asia","9991083,0","1,16","1,01","caution [1 to 1.49]","50,16","-33","0,61","-"
"United Kingdom","Europe","68207114,0","2,64","5,2","very high wave [4 to 5.99]","1919,45","1176","2,58","x3"
"United States","North America","332915074,0","1,57","1,32","caution [1 to 1.49]","133,89","-103","0,56","-"
"Uruguay","South America","3485152,0","2,86","2,15","high wave [2 to 3.99]","594,55","-515","0,54","-"
"Uzbekistan","Asia","33935765,0","0,56","0,0","low [0 to 0.09]","1,51","-3","0,31","-"
"Vanuatu","Oceania","314464,0","0,0","1,57","to risky wave [1.5 to 1.99]","238,5","236","106,95","x107"
"Vatican","Europe","812,0","0,0","0,0","low [0 to 0.09]","0,0","0","0,0",""
"Venezuela","South America","28704947,0","0,82","0,66","warning [0.1 to 0.99]","9,2","-13","0,42","-"
"Vietnam","Asia","98168829,0","5,83","12,0","critical wave [more than 6]","3750,33","2072","2,24","x2"
"Wallis and Futuna","Oceania","11094,0","0,0","0,0","low [0 to 0.09]","0,0","0","0,0",""
"Yemen","Asia","30490639,0","0,0","0,0","low [0 to 0.09]","0,1","0","0,77","-"
"Zambia","Africa","18920657,0","0,73","0,69","warning [0.1 to 0.99]","10,94","-3","0,79","-"
"Zimbabwe","Africa","15092171,0","1,07","1,12","caution [1 to 1.49]","36,2","-3","0,93","-"
