"location","date","A (Lineage)","A.23.1","A.27","A.28","AA (Lineage)","AB (Lineage)","AC (Lineage)","AD (Lineage)","AE (Lineage)","AF (Lineage)","AG (Lineage)","AH (Lineage)","AJ (Lineage)","AK (Lineage)","AL (Lineage)","AM (Lineage)","AN (Lineage)","AP (Lineage)","AQ (Lineage)","AS (Lineage)","AT.1","AU (Lineage)","AV.1 (PHE VUI)","AW (Lineage)","AZ (Lineage)","Alpha (WHO VOC)","Alpha - Q.1 (WHO VOC)","Alpha - Q.2 (WHO VOC)","Alpha - Q.3 (WHO VOC)","Alpha - Q.4 (WHO VOC)","Alpha - Q.5 (WHO VOC)","Alpha - Q.6 (WHO VOC)","Alpha - Q.7 (WHO VOC)","Alpha - Q.8 (WHO VOC)","B (Lineage)","B.1.1.277 - 20B/S:626S","B.1.1.28","B.1.1.302 - 20B/S:1122L","B.1.1.318 (WHO AFM)","B.1.1.519 - 20B/S:732A","B.1.1.523 (WHO AFM)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.214.2 (WHO AFM)","B.1.221 - 20A/S:98F","B.1.258 - 20A/S:439K","B.1.367 - 20C/S:80Y","B.1.466.2 (WHO AFM)","B.1.616","B.1.617.3 (CDC VBM)","B.1.619 (WHO AFM)","B.1.620 - 20A/S:126A","B.1.623 (PHE VUI)","B.1.630 (WHO AFM)","Beta (WHO VOC)","C (Lineage)","C.1.2 (WHO AFM)","C.16","C.36 (ECDC VUM)","C.36.3 (WHO AFM)","D (Lineage)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.6 (WHO VOC)","Delta - AY.7 (WHO VOC)","Delta - AY.8 (WHO VOC)","Delta - AY.9 (WHO VOC)","Epsilon (WHO AFM)","Eta (WHO AFM)","G (Lineage)","Gamma (WHO VOC)","Gamma - P.1.1 (WHO VOC)","Gamma - P.1.2 (WHO VOC)","Gamma - P.1.3 (WHO VOC)","Gamma - P.1.4 (WHO VOC)","Gamma - P.1.5 (WHO VOC)","Gamma - P.1.6 (WHO VOC)","Gamma - P.1.7 (WHO VOC)","Gamma - P.1.8 (WHO VOC)","Gamma - P.1.9 (WHO VOC)","Iota (WHO AFM)","K (Lineage)","Kappa (WHO AFM)","L (Lineage)","Lambda (WHO VOI)","M (Lineage)","Mu - 21H (WHO VOI)","N (Lineage)","N.7 (UY-GTI)","Other","P (Lineage)","P.6 (UY-GTI)","P.7","R.1 (WHO AFM)","R.2","S (Lineage)","Theta - P.3 (PHE VUI)","U (Lineage)","V (Lineage)","W (Lineage)","XA (Lineage)","Y (Lineage)","Z (Lineage)","Zeta - P.2 (CDC VBM)"
"World","2020-06-14","1,1090450258998539","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,053127905432328336","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","96,82560765041838","0,05976889361136937","0,3586133616682162","0,0","0,0","0,0","0,0","0,019922964537123125","0,07305086996945145","0,0","0,03984592907424625","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,006640988179041042","0,7172267233364324","0,0","0,0","0,1128967990436977","0,0","0,23907557444547747","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,013281976358082084","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,026563952716164168","0,0","0,0","0,0","0,25235755080355954","0,0","0,07305086996945145","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,013281976358082084","0,0","0,0","0,006640988179041042","0,0"
"World","2020-06-28","0,641648022288826","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,01688547427075858","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","96,09523407488709","0,012664105703068935","0,333488116847482","0,0","0,0","0,0","0,0","0,0","0,3039385368736544","0,0","0,012664105703068935","0,029549579973827518","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6965258136687914","0,0","0,012664105703068935","0,05487779137996539","0,0","1,2326396217653763","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,12241968846299969","0,0","0,004221368567689645","0,0","0,23639663979062014","0,0928701084891722","0,08864873992148255","0,0","0,0","0,0","0,0","0,0","0,00844273713537929","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,004221368567689645"
"World","2020-07-12","0,22763487366264512","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,06829046209879354","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,004552697473252903","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03186888231277032","0,0","0,0","0,04552697473252903","0,0","0,0","0,0","0,0","0,0","90,97200091053949","0,06829046209879354","0,44161165490553156","0,009105394946505805","0,0","0,0","0,0","0,009105394946505805","0,2139767812428864","0,0","0,01821078989301161","0,03642157978602322","0,0","0,0","0,0","0,0","0,0","0,0","0,009105394946505805","0,0","0,004552697473252903","0,6646938310949237","0,0","0,0","0,11837013430457546","0,0","6,592305941270203","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,013658092419758709","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,12747552925108127","0,0","0,0","0,0","0,2139767812428864","0,022763487366264514","0,08194855451855224","0,0","0,0","0,004552697473252903","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"World","2020-07-26","0,3997773392034816","0,0","0,0","0,0","0,0","0,0","0,0","0,010120945296290674","0,21253985122210414","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,005060472648145337","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,01518141794443601","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","78,21972572238248","0,020241890592581347","0,32387024948130155","0,01518141794443601","0,0","0,0","0,0","0,040483781185162694","0,6426800263144578","0,0","0,08602803501847073","0,13157228885177877","0,04554425383330803","0,0","0,0","0,0","0,005060472648145337","0,0","0,0","0,0","0,0","0,6983452254440564","0,0","0,0","0,06072567177774404","0,0","18,546632255452657","0,0","0,0","0,010120945296290674","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,020241890592581347","0,0","0,0","0,0","0,0","0,005060472648145337","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,005060472648145337","0,0","0,07590708972218005","0,0","0,0","0,0","0,24290268711097615","0,040483781185162694","0,11639087090734275","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,005060472648145337"
"World","2020-08-09","0,13991412167703962","0,0","0,0","0,004824624885415159","0,0","0,0","0,0","0,7767646065518407","0,303951367781155","0,0","0,0","0,0","0,0","0,004824624885415159","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,004824624885415159","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","77,10715491870506","0,1157909972499638","0,2943021180103247","0,06272012351039706","0,0","0,009649249770830318","0,0","0,2219327447290973","1,5197568389057752","0,0","0,3521976166353066","0,45351473922902497","0,24605586915617308","0,004824624885415159","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3280744922082308","0,0","0,0","0,053070873739566746","0,0","17,672600955275726","0,0","0,0","0,0","0,009649249770830318","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,004824624885415159","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,019298499541660637","0,0","0,024123124427075794","0,0","0,0","0,0","0,1543879963332851","0,004824624885415159","0,09649249770830318","0,0","0,0","0,009649249770830318","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"World","2020-08-23","0,23663697104677062","0,0","0,0","0,0","0,0046399406087602076","0,0","0,0","1,095025983667409","0,2691165553080921","0,0","0,0","0,09279881217520415","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","75,7099109131403","0,3433556050482554","0,3897550111358575","0,05567928730512249","0,0","0,01855976243504083","0,0","3,155159613956941","4,120267260579064","0,0","0,7934298440979956","1,1507052709725316","1,4059020044543429","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0046399406087602076","0,5985523385300668","0,0","0,0046399406087602076","0,060319227913882695","0,0","9,683556050482554","0,013919821826280623","0,0","0,01855976243504083","0,009279881217520415","0,0","0,0","0,0","0,0","0,0","0,0046399406087602076","0,01855976243504083","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,027839643652561245","0,0","0,0","0,0","0,36655530809205644","0,0","0,3201559020044543","0,0","0,0","0,0","0,0","0,0","0,01855976243504083","0,0","0,0","0,0","0,0046399406087602076","0,0","0,0","0,0","0,0046399406087602076"
"World","2020-09-06","0,2847119833240124","0,0","0,0","0,0","0,005084142559357364","0,0","0,0","2,231938583557883","1,0168285118714728","0,0","0,0","0,04575728303421628","0,0","0,005084142559357364","0,0","0,0","0,005084142559357364","0,005084142559357364","0,030504855356144184","0,0","0,0","0,0","0,0","0,0","0,0","0,015252427678072092","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","70,49163658548986","0,8439676648533225","0,25929127052722556","0,17286084701815038","0,0","0,005084142559357364","0,0","3,91478977070517","9,802226854440999","0,0","0,8236310946158931","1,9726473130306572","1,2354466419238395","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,025420712796786822","1,1693527886521937","0,0","0,005084142559357364","0,0","0,0","5,170572982866439","0,005084142559357364","0,0","0,0","0,010168285118714728","0,0","0,0","0,0","0,0","0,0","0,0","0,030504855356144184","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,005084142559357364","0,0","0,025420712796786822","0,0","0,005084142559357364","0,0","0,24403884284915348","0,0","0,04575728303421628","0,0","0,0","0,005084142559357364","0,0","0,0","0,050841425593573644","0,0","0,0","0,0","0,020336570237429456","0,0","0,0","0,0","0,015252427678072092"
"World","2020-09-20","0,04872215086149621","0,0","0,0","0,0","0,022146432209771007","0,0","0,0","2,3608096735615893","1,2357709173052223","0,0","0,013287859325862605","0,044292864419542013","0,0","0,03986357797758781","0,008858572883908402","0,0","0,02657571865172521","0,03100500509367941","0,008858572883908402","0,0","0,0","0,0","0,0","0,0","0,0","0,004429286441954201","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","64,14492625238074","0,5270850865925499","0,4695043628471453","0,11959073393276343","0,0","0,0","0,0","4,681755769145591","18,78903308676972","0,0","1,3420737919121228","2,2367896531868716","0,5448022323603667","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8459937104132524","0,0","0,004429286441954201","0,03986357797758781","0,0","1,833724586969039","0,004429286441954201","0,0","0,0","0,0","0,004429286441954201","0,0","0,0","0,008858572883908402","0,0","0,0","0,05758072374540461","0,0","0,008858572883908402","0,008858572883908402","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03543429153563361","0,03100500509367941","0,008858572883908402","0,0","0,004429286441954201","0,0","0,09744430172299243","0,008858572883908402","0,03100500509367941","0,0","0,0","0,008858572883908402","0,0","0,0","0,05758072374540461","0,0","0,0","0,0","0,18160074412012223","0,0","0,0","0,004429286441954201","0,013287859325862605"
"World","2020-10-04","0,05387309039134952","0,0","0,0","0,0","0,0","0,0","0,0","2,26266979643668","0,5310347481433024","0,0","0,007696155770192789","0,023088467310578367","0,0","0,038480778850963945","0,007696155770192789","0,0","0,011544233655289183","0,09620194712740986","0,0038480778850963947","0,007696155770192789","0,0","0,0","0,0","0,0","0,0","0,02693654519567476","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","59,27194366413976","0,46561742409666373","0,2847577634971332","0,1346827259783738","0,0","0,0","0,0","4,336783776503637","26,40166236964636","0,0","1,104398353022665","2,7244391426482473","0,31554238657790434","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,038480778850963945","0,6926540193173509","0,0","0,015392311540385579","0,015392311540385579","0,0","0,2963019971524224","0,0038480778850963947","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,07696155770192789","0,0038480778850963947","0,023088467310578367","0,0","0,007696155770192789","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,18855581636972332","0,0","0,0038480778850963947","0,0","0,0","0,0","0,10774618078269904","0,007696155770192789","0,04617693462115673","0,0","0,0","0,0038480778850963947","0,0","0,0","0,061569246161542315","0,0","0,0","0,0","0,2616692961865548","0,0","0,0","0,011544233655289183","0,023088467310578367"
"World","2020-10-18","0,014497796334957087","0,0","0,0","0,0","0,008698677800974252","0,0","0,0","1,6643470192530736","0,9046624913013221","0,002899559266991417","0,002899559266991417","0,002899559266991417","0,0","0,052192066805845504","0,0","0,0","0,008698677800974252","0,15657620041753653","0,0","0,046392948271862675","0,0","0,0","0,0","0,03769427047088843","0,0","0,028995592669914173","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","54,12897239619577","0,3537462305729529","0,22616562282533054","0,052192066805845504","0,0","0,002899559266991417","0,0","4,590002319647414","30,81361633031779","0,0","1,1830201809324983","3,1895151936905592","0,2000695894224078","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,06379030387381118","0,9626536766411505","0,0","0,014497796334957087","0,03479471120389701","0,0","0,1333797262816052","0,005799118533982834","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05799118533982835","0,0","0,023196474135931337","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1507770818835537","0,005799118533982834","0,0","0,0","0,002899559266991417","0,0","0,19137091162143355","0,0","0,05799118533982835","0,0","0,0","0,005799118533982834","0,0","0,0","0,03479471120389701","0,0","0,0","0,0","0,4755277197865925","0,0","0,0","0,04059382973787984","0,0666898631408026"
