"location","date","Alpha (WHO VOC)","B.1.1.318 (WHO FMV)","Delta - AY.47 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.61 (WHO VOC)","Delta - AY.75 (WHO VOC)"
"São Tomé and Príncipe","2021-03-21","100,0","0,0","0,0","0,0","0,0","0,0"
"São Tomé and Príncipe","2021-05-02","100,0","0,0","0,0","0,0","0,0","0,0"
"São Tomé and Príncipe","2021-07-25","0,0","50,0","0,0","50,0","0,0","0,0"
"São Tomé and Príncipe","2021-08-08","0,0","0,0","25,0","0,0","25,0","50,0"
