"location","date","AU.1 (WHO FMV)","Alpha - B.1.1.7 (WHO PVOC)","Delta - AY.5.4 (WHO PVOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.10 (WHO VOC)","Omicron - BA.2.62 (WHO VOC)","Omicron - BA.5.2.1 (WHO VOC)","Omicron - BE.4 (WHO VOC)","Other","Unknown"
"Vanuatu","2020-01-05","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-01-19","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-02-02","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-02-16","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-03-01","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-03-15","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-03-29","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-04-12","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-04-19","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-04-26","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-05-10","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-05-24","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-06-07","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-06-21","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-07-05","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-07-19","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-08-02","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-08-16","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-08-30","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-09-13","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-09-27","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-10-11","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-10-25","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-11-08","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-11-22","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-12-06","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2020-12-20","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-01-03","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-01-17","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-01-31","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-02-14","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-02-28","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-03-14","0","0","0","0","0","0","0","0","0","0","2"
"Vanuatu","2021-03-28","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-04-04","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-04-11","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-04-25","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-05-09","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-05-23","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-06-06","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-06-20","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-07-04","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-07-18","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-08-01","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-08-15","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-08-29","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-09-12","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-09-26","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-10-10","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-10-24","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-10-31","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-11-07","0","0","0","0","0","0","0","0","0","0","2"
"Vanuatu","2021-11-21","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-12-05","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2021-12-19","0","0","0","0","0","0","0","0","0","0","2"
"Vanuatu","2022-01-02","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-01-16","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-01-30","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-02-13","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-02-20","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-02-27","0","0","0","0","0","0","0","0","0","0","10"
"Vanuatu","2022-03-06","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-03-13","0","0","0","0","0","0","0","0","0","0","188"
"Vanuatu","2022-03-20","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-03-27","0","0","0","0","0","0","0","0","0","0","1918"
"Vanuatu","2022-04-10","0","0","0","0","0","0","0","0","0","0","3081"
"Vanuatu","2022-04-17","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-04-24","0","0","0","0","0","0","0","0","0","0","1460"
"Vanuatu","2022-05-08","0","0","0","0","0","0","0","0","0","0","1143"
"Vanuatu","2022-05-22","0","0","0","0","0","0","0","0","0","0","872"
"Vanuatu","2022-05-29","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-06-05","0","0","0","0","0","0","0","0","0","0","1366"
"Vanuatu","2022-06-12","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-06-19","0","0","0","0","0","0","0","0","0","0","816"
"Vanuatu","2022-06-26","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-07-03","0","0","0","0","0","0","0","0","0","0","473"
"Vanuatu","2022-07-10","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-07-17","0","0","0","0","0","0","0","0","0","0","386"
"Vanuatu","2022-07-24","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-07-31","0","0","0","0","0","0","0","0","0","0","5"
"Vanuatu","2022-08-14","0","0","0","0","0","0","0","0","0","0","19"
"Vanuatu","2022-08-21","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-08-28","0","0","0","0","0","0","0","0","0","0","40"
"Vanuatu","2022-09-04","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-09-11","0","0","0","0","0","0","0","0","0","0","121"
"Vanuatu","2022-09-25","0","0","0","0","0","0","0","0","0","0","45"
"Vanuatu","2022-10-09","0","0","0","0","0","0","0","0","0","0","26"
"Vanuatu","2022-10-23","0","0","0","0","0","0","0","0","0","0","5"
"Vanuatu","2022-11-06","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-11-20","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2022-12-04","0","0","0","0","0","0","0","0","0","0","30"
"Vanuatu","2022-12-18","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2023-01-01","0","0","0","0","0","0","0","0","0","0","3"
"Vanuatu","2023-01-15","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2023-01-29","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2023-02-12","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2023-02-26","0","0","0","0","0","0","0","0","0","0","0"
"Vanuatu","2023-03-12","0","0","0","0","0","0","0","0","0","0","0"
