"location","date","Omicron - BA.5 (WHO VOC)","Omicron - BA.5.5 (WHO VOC)","Omicron - BE.1 (WHO VOC)","Omicron - BQ.1.3 (WHO VOC-SUM)","Omicron - XBB.1.5.17 (WHO VOC-SUM)","Other","Unknown"
"Micronesia","2020-01-05","0","0","0","0","0","0","0"
"Micronesia","2020-01-19","0","0","0","0","0","0","0"
"Micronesia","2020-02-02","0","0","0","0","0","0","0"
"Micronesia","2020-02-16","0","0","0","0","0","0","0"
"Micronesia","2020-03-01","0","0","0","0","0","0","0"
"Micronesia","2020-03-15","0","0","0","0","0","0","0"
"Micronesia","2020-03-29","0","0","0","0","0","0","0"
"Micronesia","2020-04-12","0","0","0","0","0","0","0"
"Micronesia","2020-04-26","0","0","0","0","0","0","0"
"Micronesia","2020-05-10","0","0","0","0","0","0","0"
"Micronesia","2020-05-24","0","0","0","0","0","0","0"
"Micronesia","2020-06-07","0","0","0","0","0","0","0"
"Micronesia","2020-06-21","0","0","0","0","0","0","0"
"Micronesia","2020-07-05","0","0","0","0","0","0","0"
"Micronesia","2020-07-19","0","0","0","0","0","0","0"
"Micronesia","2020-08-02","0","0","0","0","0","0","0"
"Micronesia","2020-08-16","0","0","0","0","0","0","0"
"Micronesia","2020-08-30","0","0","0","0","0","0","0"
"Micronesia","2020-09-13","0","0","0","0","0","0","0"
"Micronesia","2020-09-27","0","0","0","0","0","0","0"
"Micronesia","2020-10-11","0","0","0","0","0","0","0"
"Micronesia","2020-10-25","0","0","0","0","0","0","0"
"Micronesia","2020-11-08","0","0","0","0","0","0","0"
"Micronesia","2020-11-22","0","0","0","0","0","0","0"
"Micronesia","2020-12-06","0","0","0","0","0","0","0"
"Micronesia","2020-12-20","0","0","0","0","0","0","0"
"Micronesia","2021-01-03","0","0","0","0","0","0","0"
"Micronesia","2021-01-17","0","0","0","0","0","0","0"
"Micronesia","2021-01-31","0","0","0","0","0","0","0"
"Micronesia","2021-02-14","0","0","0","0","0","0","0"
"Micronesia","2021-02-28","0","0","0","0","0","0","0"
"Micronesia","2021-03-14","0","0","0","0","0","0","0"
"Micronesia","2021-03-28","0","0","0","0","0","0","0"
"Micronesia","2021-04-11","0","0","0","0","0","0","0"
"Micronesia","2021-04-25","0","0","0","0","0","0","0"
"Micronesia","2021-05-09","0","0","0","0","0","0","0"
"Micronesia","2021-05-23","0","0","0","0","0","0","0"
"Micronesia","2021-06-06","0","0","0","0","0","0","0"
"Micronesia","2021-06-20","0","0","0","0","0","0","0"
"Micronesia","2021-07-04","0","0","0","0","0","0","0"
"Micronesia","2021-07-18","0","0","0","0","0","0","0"
"Micronesia","2021-08-01","0","0","0","0","0","0","0"
"Micronesia","2021-08-15","0","0","0","0","0","0","0"
"Micronesia","2021-08-29","0","0","0","0","0","0","0"
"Micronesia","2021-09-12","0","0","0","0","0","0","0"
"Micronesia","2021-09-26","0","0","0","0","0","0","0"
