"location","date","A (Lineage)","A.27 (ECDC VUM)","Alpha (WHO VOC)","B (Lineage)","B.1.1.318 (WHO AFM)","Beta (WHO VOC)","Eta (WHO VOI)","Other"
"Côte d'Ivoire","2020-05-31","66,66666666666666","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-06-14","50,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-06-28","64,28571428571429","0,0","0,0","35,714285714285715","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-07-12","80,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-07-26","61,53846153846154","0,0","0,0","38,46153846153847","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-08-09","66,66666666666666","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-08-23","50,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-09-06","66,66666666666666","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-09-20","50,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-10-04","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-10-18","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-11-01","50,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2020-12-27","71,42857142857143","0,0","0,0","28,57142857142857","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2021-01-10","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2021-01-24","25,0","6,25","12,5","56,25","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2021-02-07","16,666666666666664","16,666666666666664","33,33333333333333","33,33333333333333","0,0","0,0","0,0","0,0"
"Côte d'Ivoire","2021-02-21","20,833333333333336","25,0","16,666666666666664","8,333333333333332","0,0","0,0","29,166666666666668","0,0"
"Côte d'Ivoire","2021-03-07","11,538461538461538","46,15384615384615","19,230769230769234","0,0","0,0","3,8461538461538463","19,230769230769234","0,0"
"Côte d'Ivoire","2021-03-21","0,0","12,5","50,0","0,0","0,0","0,0","37,5","0,0"
"Côte d'Ivoire","2021-04-04","3,125","0,0","31,25","9,375","3,125","3,125","50,0","0,0"
"Côte d'Ivoire","2021-04-18","0,0","0,0","6,666666666666667","0,0","33,33333333333333","13,333333333333334","46,666666666666664","0,0"
"Côte d'Ivoire","2021-05-02","0,0","0,0","22,22222222222222","0,0","22,22222222222222","0,0","55,55555555555556","0,0"
"Côte d'Ivoire","2021-05-16","0,0","0,0","0,0","0,0","0,0","0,0","50,0","50,0"
