"location","date","B (Lineage)","Delta (WHO VOC)","Delta - AY.47 (WHO VOC)","Delta - AY.9 (WHO VOC)"
"Saint Barthelemy","2020-03-08","100,0","0,0","0,0","0,0"
"Saint Barthelemy","2020-03-22","100,0","0,0","0,0","0,0"
"Saint Barthelemy","2021-08-22","0,0","0,0","33,33333333333333","66,66666666666666"
"Saint Barthelemy","2021-10-03","0,0","100,0","0,0","0,0"
